split,model,model_label,family,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
S1_train_I_test_all,random-forest,Random Forest,ML raw 48D,1.0,0.0,1.0,1.0,0.9216117216117217,0.0041764667586049395,0.9157509157509157,0.9267399267399268,0.9242798353909466,0.0037673676410158174,0.9188528806584362,0.9286265432098765,0.9252274896516199,0.003834964768489076,0.9197962813800511,0.9297739870233007
S4_train_I_val_D1_2,fusion48-mk-mmd,fusion48-mk-mmd,DA 48D,0.9965517241379309,0.0077105792327579106,0.9827586206896551,1.0,0.8775510204081634,0.02140426220755413,0.8530612244897959,0.9020408163265307,0.8751619411702241,0.022549369842541092,0.8487310183710312,0.8993840925984921,0.8808127786988406,0.021060903094019236,0.8564267395804549,0.9039386582625872
S7_train_I_D1_3_val_D4_5,logistic-regression,Logistic Regression,ML raw 48D,0.9795918367346939,0.0055890056888282325,0.9795918367346939,0.9795918367346939,0.9804878048780488,0.00999702513752152,0.9804878048780488,0.9804878048780488,0.9812206572769954,0.009408637370156006,0.9812206572769954,0.9812206572769954,0.9812057441598835,0.009236301328166472,0.9812057441598835,0.9812057441598835
