experiment,split,variant,mode,seed,alignment_strength,best_epoch,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,neural_test_accuracy,lr_train_accuracy,lr_train_balanced_accuracy,lr_train_macro_f1,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-UDA,uda,0,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8979591836734694,1.0,1.0,1.0,0.8979591836734694,0.89481788255283,0.900499097124665
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-UDA,uda,1,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8489795918367347,1.0,1.0,1.0,0.8571428571428571,0.8539874694701073,0.8607553062998607
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-UDA,uda,2,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8979591836734694,1.0,1.0,1.0,0.889795918367347,0.8849952214080918,0.8906869144964382
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-UDA,uda,3,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8571428571428571,1.0,1.0,1.0,0.8734693877551021,0.8688011043856854,0.8756500377204087
feature-fusion,S4_train_I_val_D1_2,FEATURE-FUSION-UDA,uda,4,0.2,400,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,0.8857142857142857,1.0,1.0,1.0,0.8734693877551021,0.8701815864925136,0.8763125967785707
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-SEMI,semi,0,0.05,200,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9004329004329005,1.0,1.0,1.0,0.922077922077922,0.922347468241188,0.9246679283010782
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-SEMI,semi,1,0.05,70,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9134199134199136,1.0,1.0,1.0,0.922077922077922,0.922347468241188,0.9250632347667294
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-SEMI,semi,2,0.05,110,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9090909090909092,1.0,1.0,1.0,0.935064935064935,0.9346931472535336,0.9372522214627476
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-SEMI,semi,3,0.05,300,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.8874458874458875,1.0,1.0,1.0,0.922077922077922,0.922347468241188,0.9246679283010782
feature-fusion,S5_train_I_D1_val_D2_3,FEATURE-FUSION-SEMI,semi,4,0.05,190,1.0,70,source + labeled target,CDAN domain labels plus class-conditional centroid weights,target validation labels,Source+Target refit,0.9047619047619048,1.0,1.0,1.0,0.922077922077922,0.9216317767042403,0.9248248302062612
