experiment,split,mode,alignment_strength,lr_C,probe_dimensions,label_usage,alignment_label_usage,selection_usage,final_training,seeds,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_train_balanced_accuracy,lr_train_balanced_accuracy_std,lr_train_balanced_accuracy_min,lr_train_balanced_accuracy_max,lr_train_macro_f1,lr_train_macro_f1_std,lr_train_macro_f1_min,lr_train_macro_f1_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,best_epoch,best_epoch_std,best_epoch_min,best_epoch_max
feature-fusion,S7_train_I_D1_3_val_D4_5,uda,0.2,1.0,70,source labels only,CDAN domain labels plus class-conditional centroid weights,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8760975609756099,0.023797679839318037,0.848780487804878,0.902439024390244,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.878048780487805,0.01194873045260088,0.8634146341463415,0.8926829268292683,0.8749981369699681,0.011936147138568514,0.8607943960056635,0.8901557493106789,0.8802862652179518,0.01161279412068786,0.8664124219940373,0.8952795300112869,400.0,0.0,400.0,400.0
local-mkmmd,S1_train_I_test_all,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8454212454212454,0.023935984253046935,0.8241758241758241,0.8864468864468864,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8659340659340659,0.01842458071788906,0.8388278388278388,0.8864468864468864,0.8641718106995885,0.01754456494444672,0.8388631687242798,0.8840020576131687,0.8653593717304139,0.018342456714434817,0.8377708912737653,0.8847810429271105,400.0,0.0,400.0,400.0
residual-mkmmd,S1_train_I_test_all,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8315018315018314,0.051282051282051315,0.7619047619047619,0.8717948717948718,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8417582417582418,0.027582198676947552,0.8021978021978022,0.8717948717948718,0.8397119341563787,0.025869007337575044,0.8015689300411522,0.8675411522633745,0.8443031357001161,0.02661364666491742,0.8060748373038048,0.8735300964751644,400.0,0.0,400.0,400.0
residual-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,"0,1,2,3,4",0.8117216117216117,0.02960015216239841,0.7765567765567766,0.8534798534798534,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8102564102564103,0.036483222265168445,0.7582417582417582,0.8534798534798534,0.8093364197530863,0.034083051651764784,0.7605452674897119,0.8495370370370371,0.8139825779752474,0.036162662901830955,0.7608742733574626,0.8551871192132103,170.0,99.74968671630002,10.0,260.0
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,0.01,1.0,54,source train + source validation labels,target features only,source validation labels,source train+source validation refit,"0,1,2,3,4",0.7333333333333334,0.027337887409590197,0.6996336996336996,0.7692307692307693,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7897435897435897,0.02982593844076524,0.7728937728937729,0.8424908424908425,0.7909207818930042,0.029124097533904634,0.7731481481481483,0.8423353909465021,0.7929491400770912,0.029776579458490087,0.7728162706343918,0.8453712695573161,10.0,0.0,10.0,10.0
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,"0,1,2,3,4",0.9355102040816327,0.006054039581302565,0.926530612244898,0.9428571428571428,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9355102040816327,0.006054039581302565,0.926530612244898,0.9428571428571428,0.932685568652437,0.00646974294838042,0.9226399065519804,0.9402145056812148,0.9352215409815301,0.005855198720316721,0.926370238582718,0.9421176957911412,160.0,123.89511693363868,40.0,340.0
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8342857142857143,0.04920018352752382,0.7673469387755102,0.8734693877551021,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8416326530612246,0.027892815613501876,0.8040816326530612,0.8734693877551021,0.839672931931613,0.02630200066422359,0.8035998725708824,0.8694913454390996,0.8443076495636305,0.02701157052053617,0.8080267165781377,0.8753841122064013,400.0,0.0,400.0,400.0
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,"0,1,2,3,4",0.9272727272727274,0.0036219048767709133,0.922077922077922,0.9307359307359307,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9359307359307358,0.005644331086755511,0.9307359307359307,0.9437229437229436,0.9336553945249598,0.006019099856837346,0.9277151547682948,0.9422079083914832,0.9361915013527808,0.005577466150113686,0.9307821878440268,0.9445874579735244,72.0,21.6794833886788,50.0,100.0
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8303030303030303,0.054017232059962145,0.7575757575757576,0.8787878787878788,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8372294372294371,0.030395653128211166,0.7965367965367965,0.8701298701298701,0.8358203614242262,0.02883452057097218,0.7965646806226516,0.8665235283592772,0.8403246428148436,0.029603502766378537,0.8008021940606209,0.8724049676535864,400.0,0.0,400.0,400.0
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8273170731707318,0.060495672187034125,0.7365853658536585,0.8780487804878049,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8360975609756098,0.03191302874887046,0.8,0.8780487804878049,0.8346225501155079,0.030592310089928215,0.7997615321558983,0.8748789030479172,0.838712755589005,0.030939311067788397,0.8038892192428287,0.8794459088465981,400.0,0.0,400.0,400.0
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,"0,1,2,3,4",0.9521951219512195,0.007235315597166507,0.9414634146341463,0.9609756097560975,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9512195121951219,0.007712872341874103,0.9414634146341463,0.9609756097560975,0.9497130933750653,0.007809345456085868,0.9394887845592071,0.95946046650272,0.9512093144172276,0.007458067385655207,0.941504809397515,0.9603896302434715,298.0,50.695167422546305,230.0,350.0
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,1.0,54,source labels only,target features only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8273170731707318,0.060495672187034125,0.7365853658536585,0.8780487804878049,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8360975609756098,0.03191302874887046,0.8,0.8780487804878049,0.8346225501155079,0.030592310089928215,0.7997615321558983,0.8748789030479172,0.838712755589005,0.030939311067788397,0.8038892192428287,0.8794459088465981,400.0,0.0,400.0,400.0
residual-mkmmd,S7_train_I_D1_3_val_D4_5,semi,0.1,1.0,54,source + labeled target,target features only,target validation labels,Source+Target refit,"0,1,2,3,4",0.944390243902439,0.012243805266352279,0.926829268292683,0.9560975609756097,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9502439024390243,0.00872611893658451,0.9365853658536586,0.9560975609756097,0.948774126238915,0.009268472363494162,0.9341977792682018,0.955361800432223,0.9499861005667054,0.00913646912813446,0.9353968253968254,0.9561669438504792,172.0,99.84988733093293,70.0,300.0
local-mkmmd,S2_train_I_internal_val_test_all,uda,0.1,1.0,16,source train + source validation labels,detached target class probabilities,source validation labels,source train+source validation refit,"0,1,2,3,4",0.7516483516483516,0.10913661082738338,0.608058608058608,0.8571428571428571,0.9866666666666667,0.018257418583505533,0.9666666666666667,1.0,0.9888888888888889,0.015214515486254621,0.9722222222222222,1.0,0.9888695652173913,0.015240975513187191,0.9721739130434783,1.0,0.8424908424908424,0.03560846537586736,0.7985347985347986,0.8754578754578755,0.8422067901234568,0.03473543701435269,0.800025720164609,0.8768004115226337,0.8448290288478348,0.03443772188885645,0.8065671641791043,0.8787040666549025,110.0,160.77935190813528,10.0,390.0
local-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,1.0,16,source train + source validation labels,detached target class probabilities,source validation labels,source train+source validation refit,"0,1,2,3,4",0.7457875457875458,0.13860488345223707,0.575091575091575,0.8901098901098901,0.9666666666666668,0.04714045207910316,0.9,1.0,0.9722222222222221,0.039283710065919346,0.9166666666666666,1.0,0.9677708764665287,0.047544975946943374,0.8944099378881987,1.0,0.810989010989011,0.08658956376317879,0.6776556776556777,0.9010989010989011,0.8104166666666666,0.08324330381693076,0.682227366255144,0.8972479423868314,0.8113368974619755,0.08672679095411058,0.6780904359141183,0.9018248108650077,70.0,57.0087712549569,20.0,150.0
local-mkmmd,S4_train_I_val_D1_2,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8367346938775511,0.0288615012729203,0.8122448979591836,0.8857142857142857,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8604081632653061,0.01965974625108945,0.8326530612244898,0.8857142857142857,0.8587448231920994,0.018651462959436454,0.832802378676861,0.8831899755760858,0.8598914818410079,0.01944623623637546,0.8318138001014713,0.8841414172606464,400.0,0.0,400.0,400.0
local-mkmmd,S4_train_I_val_D1_2,semi,1.0,1.0,16,source + labeled target,true labels from target partitions assigned to training,target validation labels,Source+Target refit,"0,1,2,3,4",0.9044897959183673,0.013099433906841814,0.889795918367347,0.9183673469387755,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9093877551020408,0.018570307209922157,0.889795918367347,0.9306122448979591,0.9093978974195605,0.01770511273861554,0.8912073908888182,0.9306573218647127,0.9123019056747458,0.017943338681451017,0.893482215581268,0.9331852807030113,182.0,83.48652585896721,70.0,260.0
local-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8380952380952381,0.02696521472276611,0.8138528138528138,0.8831168831168831,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8606060606060606,0.0189687465802655,0.8354978354978355,0.8874458874458875,0.8591876901055645,0.018052600831103157,0.8357487922705314,0.8851315083199142,0.8602328717106026,0.018509835972742285,0.834986970428011,0.8857783719548425,400.0,0.0,400.0,400.0
local-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,1.0,16,source + labeled target,true labels from target partitions assigned to training,target validation labels,Source+Target refit,"0,1,2,3,4",0.9047619047619048,0.0074980554440211,0.9004329004329005,0.9177489177489178,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9082251082251082,0.0064209510710784845,0.9004329004329005,0.9177489177489178,0.9074610842726785,0.006188249129605607,0.9003399534800501,0.9168008588298443,0.9113525546538985,0.006130120493582623,0.9042754652083657,0.9204907552261609,302.0,113.22543883774529,120.0,400.0
local-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8370731707317074,0.025487513127050034,0.8146341463414634,0.8780487804878049,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.853658536585366,0.020981281139128376,0.824390243902439,0.8829268292682927,0.852239362098517,0.02019589175407867,0.8244280497801624,0.8807660779491765,0.8535468419670826,0.02064542984002751,0.8239585868912581,0.8816473150068744,400.0,0.0,400.0,400.0
local-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,1.0,16,source + labeled target,true labels from target partitions assigned to training,target validation labels,Source+Target refit,"0,1,2,3,4",0.9414634146341463,0.00771287234187405,0.9317073170731708,0.9512195121951219,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9473170731707317,0.011123662683893986,0.9365853658536586,0.9609756097560975,0.9464341605186675,0.010704420006112247,0.9359862880989641,0.95946046650272,0.9478836962847547,0.011070409560892107,0.9371394064544463,0.9612538729347101,140.0,62.44997998398398,100.0,250.0
local-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,1.0,16,source labels only,detached target class probabilities,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,"0,1,2,3,4",0.8370731707317074,0.025487513127050034,0.8146341463414634,0.8780487804878049,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.853658536585366,0.020981281139128376,0.824390243902439,0.8829268292682927,0.852239362098517,0.02019589175407867,0.8244280497801624,0.8807660779491765,0.8535468419670826,0.02064542984002751,0.8239585868912581,0.8816473150068744,400.0,0.0,400.0,400.0
local-mkmmd,S7_train_I_D1_3_val_D4_5,semi,1.0,1.0,16,source + labeled target,true labels from target partitions assigned to training,target validation labels,Source+Target refit,"0,1,2,3,4",0.9258536585365855,0.006360197468490395,0.9170731707317074,0.9317073170731708,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9395121951219512,0.007397927262489277,0.926829268292683,0.9463414634146341,0.9383262538192115,0.007556574745863311,0.9254042775169536,0.9453759594604665,0.9396624501176538,0.00761006442898276,0.926687257464164,0.9468915815316384,46.0,15.165750888103101,30.0,70.0
