experiment,split,mode,alignment_strength,seed,best_epoch,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,selection_usage
residual-mkmmd,S3_train_I_internal_20_10_test_all,uda,1.0,4,10,0.7,0.6666666666666666,0.6518518518518519,source validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.01,0,270,0.8571428571428571,0.85,0.8503987240829346,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.01,1,170,0.9642857142857144,0.9666666666666668,0.9665831244778612,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.01,2,160,0.8928571428571429,0.9,0.8912655971479501,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.01,3,390,0.8571428571428571,0.85,0.8562711125640187,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.01,4,70,0.9642857142857144,0.9666666666666668,0.9665831244778612,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.1,0,140,0.8571428571428571,0.85,0.8562711125640187,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.1,1,150,0.9285714285714286,0.9166666666666666,0.922077922077922,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.1,2,230,0.8928571428571429,0.9,0.8912655971479501,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.1,3,160,0.8571428571428571,0.85,0.8562711125640187,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,0.1,4,50,0.9642857142857144,0.9583333333333334,0.961904761904762,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,0,340,0.9285714285714286,0.9166666666666666,0.922077922077922,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,1,50,0.9285714285714286,0.925,0.9249164578111948,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,2,160,0.8928571428571429,0.8833333333333333,0.888888888888889,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,3,210,0.8928571428571429,0.8833333333333333,0.888888888888889,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,semi,1.0,4,40,0.9285714285714286,0.925,0.9285714285714284,target validation labels
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S4_train_I_val_D1_2,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,0,320,0.9615384615384616,0.9666666666666668,0.9665831244778612,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,1,130,0.9615384615384616,0.9666666666666668,0.9568151147098516,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,2,200,0.9615384615384616,0.9666666666666668,0.9568151147098516,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,3,20,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.01,4,20,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,0,90,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,1,50,0.9615384615384616,0.9666666666666668,0.9568151147098516,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,2,50,0.9615384615384616,0.9666666666666668,0.9568151147098516,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,3,20,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,0.1,4,20,0.9615384615384616,0.9666666666666668,0.9568151147098516,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,0,50,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,1,60,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,2,60,0.9615384615384616,0.9666666666666668,0.9665831244778612,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,3,100,0.9615384615384616,0.9666666666666668,0.9665831244778612,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,semi,1.0,4,90,1.0,1.0,1.0,target validation labels
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S5_train_I_D1_val_D2_3,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,0,180,0.95,0.9555555555555556,0.9553571428571428,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,1,260,1.0,1.0,1.0,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,2,150,0.925,0.9333333333333332,0.9326599326599326,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,3,20,0.9,0.9111111111111112,0.9095022624434388,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.01,4,170,0.9,0.9,0.9062034170393304,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,0,330,1.0,1.0,1.0,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,1,350,1.0,1.0,1.0,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,2,260,0.975,0.9666666666666668,0.9717034521788342,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,3,230,0.975,0.9666666666666668,0.9717034521788342,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,2,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,3,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,uda,0.1,4,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,0.1,4,320,1.0,1.0,1.0,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,0,20,1.0,1.0,1.0,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,1,50,0.975,0.9666666666666667,0.9717034521788342,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,2,40,0.975,0.9777777777777779,0.9777530589543938,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,3,100,0.975,0.9777777777777779,0.9777530589543938,target validation labels
residual-mkmmd,S6_train_I_D1_2_val_D3_5,semi,1.0,4,50,0.975,0.9666666666666667,0.9717034521788342,target validation labels
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,0,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
residual-mkmmd,S7_train_I_D1_3_val_D4_5,uda,0.1,1,400,,,,fixed hyperparameters; target labels prohibited for UDA selection
