split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,1e-05,0.001,8,48,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,1e-05,0.001,17,57,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,1e-05,0.001,20,60,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,1e-05,0.001,13,53,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,1e-05,0.001,18,58,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,0.0001,0.001,8,48,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,0.0001,0.001,17,57,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,0.0001,0.001,20,60,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,0.0001,0.001,13,53,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,4,54->64->32->3,"64,32",0.0,0.0001,0.001,18,58,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,0,54->64->32->3,"64,32",0.0,0.001,0.001,8,48,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,1,54->64->32->3,"64,32",0.0,0.001,0.001,17,57,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,2,54->64->32->3,"64,32",0.0,0.001,0.001,20,60,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,regularization,3,54->64->32->3,"64,32",0.0,0.001,0.001,13,53,0.7,0.6666666666666666,0.6518518518518519
