split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.001,18,58,0.7,0.6666666666666666,0.6518518518518519
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,0,54->16->3,16,0.05,1e-05,0.0001,26,66,0.4642857142857143,0.5,0.3988095238095239
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,1,54->16->3,16,0.05,1e-05,0.0001,9,49,0.4642857142857143,0.5,0.4194139194139194
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,2,54->16->3,16,0.05,1e-05,0.0001,42,82,0.35714285714285715,0.39999999999999997,0.2623394185260311
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,3,54->16->3,16,0.05,1e-05,0.0001,22,62,0.35714285714285715,0.3833333333333333,0.2871794871794872
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,4,54->16->3,16,0.05,1e-05,0.0001,36,76,0.35714285714285715,0.3666666666666667,0.301994301994302
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,0,54->16->3,16,0.05,1e-05,0.0005,41,81,0.7142857142857143,0.7333333333333334,0.6638176638176638
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,1,54->16->3,16,0.05,1e-05,0.0005,38,78,0.6785714285714286,0.7000000000000001,0.6124267888973772
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,2,54->16->3,16,0.05,1e-05,0.0005,22,62,0.5714285714285714,0.6,0.4646464646464647
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,3,54->16->3,16,0.05,1e-05,0.0005,53,93,0.7142857142857143,0.7333333333333334,0.7100168350168351
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,4,54->16->3,16,0.05,1e-05,0.0005,55,95,0.75,0.7666666666666666,0.7415032679738562
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,0,54->16->3,16,0.05,1e-05,0.001,52,92,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,1,54->16->3,16,0.05,1e-05,0.001,35,75,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,2,54->16->3,16,0.05,1e-05,0.001,55,95,0.6785714285714286,0.7000000000000001,0.6613756613756614
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,3,54->16->3,16,0.05,1e-05,0.001,27,67,0.7142857142857143,0.7333333333333334,0.7100168350168351
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,learning_rate,4,54->16->3,16,0.05,1e-05,0.001,27,67,0.75,0.7666666666666666,0.7349436392914654
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0001,24,64,0.6923076923076923,0.7333333333333334,0.6657169990503324
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0005,20,60,0.7692307692307693,0.7999999999999999,0.7579365079365079
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0005,45,85,0.6538461538461539,0.7000000000000001,0.6310391363022942
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0005,76,116,0.6923076923076923,0.7333333333333334,0.6705128205128205
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0005,23,63,0.6538461538461539,0.7000000000000001,0.6638827838827838
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0005,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.001,11,51,0.7692307692307693,0.7999999999999999,0.7579365079365079
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.001,107,147,0.7692307692307693,0.7999999999999999,0.7659958720330238
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.001,79,119,0.9230769230769231,0.9333333333333332,0.9172932330827068
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.001,11,51,0.6538461538461539,0.7000000000000001,0.6638827838827838
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.001,53,93,0.8846153846153846,0.9,0.882010582010582
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0001,23,63,0.6,0.6444444444444445,0.5678630126514543
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.375,0.3333333333333333,0.1818181818181818
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.4,0.35555555555555557,0.22685185185185186
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.375,0.3333333333333333,0.21776729559748423
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.375,0.3333333333333333,0.1818181818181818
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0005,25,65,0.625,0.6666666666666666,0.5857826384142174
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0005,10,50,0.625,0.6666666666666666,0.5355884425651868
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0005,37,77,0.775,0.7999999999999999,0.7786030061892131
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0005,23,63,0.675,0.7111111111111111,0.6662387676508345
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.0005,97,137,0.8,0.8222222222222223,0.7924901185770752
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.001,87,127,0.8,0.8222222222222223,0.7952991452991452
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.001,5,45,0.625,0.6666666666666666,0.5355884425651868
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.001,19,59,0.775,0.7999999999999999,0.7786030061892131
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.001,9,49,0.675,0.7111111111111111,0.6662387676508345
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,learning_rate,4,54->64->32->3,"64,32",0.0,1e-05,0.001,20,60,0.8,0.8222222222222223,0.7893695831984752
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,0,54->64->32->3,"64,32",0.0,1e-05,0.0001,25,65,0.6538461538461539,0.7000000000000001,0.6565656565656566
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,1,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.1851851851851852
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,2,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.4230769230769231,0.3666666666666667,0.2510822510822511
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,learning_rate,3,54->64->32->3,"64,32",0.0,1e-05,0.0001,1,41,0.38461538461538464,0.3333333333333333,0.2370766488413548
