split,description,architecture,hidden_dims,dropout,weight_decay,learning_rate,selection_status,final_training,validation_labels_consumed,test_labels_used_for_training,seed_values,seed_count,selected_epoch,selected_epoch_std,selected_epoch_min,selected_epoch_max,train_accuracy,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,test_accuracy,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,54->64->32->3,"64,32",0.05,0.0001,0.001,fixed default; no validation,train only,False,False,"0,1,2,3,4",5,400.0,0.0,400.0,400.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8153846153846154,0.012846650488461668,0.8021978021978022,0.8351648351648352,0.8159979423868313,0.01232268359518235,0.8034979423868314,0.8347479423868313,0.8160013605163604,0.01363782797367274,0.8020186335403726,0.837288241474288
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,54->64->32->3,"64,32",0.0,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,22.2,10.963576058932597,12.0,38.0,0.8133333333333332,0.050552502960343706,0.7333333333333333,0.8666666666666667,0.8222222222222223,0.06394924685122966,0.7222222222222222,0.8888888888888888,0.8008781794863831,0.05103080582499963,0.7207098205283323,0.8545548654244306,0.6776556776556777,0.034653640894550385,0.6227106227106227,0.706959706959707,0.68505658436214,0.038039114809511575,0.6224279835390947,0.7183641975308642,0.6713156967958169,0.033962997490896873,0.6294005521104529,0.7169436138508303
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,54->64->32->3,"64,32",0.0,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,15.2,4.764451699828639,8.0,20.0,0.74,0.07226494462892936,0.6333333333333333,0.8,0.7611111111111111,0.050460839234958255,0.6944444444444443,0.8055555555555557,0.7318938308258858,0.06923340465880136,0.6212121212121212,0.7868131868131868,0.6461538461538462,0.05921163561101884,0.5494505494505495,0.6996336996336996,0.6544238683127572,0.06295968481742992,0.5484825102880658,0.7075617283950617,0.6293342464931866,0.07857304516727452,0.5096679837497913,0.7098415807924495
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,54->16->3,16,0.05,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,39.2,13.498148021117563,27.0,55.0,0.6931034482758621,0.06381639835628189,0.5862068965517241,0.7586206896551724,0.7303030303030302,0.05608107734339927,0.6363636363636364,0.787878787878788,0.6919589732367998,0.06337876849731706,0.5846320346320346,0.7533875338753386,0.603265306122449,0.116930049181121,0.4163265306122449,0.7061224489795919,0.6232558139534884,0.11103822499757614,0.4457364341085271,0.7209302325581395,0.5823350601034585,0.1415127631486622,0.35528974945033337,0.6950981193229017
S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,54->64->32->3,"64,32",0.0,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,52.2,42.180564244685016,11.0,107.0,0.8916666666666666,0.10776202634039346,0.75,1.0,0.9012345679012345,0.09905436133260005,0.7716049382716049,1.0,0.891325985832939,0.1064133022944156,0.753920857286376,1.0,0.8164502164502163,0.0805590369717165,0.7186147186147186,0.8874458874458875,0.8225084988370013,0.07540734620921147,0.731794596528896,0.8894256575415995,0.8124169699994607,0.0865918964340922,0.7027937027937029,0.8876735926751856
S6_train_I_D1_2_val_D3_5,Train Period I plus labeled target Day1-Day2; validate Day3-Day5; test Day6 onward.,54->64->32->3,"64,32",0.0,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,28.0,33.60059523282288,5.0,87.0,0.7673469387755102,0.1482930785680404,0.5714285714285714,0.9795918367346939,0.7897147147147148,0.13432995441736328,0.6118618618618619,0.981981981981982,0.7472588577968388,0.17836303754962535,0.4846153846153846,0.9774074074074074,0.7892682926829269,0.11810520723577198,0.6146341463414634,0.9219512195121952,0.7957522915269394,0.11337156523499309,0.627915642000149,0.9219017810567106,0.7650100508228923,0.1565285128333335,0.5161203980825851,0.9212089624795293
S7_train_I_D1_3_val_D4_5,Train Period I plus labeled target Day1-Day3; validate Day4-Day5; test Day6 onward.,54->64->32->3,"64,32",0.0,1e-05,0.001,validation-selected; fresh train+validation refit,train+validation refit,True,False,"0,1,2,3,4",5,21.4,21.524404753674375,3.0,58.0,0.7938775510204081,0.09637321594381712,0.7142857142857143,0.9387755102040817,0.8131381381381381,0.08801748139992954,0.7379879879879879,0.9459459459459459,0.7903163840360987,0.09601414753865413,0.7140530360869343,0.9346560846560846,0.8039024390243903,0.08584534327802709,0.697560975609756,0.9024390243902439,0.8095983307250911,0.08310575833399018,0.7059393397421566,0.9037186079439601,0.7965286349984041,0.09192047124811406,0.6843840486224594,0.9017652145156125
