split,description,stage,seed,architecture,hidden_dims,dropout,weight_decay,learning_rate,best_epoch,epochs_executed,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,21,61,0.4,0.4166666666666667,0.4166666666666667
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,19,59,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,3,54->32->16->3,"32,16",0.0,0.0001,0.001,48,88,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,4,54->32->16->3,"32,16",0.0,0.0001,0.001,1,41,0.4,0.5,0.35555555555555557
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,0,54->64->32->3,"64,32",0.0,0.0001,0.001,8,48,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,1,54->64->32->3,"64,32",0.0,0.0001,0.001,17,57,0.5,0.5,0.5079365079365079
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,2,54->64->32->3,"64,32",0.0,0.0001,0.001,20,60,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,3,54->64->32->3,"64,32",0.0,0.0001,0.001,13,53,0.7,0.6666666666666666,0.6518518518518519
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,architecture,4,54->64->32->3,"64,32",0.0,0.0001,0.001,18,58,0.7,0.6666666666666666,0.6518518518518519
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,0,54->16->3,16,0.0,0.0001,0.001,50,90,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,1,54->16->3,16,0.0,0.0001,0.001,35,75,0.7142857142857143,0.7333333333333334,0.671750181554103
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,2,54->16->3,16,0.0,0.0001,0.001,46,86,0.6785714285714286,0.7000000000000001,0.656770130454341
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,3,54->16->3,16,0.0,0.0001,0.001,27,67,0.7142857142857143,0.7333333333333334,0.7100168350168351
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,4,54->16->3,16,0.0,0.0001,0.001,25,65,0.75,0.7666666666666666,0.7349436392914654
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,0,54->32->3,32,0.0,0.0001,0.001,20,60,0.75,0.7666666666666666,0.7415032679738562
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,1,54->32->3,32,0.0,0.0001,0.001,9,49,0.75,0.7666666666666666,0.7239819004524887
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,2,54->32->3,32,0.0,0.0001,0.001,35,75,0.6785714285714286,0.6916666666666668,0.6517704517704518
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,3,54->32->3,32,0.0,0.0001,0.001,7,47,0.6071428571428571,0.625,0.521551724137931
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,4,54->32->3,32,0.0,0.0001,0.001,58,98,0.75,0.7666666666666666,0.7239819004524887
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,0,54->32->16->3,"32,16",0.0,0.0001,0.001,39,79,0.6785714285714286,0.6916666666666668,0.6517704517704518
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,1,54->32->16->3,"32,16",0.0,0.0001,0.001,15,55,0.6428571428571429,0.6666666666666666,0.5436105476673428
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,architecture,2,54->32->16->3,"32,16",0.0,0.0001,0.001,42,82,0.6785714285714286,0.7000000000000001,0.6124267888973772
