feature_extractor_layers,feature_extractor_architecture,split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_last,backward_loss_scalar_last,feature_extractor_objective,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0014719957252964,0.0,0.0014719957252964,min L - lambda*Ld via gradient reversal,0.0014719957252964,0.0,25,25,5,0,273,0,273,0.88,0.6,0.652014652014652,0.9,0.6666666666666666,0.6675668724279835,0.8684960263907633,0.611111111111111,0.623544100310792,0.2279853479853479,0.3456375838926174
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0001496921322541,0.0,0.0001496921322541,min L - lambda*Ld via gradient reversal,0.0001496921322541,0.0,25,25,5,0,273,0,273,0.96,0.8,0.652014652014652,0.9666666666666668,0.8333333333333334,0.6630658436213991,0.9665831244778612,0.7777777777777777,0.6470677224946674,0.3079853479853479,0.0838926174496644
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,20,0.0975626036524772,0.0,0.0975626036524772,min L - lambda*Ld via gradient reversal,0.0975626036524772,0.0,25,25,5,0,273,0,273,0.88,0.8,0.6410256410256411,0.9,0.8333333333333334,0.6513631687242798,0.8742690058479532,0.7777777777777777,0.6316239316239317,0.2389743589743589,0.0838926174496644
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP source only,0.0,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,50,0.0100991399958729,0.0,0.0100991399958729,min L - lambda*Ld via gradient reversal,0.0100991399958729,0.0,25,25,5,0,273,0,273,0.96,0.8,0.7216117216117216,0.9666666666666668,0.8333333333333334,0.7283950617283951,0.9665831244778612,0.7777777777777777,0.7206348348185992,0.2383882783882783,0.1510067114093959
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0019773067906498,0.2080616205930709,0.2100389301776886,min L - lambda*Ld via gradient reversal,0.0019773067906498,0.2080616205930709,25,25,5,0,273,0,273,0.84,0.8,0.6336996336996337,0.8333333333333334,0.8333333333333334,0.643775720164609,0.8185185185185185,0.7777777777777777,0.6196822685093925,0.2063003663003663,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,400,0.0025451369583606,0.1822091490030288,0.1847542822360992,min L - lambda*Ld via gradient reversal,0.0025451369583606,0.1822091490030288,25,25,5,0,273,0,273,1.0,0.8,0.7472527472527473,1.0,0.8333333333333334,0.7520576131687243,1.0,0.7777777777777777,0.7472749261326165,0.2527472527472527,0.9463087248322148
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,2,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,370,0.0003226446860935,0.2033446580171585,0.2036672979593277,min L - lambda*Ld via gradient reversal,0.0003226446860935,0.2033446580171585,25,25,5,0,273,0,273,1.0,0.8,0.7838827838827839,1.0,0.8333333333333334,0.7854938271604938,1.0,0.7777777777777777,0.7854938271604938,0.2161172161172161,0.9395973154362416
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,3,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0025066332891583,0.1991582512855529,0.2016648799180984,min L - lambda*Ld via gradient reversal,0.0025066332891583,0.1991582512855529,25,25,5,0,273,0,273,0.76,0.8,0.5347985347985348,0.7666666666666666,0.8333333333333334,0.544238683127572,0.7450892187734293,0.7777777777777777,0.5255801696608995,0.2252014652014652,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.05,4,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,60,0.0266523715108633,0.2188941389322281,0.2455465048551559,min L - lambda*Ld via gradient reversal,0.0266523715108633,0.2188941389322281,25,25,5,0,273,0,273,1.0,0.8,0.7252747252747253,1.0,0.8333333333333334,0.731224279835391,1.0,0.7777777777777777,0.7256162367227432,0.2747252747252747,0.9161073825503356
1,54 -> 16 -> ReLU -> Dropout(0.05),S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,DANN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for target domain loss,source validation labels,10,0.0011117291869595,0.2287696003913879,0.2298813313245773,min L - lambda*Ld via gradient reversal,0.0011117291869595,0.2287696003913879,25,25,5,0,273,0,273,0.84,0.8,0.6410256410256411,0.8333333333333334,0.8333333333333334,0.6507201646090536,0.8185185185185185,0.7777777777777777,0.6283867430764355,0.1989743589743589,0.9161073825503356
