time_s,label,arduino_time,s1,s2,s3,s4,s5,s6,r1,r2,r3,r4,r5,r6,voltage
0.0007114410400390625,baseline,4486840,23.0,221.0,169.0,159.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0012788772583007812,baseline,4487094,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0022919178009033203,baseline,4487347,23.0,221.0,169.0,160.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.003025531768798828,baseline,4487601,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.003939151763916016,baseline,4487854,23.0,221.0,169.0,160.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.004808664321899414,baseline,4488107,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.005710124969482422,baseline,4488360,23.0,221.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.0065708160400390625,baseline,4488613,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.045890092849731445,baseline,4488867,24.0,221.0,169.0,160.0,29.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.2994687557220459,baseline,4489120,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.5531363487243652,baseline,4489374,23.0,221.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
0.8062407970428467,baseline,4489627,23.0,220.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.0599517822265625,baseline,4489881,23.0,221.0,169.0,160.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.3129327297210693,baseline,4490134,23.0,220.0,168.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.5690467357635498,baseline,4490387,23.0,221.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
1.8202972412109375,baseline,4490641,23.0,221.0,169.0,159.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.0748043060302734,baseline,4490894,23.0,221.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.3260416984558105,baseline,4491148,23.0,220.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.581089735031128,baseline,4491401,23.0,221.0,169.0,160.0,28.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
2.8339314460754395,baseline,4491655,23.0,221.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.0881569385528564,baseline,4491908,23.0,221.0,169.0,160.0,27.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.3417258262634277,baseline,4492162,23.0,221.0,169.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.593654155731201,baseline,4492414,23.0,221.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
3.848262310028076,baseline,4492668,23.0,220.0,169.0,159.0,27.0,11.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.100379943847656,baseline,4492921,23.0,220.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.376697778701782,baseline,4493174,23.0,220.0,169.0,159.0,27.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.6080238819122314,baseline,4493428,23.0,220.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
4.861132860183716,baseline,4493681,23.0,220.0,169.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.115877151489258,baseline,4493935,23.0,220.0,169.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.368712902069092,baseline,4494188,22.0,219.0,168.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.621652603149414,baseline,4494442,23.0,220.0,168.0,160.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
5.8754613399505615,baseline,4494695,23.0,219.0,168.0,159.0,28.0,10.0,25.0,2.0,2.0,10.0,30.0,2.0,255.0
