architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source-only,source-only,uda,2,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8081632653061225,0.8081660826165445,0.8080902749415193,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source-only,source-only,uda,3,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7959183673469388,0.7965381756398004,0.7976254843651437,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source-only,source-only,uda,4,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8,0.7997239035786343,0.8010382730006089,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source+Target,source-only,semi,0,0.0,0.0,200,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8734693877551021,0.8763937559732399,0.8737630880488023,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source+Target,source-only,semi,1,0.0,0.0,180,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8734693877551021,0.8763937559732399,0.8727959158487536,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source+Target,source-only,semi,2,0.0,0.0,60,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8693877551020408,0.8725177869809918,0.8684556227528027,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source+Target,source-only,semi,3,0.0,0.0,130,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8448979591836735,0.8492619730275034,0.8439214445047326,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MLP Source+Target,source-only,semi,4,0.0,0.0,90,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8693877551020408,0.8725177869809918,0.8690134404420119,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-UDA,dann,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8122448979591836,0.8127322926622066,0.8139168656521377,0.8943894389438944,0.5408424908424908,0.1,0.9816849816849816
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-UDA,dann,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7673469387755102,0.7700966337474778,0.7738317771944754,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-UDA,dann,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7959183673469388,0.7958479345863863,0.7928319471389086,0.900990099009901,0.5148351648351649,0.03333333333333333,0.9963369963369964
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-UDA,dann,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8448979591836735,0.8430498035467772,0.8482633053221288,0.9075907590759076,0.563003663003663,0.13333333333333333,0.9926739926739927
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-UDA,dann,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8244897959183674,0.8229797175321227,0.8268706127578702,0.9108910891089109,0.5648351648351648,0.13333333333333333,0.9963369963369964
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-SEMI,dann,semi,0,0.05,0.0,380,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8693877551020408,0.8725177869809918,0.8681892426041381,0.9273927392739274,0.663003663003663,0.3333333333333333,0.9926739926739927
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-SEMI,dann,semi,1,0.05,0.0,340,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8612244897959184,0.8633853668896676,0.863134484563056,0.9207920792079208,0.6296703296703297,0.26666666666666666,0.9926739926739927
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-SEMI,dann,semi,2,0.05,0.0,210,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8816326530612245,0.8841456939577359,0.8814451951951953,0.9174917491749175,0.5833333333333334,0.16666666666666666,1.0
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-SEMI,dann,semi,3,0.05,0.0,130,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8775510204081632,0.8802697249654879,0.8779766098351415,0.9273927392739274,0.6481684981684982,0.3,0.9963369963369964
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DANN-SEMI,dann,semi,4,0.05,0.0,90,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8693877551020408,0.8725177869809918,0.8697408748955141,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8204081632653061,0.8197939895932888,0.8198592168981671,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8081632653061225,0.8067856005097164,0.8065631666954967,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8653061224489796,0.8617394074546034,0.8667623421354765,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8040816326530612,0.8029096315174683,0.8076136563103388,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8530612244897959,0.8501115004778592,0.853819139596137,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-SEMI,deep-coral,semi,0,0.001,0.0,200,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.889795918367347,0.891897631942232,0.89016186064763,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-SEMI,deep-coral,semi,1,0.001,0.0,270,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8816326530612245,0.8841456939577359,0.8822985691870232,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-SEMI,deep-coral,semi,2,0.001,0.0,210,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8816326530612245,0.8841456939577359,0.8819996945237508,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-SEMI,deep-coral,semi,3,0.001,0.0,130,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8734693877551021,0.8757035149198259,0.8740658240848941,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,DEEP-CORAL-SEMI,deep-coral,semi,4,0.001,0.0,350,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8857142857142857,0.886641180843156,0.8873702269699844,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-UDA,mk-mmd,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8693877551020408,0.8663056175002656,0.8717374665135859,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-UDA,mk-mmd,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8612244897959184,0.8592439205691834,0.8629711287587436,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-UDA,mk-mmd,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8653061224489796,0.8631198895614315,0.8675698127352206,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-UDA,mk-mmd,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8448979591836735,0.8430498035467772,0.8468930520450894,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-UDA,mk-mmd,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8653061224489796,0.8624296485080175,0.8671644763042613,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-SEMI,mk-mmd,semi,0,1.0,0.0,160,source + labeled target,target validation labels,Source+Target refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.9346938775510204,0.9345332908569608,0.9355430309536591,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-SEMI,mk-mmd,semi,1,1.0,0.0,290,source + labeled target,target validation labels,Source+Target refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.9428571428571428,0.9422852288414569,0.9440542576538881,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-SEMI,mk-mmd,semi,2,1.0,0.0,210,source + labeled target,target validation labels,Source+Target refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.9346938775510204,0.9345332908569608,0.936393578405157,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-SEMI,mk-mmd,semi,3,1.0,0.0,40,source + labeled target,target validation labels,Source+Target refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,0.9655172413793104,0.9696969696969697,0.9619047619047619,0.8938775510204081,0.8957736009344802,0.8937841368780596,,,,
one-layer,S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,MK-MMD-SEMI,mk-mmd,semi,4,1.0,0.0,380,source + labeled target,target validation labels,Source+Target refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.9346938775510204,0.9338430498035469,0.935866995580224,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source-only,source-only,uda,0,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7878787878787878,0.7897656110216497,0.7893500834677306,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source-only,source-only,uda,1,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7965367965367965,0.7979960636965467,0.7958907812922412,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source-only,source-only,uda,2,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8095238095238095,0.809626051171945,0.8098699987378518,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source-only,source-only,uda,3,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7965367965367965,0.7972803721595992,0.7979672826505224,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source-only,source-only,uda,4,0.0,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7965367965367965,0.7965646806226516,0.7973823447507659,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source+Target,source-only,semi,0,0.0,0.0,190,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8787878787878788,0.8811952048667026,0.8782121539497818,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source+Target,source-only,semi,1,0.0,0.0,20,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,0.9305555555555556,0.9382716049382717,0.9281908990011098,0.8961038961038961,0.8983718017534442,0.8959875799054585,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source+Target,source-only,semi,2,0.0,0.0,290,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8831168831168831,0.8853104312041511,0.8827483419032717,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source+Target,source-only,semi,3,0.0,0.0,40,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8787878787878788,0.8804795133297548,0.8790514609304951,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MLP Source+Target,source-only,semi,4,0.0,0.0,120,source + labeled target,target validation labels,Source+Target refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.8787878787878788,0.8804795133297549,0.8787784679089027,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-UDA,dann,uda,0,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8138528138528138,0.8144569690463411,0.8160047629807364,0.8943894389438944,0.5408424908424908,0.1,0.9816849816849816
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-UDA,dann,uda,1,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.7705627705627706,0.7733047056718555,0.7769835103168435,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-UDA,dann,uda,2,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8008658008658008,0.8006799069601002,0.7988408473098426,0.900990099009901,0.5148351648351649,0.03333333333333333,0.9963369963369964
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-UDA,dann,uda,3,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8398268398268398,0.8384326355340849,0.8434180304335342,0.9075907590759076,0.563003663003663,0.13333333333333333,0.9926739926739927
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-UDA,dann,uda,4,0.2,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8181818181818182,0.8171408123098945,0.8206042674053711,0.9108910891089109,0.5648351648351648,0.13333333333333333,0.9963369963369964
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-SEMI,dann,semi,0,0.5,0.0,80,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.9047619047619048,0.9051708713544461,0.9059344224307728,0.9042904290429042,0.5463369963369964,0.1,0.9926739926739927
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-SEMI,dann,semi,1,0.5,0.0,100,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8961038961038961,0.8962247271426015,0.8979015921258143,0.9042904290429042,0.5463369963369964,0.1,0.9926739926739927
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-SEMI,dann,semi,2,0.5,0.0,30,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,0.9583333333333334,0.9629629629629629,0.9567876911530163,0.8831168831168831,0.885310431204151,0.8834200754471834,0.900990099009901,0.5,0.0,1.0
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-SEMI,dann,semi,3,0.5,0.0,200,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.9004329004329005,0.9010556450169975,0.9006623334238165,0.9075907590759076,0.5481684981684982,0.1,0.9963369963369964
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DANN-SEMI,dann,semi,4,0.5,0.0,280,source + labeled target,target validation labels,Source+Target refit,existing run_dann_multi_splits.py,1.0,1.0,1.0,0.8831168831168831,0.8831633565933084,0.8840765936004032,0.8910891089108911,0.5241758241758242,0.06666666666666667,0.9816849816849816
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-UDA,deep-coral,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8225108225108225,0.8219717301842905,0.8223243722008888,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-UDA,deep-coral,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8095238095238095,0.8081946680980497,0.8082668573292421,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-UDA,deep-coral,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8614718614718615,0.85829307568438,0.8631383025371449,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-UDA,deep-coral,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8008658008658008,0.7999642154231527,0.8042849277250449,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-UDA,deep-coral,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.8528138528138528,0.8500626230094829,0.8534617119888437,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-SEMI,deep-coral,semi,0,1.0,0.0,50,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.9047619047619048,0.9030237967436036,0.906568643262907,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-SEMI,deep-coral,semi,1,1.0,0.0,60,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.9134199134199135,0.9134013240293433,0.9146916479840576,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-SEMI,deep-coral,semi,2,1.0,0.0,30,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,0.9583333333333334,0.9629629629629629,0.9567876911530163,0.9090909090909091,0.9092860976918947,0.9106258777730938,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-SEMI,deep-coral,semi,3,1.0,0.0,280,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.9177489177489178,0.9175165503667918,0.919404307980467,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,DEEP-CORAL-SEMI,deep-coral,semi,4,1.0,0.0,330,source + labeled target,target validation labels,Source+Target refit,existing run_deep_coral_multi_splits.py; VisionLearningGroup/CORAL,1.0,1.0,1.0,0.9134199134199135,0.9134013240293433,0.9159632787742167,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MK-MMD-UDA,mk-mmd,uda,0,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8701298701298701,0.8672392198962248,0.8724357783544535,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MK-MMD-UDA,mk-mmd,uda,1,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8571428571428571,0.8556092324208265,0.8590050922708122,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MK-MMD-UDA,mk-mmd,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8614718614718615,0.8597244587582752,0.8639430127802221,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MK-MMD-UDA,mk-mmd,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8441558441558441,0.8425478618715333,0.8460626104806979,,,,
one-layer,S5_train_I_D1_val_D2_3,Train Period I plus labeled target Day1; validate Day2-Day3; test Day4 onward.,MK-MMD-UDA,mk-mmd,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8614718614718615,0.8590087672213276,0.8635087879340753,,,,
