architecture,split,description,variant,method,mode,seed,alignment_strength,centroid_strength,best_epoch,label_usage,selection_usage,final_training,algorithm_provenance,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,domain_accuracy,domain_balanced_accuracy,domain_source_recall,domain_target_recall
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,2,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8681318681318682,0.8653549382716049,0.8702026105089721,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,3,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8498168498168498,0.8473508230452675,0.8516136504689725,,,,
one-layer,S1_train_I_test_all,Train Period I only; no validation; test every current later-day sample.,MK-MMD-UDA,mk-mmd,uda,4,0.1,0.0,400,source labels only,fixed hyperparameters; target labels prohibited for UDA selection,source-only; no refit,THU Transfer-Learning-Library tllib/alignment/dan.py and tllib/modules/kernels.py,1.0,1.0,1.0,0.8681318681318682,0.8647119341563786,0.8695913237089706,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,0,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6556776556776557,0.6671810699588477,0.6434222736162862,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,1,0.0,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.8666666666666667,0.8888888888888888,0.8545548654244306,0.7032967032967034,0.7155349794238682,0.6982600732600733,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,2,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.9333333333333333,0.9444444444444443,0.9320884429580082,0.717948717948718,0.7242798353909464,0.7211233211233211,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,3,0.0,0.0,20,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,0.9,0.9166666666666666,0.8943001443001443,0.6593406593406593,0.6667952674897119,0.6587817859254879,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,MLP Source-only,source-only,uda,4,0.0,0.0,80,source train + source validation labels,source validation labels,source train+source validation refit,shared PyTorch source-only baseline,1.0,1.0,1.0,0.7985347985347986,0.7993827160493828,0.800699654116315,,,,
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,0,0.2,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8333333333333334,0.8611111111111112,0.8240387063916476,0.6703296703296703,0.6804269547325102,0.6642698532110759,0.9161073825503355,0.5,0.0,1.0
one-layer,S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,DANN-UDA,dann,uda,1,0.2,0.0,10,source train + source validation labels,source validation labels,source train+source validation refit,existing run_dann_multi_splits.py,0.8666666666666667,0.8888888888888888,0.8545548654244306,0.6886446886446886,0.7016460905349794,0.6814662875121885,0.9161073825503355,0.5,0.0,1.0
