experiment,family,backbone,method,probe,split,seed,latent_dimensions,probe_dimensions,alignment_strength,centroid_strength,best_epoch,lr_C,train_accuracy,train_balanced_accuracy,train_macro_f1,neural_test_accuracy,neural_test_balanced_accuracy,neural_test_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
linear54-dann,noncompressive-54D,linear54,dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,54,54,0.2,0.0,250,1.0,1.0,1.0,1.0,0.9560975609756096,0.9547656308219687,0.9557952881864696,0.9560975609756096,0.9559579700424772,0.9567365401867506
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,0,54,54,0.2,0.0,270,1.0,1.0,1.0,1.0,0.8612244897959184,0.8626951258362535,0.8640628665259208,0.8734693877551021,0.879154720186896,0.8756711256711256
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,1,54,54,0.2,0.0,380,1.0,1.0,1.0,1.0,0.9306122448979592,0.9292768397578848,0.9310938865937568,0.9428571428571428,0.943665710948285,0.9430929026843616
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8775510204081632,0.8802697249654879,0.8769826401898339,0.9142857142857144,0.9151534458957205,0.9167481306267764
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,3,54,54,0.2,0.0,130,1.0,1.0,1.0,1.0,0.8734693877551021,0.8750132738664118,0.8765764812128737,0.926530612244898,0.9267813528724648,0.929347052899209
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI1_train_I_D1_val_D2_test_D3plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8163265306122449,0.820059466921525,0.8153625482473141,0.9306122448979592,0.9306573218647128,0.9328381355325628
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,0,54,54,0.2,0.0,270,1.0,1.0,1.0,1.0,0.8961038961038961,0.8976561102164967,0.8991447641141258,0.9134199134199136,0.9141170155662908,0.9161800918128996
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,1,54,54,0.2,0.0,390,1.0,0.9861111111111112,0.9876543209876544,0.9876500857632934,0.8571428571428571,0.8577563070316693,0.8601587502995954,0.9090909090909092,0.9114331723027376,0.9115243824909156
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8787878787878788,0.8804795133297549,0.8788564862005431,0.9264069264069263,0.9264626945786366,0.9291446493328293
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,3,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8701298701298701,0.8722490606548577,0.8705491375217598,0.9134199134199136,0.9134013240293434,0.9166869166869166
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI2_train_I_D1_val_D2_3_test_D4plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8268398268398268,0.829665414206477,0.8272609280118667,0.9307359307359307,0.9305779209160852,0.932841772001238
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,54,54,0.2,0.0,280,1.0,1.0,1.0,1.0,0.951219512195122,0.9494746255309636,0.9510582157317972,0.9658536585365852,0.9659438110142337,0.966465148378192
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,54,54,0.2,0.0,310,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9422350138481872,0.9658536585365852,0.9659438110142337,0.9667982505350532
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,54,54,0.2,0.0,390,1.0,1.0,1.0,1.0,0.9560975609756096,0.9541694612117148,0.9558530471067956,0.975609756097561,0.975333482375736,0.9760915428289364
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,54,54,0.2,0.0,90,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.9415344062079876,0.951219512195122,0.9512631343617258,0.9523192072527934
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,54,54,0.2,0.0,110,1.0,0.9897959183673468,0.990990990990991,0.9886310688659026,0.9414634146341464,0.9400849541694613,0.9415344062079876,0.9707317073170731,0.9706386466949848,0.9711071252586972
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,54,54,0.2,0.0,150,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.941940939113936,0.9560975609756096,0.9565541396527312,0.9571598894591394
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,54,54,0.2,0.0,40,1.0,1.0,1.0,1.0,0.926829268292683,0.9254042775169536,0.9260696694558184,0.9609756097560976,0.9612489753334824,0.9618165318603276
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,54,54,0.2,0.0,280,1.0,1.0,1.0,1.0,0.9365853658536586,0.93539011848871,0.9376879310034392,0.9560975609756096,0.9559579700424772,0.9569476335183832
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8878048780487805,0.8878455920709442,0.8877045650301465,0.9414634146341464,0.9394887845592071,0.9422526807670644
linear54-cdan,noncompressive-54D,linear54,cdan,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,54,54,0.2,0.0,290,1.0,1.0,1.0,1.0,0.946341463414634,0.9447797898502124,0.9462963109698924,0.9609756097560976,0.9612489753334824,0.9618165318603276
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,0,54,54,0.2,0.2,110,1.0,1.0,1.0,1.0,0.8367346938775511,0.8346076245088669,0.8418367809042482,0.8653061224489796,0.8631198895614314,0.86927555584272
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,1,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8612244897959184,0.8647658489964957,0.8590593176488296,0.9061224489795918,0.9074015079112244,0.908929399453593
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,2,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8816326530612245,0.883455452904322,0.8810881453286518,0.926530612244898,0.9267813528724648,0.9290005993407252
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,3,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8571428571428571,0.8581289157905915,0.8556466627054862,0.8816326530612245,0.8813847297440799,0.8835015717548025
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI1_train_I_D1_val_D2_test_D3plus,4,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8244897959183674,0.8278114049060211,0.8234062925551676,0.9224489795918368,0.9229053838802166,0.9245144213028595
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,0,54,54,0.2,0.2,220,1.0,1.0,1.0,1.0,0.9090909090909092,0.9057076400071568,0.908965083945998,0.8831168831168831,0.8810162819824655,0.883144266646633
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,1,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8831168831168831,0.8838790481302558,0.8827849117174961,0.9307359307359307,0.9298622293791377,0.9329561134706018
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,2,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8831168831168831,0.8845947396672034,0.8830925473637731,0.9393939393939394,0.9388083735909823,0.941293909597873
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,3,54,54,0.2,0.2,10,1.0,1.0,1.0,1.0,0.8787878787878788,0.8790481302558598,0.8793884326019565,0.9090909090909092,0.9085704061549472,0.9119942628026536
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,4,54,54,0.2,0.2,300,1.0,1.0,1.0,1.0,0.9177489177489178,0.913938092682054,0.9175595646952726,0.9090909090909092,0.9064233315441044,0.910057079677988
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,54,54,0.2,0.2,70,1.0,1.0,1.0,1.0,0.9365853658536586,0.934793948878456,0.9365495372297202,0.9414634146341464,0.9400849541694613,0.9415431677103032
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,54,54,0.2,0.2,320,1.0,1.0,1.0,1.0,0.9121951219512195,0.9101274312541916,0.9125481934915106,0.9317073170731708,0.9300991131977048,0.9319046487685118
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,54,54,0.2,0.2,90,1.0,1.0,1.0,1.0,0.926829268292683,0.9242119382964454,0.926495513010202,0.9365853658536586,0.934793948878456,0.9365495372297202
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,54,54,0.2,0.2,40,1.0,1.0,1.0,1.0,0.926829268292683,0.9248081079066997,0.9260408495307824,0.9365853658536586,0.934793948878456,0.9365495372297202
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,54,54,0.2,0.2,190,1.0,1.0,1.0,1.0,0.9365853658536586,0.934793948878456,0.9363123961659654,0.9365853658536586,0.9341977792682018,0.936031746031746
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,54,54,0.2,0.2,60,1.0,1.0,1.0,1.0,0.9414634146341464,0.9400849541694613,0.941185449880452,0.951219512195122,0.9500707951412176,0.9510978375089874
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,54,54,0.2,0.2,40,1.0,1.0,1.0,1.0,0.946341463414634,0.9453759594604664,0.9462252215366797,0.951219512195122,0.9506669647514716,0.9519369343022616
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,54,54,0.2,0.2,80,1.0,1.0,1.0,1.0,0.926829268292683,0.9242119382964454,0.926495513010202,0.9365853658536586,0.934793948878456,0.9365495372297202
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,54,54,0.2,0.2,30,1.0,1.0,1.0,1.0,0.9365853658536586,0.934793948878456,0.9360191055819372,0.9560975609756096,0.955361800432223,0.956767305947634
linear54-c-dann,noncompressive-54D,linear54,c-dann,latent,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,54,54,0.2,0.2,70,1.0,1.0,1.0,1.0,0.9317073170731708,0.9295029435874508,0.9304531085353004,0.9414634146341464,0.9394887845592071,0.9407139412626884
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,0,54,54,0.2,0.0,20,1.0,1.0,1.0,1.0,0.8938775510204081,0.8943931188276522,0.8947127925087729,0.8979591836734694,0.9003398109801424,0.8992647564076135
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,1,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8979591836734694,0.9003398109801424,0.897387880533948,0.8489795918367347,0.8510672188595093,0.8483211199997477
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.889795918367347,0.8918976319422321,0.8905157982402189,0.8693877551020408,0.8711373048741637,0.8706085314012952
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,3,54,54,0.2,0.0,30,1.0,1.0,1.0,1.0,0.8857142857142857,0.8887119040033982,0.8844593947463704,0.8816326530612245,0.8848359350111501,0.8812686428038777
residual54-dann,noncompressive-54D,residual54,dann,latent,SI1_train_I_D1_val_D2_test_D3plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.8734693877551021,0.8743230328129977,0.8725639387878478,0.8122448979591836,0.8141127747690348,0.8075700752880324
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,0,54,54,0.2,0.0,20,1.0,1.0,1.0,1.0,0.8961038961038961,0.8947933440687064,0.898903927475356,0.8961038961038961,0.8976561102164967,0.8970874598267917
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,1,54,54,0.2,0.0,50,1.0,1.0,1.0,1.0,0.8181818181818182,0.8207192699946323,0.8183059279505981,0.8831168831168831,0.8845947396672035,0.8877690936514466
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.9177489177489178,0.918947933440687,0.9189953008691312,0.8961038961038961,0.8969404186795491,0.8980078542176475
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,3,54,54,0.2,0.0,30,1.0,1.0,1.0,1.0,0.8961038961038961,0.8990874932903918,0.8962127316680096,0.922077922077922,0.9230631597781356,0.9252307749641306
residual54-dann,noncompressive-54D,residual54,dann,latent,SI2_train_I_D1_val_D2_3_test_D4plus,4,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.9004329004329005,0.9003399534800499,0.900088103642997,0.8528138528138528,0.8529253891572731,0.8511841514358102
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,54,54,0.2,0.0,190,1.0,1.0,1.0,1.0,0.9219512195121952,0.91892093300544,0.920992684084703,0.9219512195121952,0.9195171026156942,0.9216993499406576
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,54,54,0.2,0.0,130,1.0,1.0,1.0,1.0,0.9170731707317074,0.9183992845964676,0.9165976742546528,0.9170731707317074,0.9148222669349432,0.917321767416644
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,54,54,0.2,0.0,10,1.0,1.0,1.0,1.0,0.951219512195122,0.9518593039719802,0.9514042774644104,0.9317073170731708,0.9300991131977048,0.9316003793662616
residual54-dann,noncompressive-54D,residual54,dann,latent,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,54,54,0.2,0.0,110,1.0,1.0,1.0,1.0,0.9317073170731708,0.9306952828079588,0.9322791033651436,0.9560975609756096,0.955361800432223,0.9565066365992128
