experiment,family,backbone,method,split,seed,alignment_strength,centroid_strength,best_epoch,validation_neural_accuracy,validation_neural_balanced_accuracy,validation_neural_macro_f1,validation_lr_accuracy,validation_lr_balanced_accuracy,validation_lr_macro_f1
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,0.2,0.2,220,0.7692307692307693,0.7999999999999999,0.757516339869281,0.8076923076923077,0.8333333333333334,0.8084415584415584
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,0.2,0.2,10,0.8076923076923077,0.8333333333333334,0.7999999999999999,0.9230769230769232,0.9333333333333332,0.9234817813765184
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI2_train_I_D1_val_D2_3_test_D4plus,2,0.2,0.2,10,0.7692307692307693,0.7999999999999999,0.7701238390092877,0.8846153846153846,0.9,0.882010582010582
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI2_train_I_D1_val_D2_3_test_D4plus,3,0.2,0.2,10,0.8076923076923077,0.8333333333333334,0.8010835913312694,0.8461538461538461,0.8666666666666666,0.8402992776057792
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI2_train_I_D1_val_D2_3_test_D4plus,4,0.2,0.2,300,0.8076923076923077,0.8333333333333334,0.8023809523809523,0.8076923076923077,0.8333333333333334,0.8023809523809523
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,0.2,0.2,70,0.9,0.9,0.9062034170393304,0.9,0.9,0.9062034170393304
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,0.2,0.2,320,0.9,0.9,0.8993265993265993,0.925,0.9222222222222222,0.928343586238323
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,0.2,0.2,90,0.925,0.9222222222222222,0.928343586238323,0.9,0.9,0.9062034170393304
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,0.2,0.2,40,0.9,0.9,0.9062034170393304,0.95,0.9555555555555556,0.9553571428571428
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,0.2,0.2,190,0.95,0.9444444444444444,0.9501285541439808,0.925,0.9222222222222222,0.928343586238323
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,0.2,0.2,60,0.9230769230769232,0.9111111111111112,0.9218500797448166,0.9230769230769232,0.9111111111111112,0.9218500797448166
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,0.2,0.2,40,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.9230769230769232,0.9333333333333332,0.9326599326599326
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,0.2,0.2,80,0.9230769230769232,0.9111111111111112,0.9218500797448166,0.9230769230769232,0.9333333333333332,0.9326599326599326
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,0.2,0.2,30,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.9615384615384616,0.9666666666666668,0.9665831244778612
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,0.2,0.2,70,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.8846153846153846,0.9,0.8976982097186701
residual54-dann,noncompressive-54D,residual54,dann,SI1_train_I_D1_val_D2_test_D3plus,0,0.2,0.0,20,1.0,1.0,1.0,1.0,1.0,1.0
residual54-dann,noncompressive-54D,residual54,dann,SI1_train_I_D1_val_D2_test_D3plus,1,0.2,0.0,10,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
residual54-dann,noncompressive-54D,residual54,dann,SI1_train_I_D1_val_D2_test_D3plus,2,0.2,0.0,10,0.9166666666666666,0.9333333333333332,0.8962962962962964,0.9166666666666666,0.9333333333333332,0.8962962962962964
residual54-dann,noncompressive-54D,residual54,dann,SI1_train_I_D1_val_D2_test_D3plus,3,0.2,0.0,30,1.0,1.0,1.0,1.0,1.0,1.0
