experiment,family,method,split,seed,epoch,classification_loss,alignment_loss,centroid_loss,total_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,90,0.0086637381464242,0.5490329265594482,0.0,0.5576966404914856,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,100,0.0077672828920185,0.4993990957736969,0.0,0.5071663856506348,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,110,0.0067268884740769,0.4742491543292999,0.0,0.4809760451316833,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,120,0.0062349075451493,0.4677257239818573,0.0,0.4739606380462646,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,130,0.0059870211407542,0.4848865866661072,0.0,0.4908736050128937,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,140,0.0057601453736424,0.4927933514118194,0.0,0.4985534846782684,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,150,0.0053868787363171,0.4716073870658874,0.0,0.4769942760467529,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,160,0.0056226789020001,0.431818276643753,0.0,0.43744096159935,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,170,0.0053310440853238,0.3988046646118164,0.0,0.4041357040405273,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,180,0.0054493667557835,0.422615647315979,0.0,0.4280650019645691,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,190,0.0067098336294293,0.544372022151947,0.0,0.5510818362236023,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,200,0.0127484640106558,0.9024875164031982,0.0,0.915235996246338,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,210,0.0085704075172543,0.8317236304283142,0.0,0.8402940630912781,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,220,0.0062178159132599,0.623599112033844,0.0,0.6298169493675232,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,230,0.0042877993546426,0.6710113883018494,0.0,0.6752991676330566,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,240,0.003673345549032,0.5227661728858948,0.0,0.5264395475387573,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,250,0.0031826349440962,0.3534562587738037,0.0,0.3566389083862304,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,260,0.0021840631961822,0.2600866556167602,0.0,0.2622707188129425,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,270,0.0016676277155056,0.2144290953874588,0.0,0.2160967290401458,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,280,0.0013989182189106,0.1896514445543289,0.0,0.1910503655672073,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,290,0.0012256122427061,0.1743502020835876,0.0,0.1755758076906204,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,300,0.0011146203614771,0.1646020114421844,0.0,0.1657166332006454,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,310,0.0010478160111233,0.1488052606582641,0.0,0.1498530805110931,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,320,0.0010478756157681,0.1540503948926925,0.0,0.1550982743501663,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,330,0.0010914260055869,0.2134216874837875,0.0,0.2145131081342697,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,340,0.0013400960015133,0.6686229109764099,0.0,0.669963002204895,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,350,0.0045967171899974,1.1332074403762815,0.0,1.13780415058136,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,360,0.0058619328774511,0.5500710010528564,0.0,0.5559329390525818,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,370,0.0036508778575807,0.261895090341568,0.0,0.2655459642410278,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,380,0.0022635143250226,0.2024179995059967,0.0,0.2046815156936645,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,1,390,0.0018765851855278,0.1707508862018585,0.0,0.1726274788379669,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,2,1,1.192610263824463,0.7232953906059265,0.0,1.9159057140350344,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,2,10,0.3782972991466522,0.4874115288257599,0.0,0.8657088279724121,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,1,0.8330762982368469,0.7695019245147705,0.0,1.6025781631469729,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,10,0.2738988697528839,0.5112742185592651,0.0,0.7851730585098267,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,20,0.1055753603577613,0.6052073240280151,0.0,0.7107827067375183,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,30,0.0489328652620315,1.6792335510253906,0.0,1.7281664609909058,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,40,0.0322278626263141,1.9516466856002808,0.0,1.9838745594024656,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,50,0.0253032874315977,1.3175299167633057,0.0,1.342833161354065,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,60,0.0081769004464149,0.750275194644928,0.0,0.7584521174430847,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,70,0.0059581915847957,0.64016193151474,0.0,0.6461201310157776,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,80,0.0054660602472722,0.5655131340026855,0.0,0.5709791779518127,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,90,0.0048270793631672,0.5414878726005554,0.0,0.5463149547576904,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,100,0.0040612020529806,0.5426135063171387,0.0,0.5466747283935547,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,110,0.0036665380466729,0.5474110245704651,0.0,0.5510775446891785,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,120,0.0035924767144024,0.5595579743385315,0.0,0.5631504654884338,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,130,0.0034742245916277,0.5695881247520447,0.0,0.5730623602867126,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,140,0.0045092329382896,0.553887665271759,0.0,0.5583968758583069,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,150,0.0047674272209405,0.5175430774688721,0.0,0.5223104953765869,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,3,160,0.0042097903788089,0.4763344526290893,0.0,0.480544239282608,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,4,1,1.711997628211975,0.6925653219223022,0.0,2.4045629501342773,,,
linear54-dann,noncompressive-54D,dann,SI1_train_I_D1_val_D2_test_D3plus,4,10,0.4449806213378906,0.3923085033893585,0.0,0.8372890949249268,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,1,0.9897693991661072,0.716717541217804,0.0,1.7064869403839111,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,10,0.2920317053794861,0.3868551552295685,0.0,0.678886890411377,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,20,0.1401276886463165,2.118516445159912,0.0,2.2586441040039062,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,30,0.0757601037621498,1.345067024230957,0.0,1.4208271503448486,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,40,0.0472284369170665,1.0550758838653564,0.0,1.1023043394088743,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,50,0.0234306529164314,0.7355265617370605,0.0,0.7589572072029114,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,60,0.0136710982769727,0.6313169002532959,0.0,0.6449880003929138,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,70,0.0091316932812333,0.7596185803413391,0.0,0.7687502503395081,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,80,0.0081418640911579,0.8298065662384033,0.0,0.8379484415054321,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,90,0.0053909965790808,0.6539450883865356,0.0,0.6593360900878906,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,100,0.0042538265697658,0.5723797678947449,0.0,0.5766335725784302,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,110,0.003605788340792,0.5154330730438232,0.0,0.5190388560295105,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,120,0.0031712867785245,0.4945568442344665,0.0,0.4977281391620636,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,130,0.0031269153114408,0.5407142639160156,0.0,0.5438411831855774,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,140,0.0032256608828902,0.6074303984642029,0.0,0.6106560826301575,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,150,0.003437855746597,0.5282616019248962,0.0,0.5316994786262512,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,160,0.0042565600015223,0.510521411895752,0.0,0.5147779583930969,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,170,0.0034693458583205,0.6247103810310364,0.0,0.6281797289848328,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,180,0.0042839730158448,0.5136439800262451,0.0,0.5179279446601868,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,190,0.0056202253326773,0.5947085618972778,0.0,0.600328803062439,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,200,0.0065057342872023,0.702103853225708,0.0,0.7086095809936523,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,210,0.0047040171921253,0.569431722164154,0.0,0.5741357207298279,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,220,0.0042629265226423,0.5199417471885681,0.0,0.524204671382904,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,230,0.0028315521776676,0.5731831789016724,0.0,0.5760147571563721,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,0,240,0.0043285740539431,0.6794901490211487,0.0,0.6838186979293823,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,1,1.1107677221298218,0.701233446598053,0.0,1.8120012283325195,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,10,0.3119614422321319,0.4195529222488403,0.0,0.7315143346786499,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,20,0.1538526266813278,0.3665857315063476,0.0,0.5204383730888367,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,30,0.082841157913208,5.136938095092773,0.0,5.219779014587402,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,40,0.0690976753830909,3.002352237701416,0.0,3.0714499950408936,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,50,0.0552956461906433,1.3861688375473022,0.0,1.4414644241333008,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,60,0.0254483204334974,0.6547377109527588,0.0,0.6801860332489014,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,70,0.0146537013351917,0.6583636999130249,0.0,0.6730173826217651,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,80,0.0109449438750743,0.5530357956886292,0.0,0.563980758190155,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,90,0.0082969963550567,0.5474265813827515,0.0,0.5557235479354858,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,100,0.0067303534597158,0.5227340459823608,0.0,0.5294644236564636,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,110,0.0057737296447157,0.5144882202148438,0.0,0.5202619433403015,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,120,0.0052168918773531,0.5134439468383789,0.0,0.518660843372345,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,130,0.0048269308172166,0.5190929174423218,0.0,0.5239198207855225,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,140,0.0045821340754628,0.5288393497467041,0.0,0.5334214568138123,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,150,0.0044517195783555,0.53763747215271,0.0,0.5420891642570496,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,160,0.0044318027794361,0.5455942153930664,0.0,0.550025999546051,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,170,0.0044263498857617,0.5413180589675903,0.0,0.5457444190979004,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,180,0.0041799102909862,0.5249966979026794,0.0,0.5291765928268433,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,190,0.0038424006197601,0.515925943851471,0.0,0.5197683572769165,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,200,0.0036562134046107,0.5132677555084229,0.0,0.5169239640235901,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,210,0.0035451336298137,0.5191545486450195,0.0,0.5226996541023254,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,220,0.0034134916495531,0.5326748490333557,0.0,0.5360883474349976,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,230,0.0033304272219538,0.5362234115600586,0.0,0.5395538210868835,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,240,0.0031191308517009,0.557783305644989,0.0,0.5609024167060852,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,250,0.0030200548935681,0.6506856083869934,0.0,0.6537056565284729,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,260,0.0040793563239276,0.5836700797080994,0.0,0.5877494215965271,,,
linear54-dann,noncompressive-54D,dann,SI2_train_I_D1_val_D2_3_test_D4plus,1,270,0.0035001502837985,0.7173588275909424,0.0,0.7208589911460876,,,
