representation,day,day_num,gas,n_trials,rawMean_s1,rawMean_s2,rawMean_s3,rawMean_s4,rawMean_s5,rawMean_s6,deltaR_s1,normDeltaR_s1,riseEMA_a0.1_s1,riseEMA_a0.01_s1,riseEMA_a0.001_s1,recEMA_a0.1_s1,recEMA_a0.01_s1,recEMA_a0.001_s1,deltaR_s2,normDeltaR_s2,riseEMA_a0.1_s2,riseEMA_a0.01_s2,riseEMA_a0.001_s2,recEMA_a0.1_s2,recEMA_a0.01_s2,recEMA_a0.001_s2,deltaR_s3,normDeltaR_s3,riseEMA_a0.1_s3,riseEMA_a0.01_s3,riseEMA_a0.001_s3,recEMA_a0.1_s3,recEMA_a0.01_s3,recEMA_a0.001_s3,deltaR_s4,normDeltaR_s4,riseEMA_a0.1_s4,riseEMA_a0.01_s4,riseEMA_a0.001_s4,recEMA_a0.1_s4,recEMA_a0.01_s4,recEMA_a0.001_s4,deltaR_s5,normDeltaR_s5,riseEMA_a0.1_s5,riseEMA_a0.01_s5,riseEMA_a0.001_s5,recEMA_a0.1_s5,recEMA_a0.01_s5,recEMA_a0.001_s5,deltaR_s6,normDeltaR_s6,riseEMA_a0.1_s6,riseEMA_a0.01_s6,riseEMA_a0.001_s6,recEMA_a0.1_s6,recEMA_a0.01_s6,recEMA_a0.001_s6
raw6_post60_centroid_zscore,Day7,7,air,2,-1.2416160122907713,-0.8685975534068691,-1.1344004536948569,-0.9073582646091811,-1.1877619991050898,-0.5614540768087853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day7,7,alcohol,3,0.2534353793061635,-0.4872516329478415,0.3720266489519468,-0.4559763302342676,-0.1125086774211242,-0.09930178793016481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day8,8,acetone,5,0.06530700575080375,0.4131335178160054,-0.056853395208415036,-0.1275959868747046,-0.17608594723355064,-0.30133382643559575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day8,8,air,2,-1.196932050204985,-0.774882322119091,-0.5798247367013707,-0.7982693378836345,-1.2718183065403657,-0.11791825343711412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day8,8,alcohol,5,-0.3974880737588747,-0.627126592075403,-0.2438224310377864,-0.6275983414694655,-0.6053389460001842,-0.5641201063798448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day9,9,acetone,4,-0.08631662777719892,0.20652659108302748,0.1403605299190313,-0.041689639548919695,-0.16892565861025569,-0.37794685248103854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day9,9,air,2,-1.1780602143200498,-0.7907286530217286,-0.3227818152720866,-0.7083849318563114,-1.0967929388357416,-0.233228554798853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day9,9,alcohol,4,0.28285181502481066,-0.42232269616920953,0.3865653484526815,-0.3283480090224946,0.0578884268804707,-0.05121684666054527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day10,10,acetone,4,-0.3527432362283418,0.028561881869959227,-0.9212970993289843,-0.08818012608060713,-0.32899915759330545,-0.28939797378875787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day10,10,air,2,-1.1834248731905177,-0.9160920085329216,-1.539925957893734,-1.03835151834049,-1.2675464081030996,-0.437136928964086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day10,10,alcohol,4,-0.4810122549743434,-0.5681799100636858,0.04582677458967255,-0.5139114640771489,-0.4835055446982972,-0.14960943015944994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day11,11,acetone,4,0.0333089425500083,0.2952643649856107,-0.28763186963524723,-0.0064034589885341026,-0.12731243502795736,0.15723433949230672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day11,11,air,2,-1.1487652949363558,-0.7476473474238782,-0.1954811662116032,-0.5879017851578484,-1.0097957609453958,-0.07132720023540647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day11,11,alcohol,4,-0.2961541022423213,-0.6193685141262616,-0.0679759775525017,-0.5887576574879068,-0.4261089091596272,0.25711615736019483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day12,12,acetone,2,0.9827938952565546,0.8595774803540817,-0.11449671214833473,0.35248779729436625,0.1604014595550187,-0.6193314189481455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day12,12,air,5,-1.2126298158419906,-0.808770656247715,-0.7897411256331048,-0.9439185392575901,-1.2609817864843125,-0.43541431195478664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day12,12,alcohol,2,0.9493166084754558,-0.33559566331118024,0.19866024673360086,-0.0855998132675033,0.5096311725251952,0.7723953498658859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day13,13,acetone,3,0.6130104831039075,0.8680181613325395,-0.3032607345069372,0.4227506974449173,0.40634053986601365,-0.1396812653081411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day13,13,air,6,-1.2322325476479734,-0.9086124939079118,-0.9897986678385552,-0.9673500788806639,-1.2259487333239905,-0.3593757895065662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day13,13,alcohol,3,1.0005008268717301,-0.23012000905986738,1.2140134984385555,-0.18909197318497503,0.494783390354669,-0.14116099594322135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day14,14,acetone,3,-0.27083917013930464,-0.06049514133501044,-0.15520325070352195,0.1360417105293024,0.12555583781390775,-0.13140395298704807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day14,14,air,6,-1.1826521108765409,-0.8037558001567588,-0.8672195245557289,-0.8162412835327744,-1.1816027202320536,-0.5349306130919228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day14,14,alcohol,3,0.07513820582167076,-0.6154283444260873,0.23302753893179529,-0.3569759237343469,0.5200858202276865,-0.1779055171740818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day15,15,air,4,-1.2336414777142553,-0.8012237819816279,-0.6440269674760278,-0.865899968526638,-1.2143904227455644,-1.2940851147513524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day16,16,acetone,5,0.5517927232554256,0.471093195266148,-0.15050224613067206,0.48684947320760763,0.735950742021757,-0.3989117562100046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day16,16,air,4,-1.304299526335675,-0.9448834517342163,-1.331933404048684,-1.0041751169986817,-1.2972945202015018,-0.49215679743692237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day16,16,alcohol,5,0.8442949718776248,-0.6761485436448427,0.5916792804966579,-0.41564362666754534,1.1412747350886516,0.3440757645479896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day17,17,acetone,5,1.2052584637195662,0.9232582916985942,-0.021281468952652947,0.9925263499379702,0.9765613255728951,-0.11632859580751512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day17,17,air,4,-1.1634915312958487,-0.7671677305291352,-0.5226789759955508,-0.8363631486369668,-1.1707482309485948,-0.1715152640569284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw6_post60_centroid_zscore,Day17,17,alcohol,5,2.2150037675515,-0.31682122792892176,1.3234626402398724,0.2132524369570251,2.032109096001185,-0.10729300706494418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uci48_features_zscore,Day1,1,acetone,5,,,,,,,1.1083104857284085,2.0732262064325746,1.2188222663356734,1.0841882312778757,1.0903475411970958,-0.9911195434688992,-0.8191201360815483,-0.8079008880340728,2.941130666520106,3.071277559170002,2.796157818643635,2.8604897201696753,2.9129829002170764,-3.0516167817958904,-2.808241135371898,-2.6935914665068235,1.4902943093522185,1.6810984296744347,1.5094155566654304,1.354752153496765,1.3917068678909552,0.031987003138631384,0.06619758683350314,0.010037427944284593,3.505680748140052,4.014882178105273,2.969520229508619,3.1756575421368116,3.3869021262786916,-3.0536353500811275,-3.4670849305679505,-3.390027909793576,2.0489562858359927,2.9126572453010544,2.36227340198676,2.0874370717588513,2.0434280190730365,-1.3279871806587056,-1.1628482571283656,-1.1014605802105728,0.5245855260485615,0.7229213320852551,0.8975165585162574,0.9689895646798637,0.9959181691101422,-0.43338449092913345,-0.553503229945911,-0.6280031362313355
uci48_features_zscore,Day1,1,air,2,,,,,,,-1.1499958824647847,-1.0807638789607297,-0.9605618871617503,-1.0642196052489854,-1.093660519191452,0.9640929350591319,1.0502540190294063,1.1220516549042927,-0.7334831326410041,-0.7292522320071411,-0.7541159271865754,-0.7418761597915502,-0.7036224563758575,0.6151859843686946,0.6978894512808036,0.7055154130567423,-0.49134833148424656,-0.38519112386522497,-0.7725198247426913,-0.6596876028463277,-0.5073322916052572,0.6912358518209805,1.1074062580936965,1.008829129308411,-0.767952342104937,-0.6603056531370891,-0.7614266221387387,-0.7659141700648181,-0.7473889973753038,1.063110779839589,0.9751126261114973,0.9026323729435601,-1.1634737878768049,-1.068495804036103,-1.0371021043586,-1.1496410128285908,-1.1890059255591687,1.0265137840786964,1.0343940887933407,1.0310940674742222,-0.06482520759155236,-0.07286079364634984,0.23738184423343706,0.31668123202085985,0.3536427186385619,0.5591569321007098,0.6716210113901651,0.6698540344778803
uci48_features_zscore,Day1,1,alcohol,5,,,,,,,0.12286770688046955,0.84950206360895,-0.3451967514689288,-0.036194682385042164,0.12452453061380538,-0.07801839151999795,-0.011287793710174751,-0.08748654749375293,0.023255516165829458,0.09231669819614885,-0.18392191124014923,-0.032429188482009624,0.029394251285610656,0.05890430611505053,0.12515073116922373,0.0930161971718934,1.3378602600571061,1.6874016166829449,1.1294068002058157,1.1566784693430723,1.485859266308473,-0.241816567115612,-0.4078232058962037,-0.6295628059443967,0.27908776500508525,0.5059687756885356,-0.17510516665302733,0.09934060136516883,0.2944593512045718,0.09676999153648785,-0.29329930047316866,-0.479048265461351,0.11130005089811486,0.6559662673870156,-0.17307525414643382,0.04037315053850605,0.12067871916565649,-0.35563094812204443,-0.32346342958244023,-0.4286994956255666,0.9175260151419705,1.0625638760621259,0.9736080865825907,0.9775578477167242,0.9967732531106593,-0.8404362332052722,-0.7563031776972048,-0.6736400546442942
uci48_features_zscore,Day2,2,acetone,5,,,,,,,0.36922840159245424,0.8725688764805273,0.4543684207921984,0.4104444472113248,0.39087097527401304,-0.14686466926332187,-0.034975981322241466,-0.07099393610879753,1.604907466825157,1.6104544511739391,1.514273809264811,1.5641422200570936,1.6154692793201537,-1.2169626889669094,-1.0759070513559787,-1.0712293783883922,0.4232559642864297,0.5608009890197311,0.31129060143873283,0.38914570068280707,0.5317165385048392,-0.08708632585252278,-0.5118007468200304,-0.6260472605318995,1.4116005339200073,1.4463545623687952,1.2256872979608542,1.3283356194146618,1.4521988983218233,-0.6382833695687798,-0.9287790707758461,-1.014748844715727,0.7741824470610732,1.1713857959630523,0.7291073220224357,0.7796274010081083,0.7543121016666076,-0.18252736792344448,-0.06523121597502926,-0.03865853391292452,-0.6542359412316662,-0.6503535679951465,-0.7694586586104064,-0.7579207729910008,-0.7149684574731069,0.009313849551480314,-0.10926141662881923,-0.18812631590587892
uci48_features_zscore,Day2,2,air,2,,,,,,,-1.2013210271964483,-1.1534562322009188,-1.1308951291007485,-1.1790669944812735,-1.1970590203575047,1.4037820393588185,1.2005847795378717,1.1407660647748958,-0.8016577856866647,-0.7918252733446477,-0.7572297802647935,-0.7589615507686871,-0.7617258233837951,0.6063276518366474,0.7616902062030351,0.7850626633522282,-0.8724334547220284,-0.6768879388619616,-0.7880191213497244,-0.8486131233716802,-0.8296213932700459,0.00032895253640510824,0.5259329589909058,0.9151749266374811,-0.7145319284768746,-0.6035329653391229,-0.7205337628339473,-0.6935749925803472,-0.6475293636294803,0.915184109995776,1.139365724390193,1.0260035684679851,-1.1634737878768049,-1.0565819846134694,-1.0292675602242531,-1.1249608668851026,-1.14967773376554,1.1195508694074094,1.1490469323178654,1.1470314705575035,-1.0471764303250752,-1.0140617602200042,-0.8628426795712637,-0.7704993224108134,-0.7168163654807387,0.8947105305127079,0.7792222100053641,0.6916273247450343
uci48_features_zscore,Day2,2,alcohol,5,,,,,,,0.3281682858071234,0.6272061262353178,0.08969828388806118,0.23402419297852659,0.33152148483968447,0.0891300681858902,-0.06580836953107551,-0.12972867671402238,-0.08582392870722758,-0.11222907448830766,-0.052592703916042795,-0.07163961711013041,-0.0656666889552647,0.28564650613234355,0.2526513761429163,0.23287724670098905,1.185426210761993,1.2100597337135373,1.0016971178775897,1.0654451903622584,1.1231635009487744,0.0927731793515196,-0.17211118285724444,-0.20618232570892164,0.04403794504161087,0.06068637406978579,-0.17459387812274052,0.008252664030188461,0.05861646230750184,0.34845547941322497,-0.014254221536070644,-0.173516771575283,0.2982668805851031,0.4368771918868871,0.026191078167660788,0.18482227430447623,0.3178970505108827,-0.09012003747790183,-0.17692542065401118,-0.2713386131207983,0.13164503695515214,0.07159568381827822,0.017648067586256522,0.1019566598726045,0.1399594168167812,0.37869691786510007,0.32312196250233255,0.2504465739071862
uci48_features_zscore,Day3,3,acetone,5,,,,,,,0.3281682858071234,0.15773836024697152,0.38205318575591857,0.4197943318855219,0.36030346680662173,0.11070100043842446,-0.003077754317396736,0.06504398583905857,0.8549862833228896,0.6628433072041249,0.7589136734270057,0.8669622174408576,0.8752194183009969,-0.5039781120142922,-0.5716942379775108,-0.4938048086777793,-0.18648023289402116,-0.22398121129323698,-0.3055608172306017,-0.26839532518545417,-0.15213270319229238,0.7000060637419793,0.9112539564473758,0.8833751405440287,0.770555570383259,0.6039409998871681,0.7044176365062894,0.8359720892976041,0.8251247256034351,0.009526925824581617,-0.7503579878168939,-0.6458578805589033,0.6722005399590796,0.38605990957457814,0.6542997905967967,0.5686571828191687,0.6465918089667421,-0.3515643727283189,-0.28320754545974636,-0.19574453930499636,-0.6542359412316661,-0.6521759455405767,-0.4227528700493834,-0.3356271006381441,-0.28863273183301846,0.4520121900320941,0.3349803966882724,0.2517505044195777
uci48_features_zscore,Day3,3,air,2,,,,,,,-1.2013210271964483,-1.162467556794542,-1.0502109618664863,-1.1219318611446076,-1.145385632331048,0.9301282522691504,0.9729736403228775,1.0103567941907812,-0.8357451122094951,-0.8372185778868215,-0.7597248027789962,-0.7819870745145889,-0.794228432410874,0.5041855126382052,0.658716347419481,0.6989443941298839,-1.2535185779598101,-1.1751662433098526,-1.3160729980961556,-1.2513852993411934,-1.1829942577569155,-0.05970734982841949,0.6067591835556245,0.932955798066727,-0.767952342104937,-0.7058971861802146,-0.7066971985133192,-0.7210624402824153,-0.6962375168460189,0.8486657945207374,0.6797911287596661,0.6694447984705547,-1.1634737878768049,-1.0913662022650281,-1.007492832746573,-1.1172449505512463,-1.1484311520596129,0.6105038663508564,0.7916943521316152,0.7961782671482556,-1.0471764303250752,-1.0140617602200042,-0.8628426795712637,-0.7704993224108134,-0.7168163654807387,0.8947105305127079,0.7792222100053641,0.6916273247450343
uci48_features_zscore,Day3,3,alcohol,5,,,,,,,0.28710817002179273,0.17678145468239342,0.18666255485813896,0.265900782314065,0.26616201038097725,0.08071934514702635,0.07412008716790372,0.059144442817594366,-0.3039828184533418,-0.35770967805314635,-0.28962659315762157,-0.3113182712837871,-0.3084046480551264,0.45647202719083235,0.44234347596960333,0.4763559039949229,0.5756900135815424,0.46999944659799525,0.41061270847399944,0.6441623751488611,0.6883933143355103,0.08452650737543471,-0.2561278350043813,-0.22457972155559994,-0.2551163712755383,-0.2682028754823125,-0.2876299432511133,-0.1816647709212898,-0.2065038426655131,0.3135090501015577,-0.028826063039977246,0.005137241607250318,0.6382065709250817,0.41077698336093216,0.4561611891843055,0.6041762453745683,0.6357533636661622,-0.022276077661139905,-0.09376878843522006,-0.11617297382210871,0.13164503695515223,0.3016699046918349,-0.22221246851227208,-0.27073952767879456,-0.2755736057315611,-0.039745285506205,-0.12328597089574637,-0.19055601007083062
uci48_features_zscore,Day4,4,acetone,5,,,,,,,0.3281682858071234,0.3279107166968503,0.5249983581797758,0.3560346087080639,0.3133935442521115,0.24077980330958795,0.18398184961534073,0.19249232786729437,0.7595417690589648,0.5834456441015383,0.7790830537969456,0.7466108929557024,0.7633921752134083,-0.24526800475845856,-0.3108555739577723,-0.29654550115220357,-0.03404618359890847,-0.027840628909731012,-0.1065509679551279,0.12929023200707837,0.14911882552520814,0.7484150424914853,0.9819312869311903,0.8956316992257303,0.5355057504197845,0.3172538351597521,0.5292668305983381,0.531443240504182,0.5402051996467746,-0.018511053379061067,-0.25609139273720055,-0.3002068224012059,0.4342427567210946,0.30900520391546527,0.702414174799251,0.5174073485857394,0.4581757176409108,0.16337328153463065,0.18921281984373275,0.25454188568879144,-0.26129545213825695,-0.24203868890389307,0.01733693947249688,0.09924512113452524,0.13955090181470178,0.4077423559840332,0.33053797855510153,0.25131062759925227
