split,description,task,model,test_batch,fit_scope,fit_id,random_state,tuning_random_state,tuning_seed_values,protocol_version,preprocessing,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Random Forest,batch2,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=2,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,84,0.9,0.8,0.9404761904761905,0.9166666666666666,0.8333333333333334,0.9494949494949495,0.9153439153439153,0.8222222222222223,0.9493903841729928
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Random Forest,batch3,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=2,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,81,0.9,0.8,0.8888888888888888,0.9166666666666666,0.8333333333333334,0.88,0.9153439153439153,0.8222222222222223,0.8759818106655644
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Random Forest,batch4,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=2,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,46,0.9,0.8,0.9130434782608695,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9153439153439153,0.8222222222222223,0.9153439153439153
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Random Forest,batch5,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=2,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,34,0.9,0.8,0.9411764705882353,0.9166666666666666,0.8333333333333334,0.9444444444444445,0.9153439153439153,0.8222222222222223,0.9440559440559441
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,Random Forest,batch1,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=3,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,28,0.9,0.8,0.75,0.9166666666666666,0.8333333333333334,0.7666666666666666,0.9153439153439153,0.8222222222222223,0.7340930674264007
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Random Forest,batch2,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=3,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,84,0.9,0.8,0.9404761904761905,0.9166666666666666,0.8333333333333334,0.9494949494949495,0.9153439153439153,0.8222222222222223,0.9493903841729928
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Random Forest,batch3,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=3,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,81,0.9,0.8,0.9012345679012346,0.9166666666666666,0.8333333333333334,0.8933333333333334,0.9153439153439153,0.8222222222222223,0.8905309250136836
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Random Forest,batch4,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=3,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,46,0.9,0.8,0.9782608695652174,0.9166666666666666,0.8333333333333334,0.9791666666666666,0.9153439153439153,0.8222222222222223,0.9791463017269469
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Random Forest,batch5,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=3,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,34,0.9,0.8,0.9411764705882353,0.9166666666666666,0.8333333333333334,0.9444444444444445,0.9153439153439153,0.8222222222222223,0.9440559440559441
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,Random Forest,batch1,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=4,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,28,0.9,0.8,0.7142857142857143,0.9166666666666666,0.8333333333333334,0.7333333333333334,0.9153439153439153,0.8222222222222223,0.6825396825396824
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Random Forest,batch2,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=4,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,84,0.9,0.8,0.9404761904761905,0.9166666666666666,0.8333333333333334,0.9494949494949495,0.9153439153439153,0.8222222222222223,0.9493903841729928
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Random Forest,batch3,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=4,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,81,0.9,0.8,0.8765432098765432,0.9166666666666666,0.8333333333333334,0.8666666666666667,0.9153439153439153,0.8222222222222223,0.8647186147186147
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Random Forest,batch4,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=4,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,46,0.9,0.8,0.8695652173913043,0.9166666666666666,0.8333333333333334,0.875,0.9153439153439153,0.8222222222222223,0.8704453441295547
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Random Forest,batch5,fixed_period_i_all_batches,three_class_with_air|Random Forest|seed=4,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,34,0.9,0.8,0.9411764705882353,0.9166666666666666,0.8333333333333334,0.9444444444444445,0.9153439153439153,0.8222222222222223,0.9440559440559441
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,RBF SVM,batch1,fixed_period_i_all_batches,three_class_with_air|RBF SVM|seed=deterministic,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,0.8333333333333334,0.8,0.6785714285714286,0.861111111111111,0.8333333333333334,0.6916666666666668,0.8344322344322345,0.8222222222222223,0.6805555555555555
