Task,Split,Model,Best hyperparameters,Selection,Train n,Validation n,Test n,Train Acc,Val Acc,Test Acc,Train BA,Val BA,Test BA,Train Macro-F1,Val Macro-F1,Test Macro-F1,Train-Test Gap,Val-Test Gap,Judgment
Three-class classification: air / alcohol / acetone,Split 3: Period I holdout validation; train 20 / val 10 for three-class; test all Period II/III,MLP,h=16;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,1.0,0.8,0.8325991189427313,1.0,0.8333333333333334,0.8319651741293533,1.0,0.7777777777777777,0.831807287570685,0.1674008810572687,-0.0325991189427312,Best; Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.9,0.8214285714285714,0.7236180904522613,0.9166666666666666,0.8166666666666668,0.7274414850686037,0.901098901098901,0.8177502579979361,0.7093108076563959,0.1763819095477387,0.09781048097631,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,0.8214285714285714,0.7336683417085427,1.0,0.8166666666666668,0.7378531073446327,1.0,0.8190235690235691,0.7189202648075459,0.2663316582914573,0.0877602297200287,High gap
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.7333333333333333,0.7857142857142857,0.6180904522613065,0.6944444444444443,0.8000000000000002,0.6221146085552866,0.7068418171866447,0.7979797979797979,0.5950582867640116,0.1152428810720267,0.1676238334529791,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,Random Forest,subspace=3.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,0.8333333333333334,0.7142857142857143,0.6482412060301508,0.861111111111111,0.7333333333333334,0.662227602905569,0.8222222222222223,0.7122762148337595,0.6417962093743738,0.1850921273031825,0.0660445082555635,Acceptable
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,RBF LS-SVM,gamma=1.0;C=100.0,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,1.0,0.7788944723618091,1.0,1.0,0.7807102502017756,1.0,1.0,0.7842285754486732,0.2211055276381909,0.2211055276381909,Best; Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 4: Train Period I; validation Day1-2; test Day3-19,MLP,h=32;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,30,28,199,1.0,0.8571428571428571,0.7085427135678392,1.0,0.85,0.7131557707828895,1.0,0.8515037593984962,0.6889911512571771,0.2914572864321608,0.1486001435750179,Overfitting/domain shift
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,0.9782608695652174,0.8076923076923077,0.7351351351351352,0.9803921568627452,0.8333333333333334,0.7412587412587412,0.9765656565656564,0.8023809523809523,0.7167386143543227,0.2431257344300822,0.0725571725571725,Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,1.0,0.8461538461538461,0.8216216216216217,1.0,0.8666666666666666,0.8279720279720281,1.0,0.8411764705882353,0.8141586670598214,0.1783783783783783,0.0245322245322244,Acceptable
Three-class classification: air / alcohol / acetone,Split 5: Train Period I + Day1; validation Day2-3; test Day4-19,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,46,26,185,1.0,0.6923076923076923,0.6702702702702703,1.0,0.7333333333333334,0.6759906759906761,1.0,0.7306397306397306,0.6766306989404103,0.3297297297297297,0.0220374220374219,High gap
