model,accuracy,macro_f1,train_n,test_n
LDA,0.5,0.3333333333333333,24,14
Logistic Regression,1.0,1.0,24,14
kNN,0.9285714285714286,0.9282051282051282,24,14
Random Forest,0.6428571428571429,0.6256684491978609,24,14
RBF LS-SVM,0.9285714285714286,0.9282051282051282,24,14
