split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,L_last,Ld_cdan_last,backward_loss_scalar_last,feature_extractor_objective,condition_map,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,270,0.003151500364765525,0.2676239311695099,0.2707754373550415,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.6959706959706959,1.0,1.0,0.7002314814814815,1.0,1.0,0.7026053729907685,0.30402930402930406,0.9228187919463087
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,250,0.00046872798702679574,0.27579161524772644,0.2762603461742401,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.8058608058608059,1.0,1.0,0.8056841563786007,1.0,1.0,0.8069972351350531,0.19413919413919412,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,3.7494231946766376e-05,0.24510052800178528,0.245138019323349,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.84,0.8,0.6813186813186813,0.8333333333333334,0.8333333333333334,0.692772633744856,0.8231259968102074,0.7777777777777777,0.6698298127585335,0.15868131868131863,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,340,0.0038151240441948175,0.3238227963447571,0.3276379108428955,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.7692307692307693,1.0,1.0,0.7703189300411522,1.0,1.0,0.775759336376297,0.23076923076923073,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.2,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.0006183763616718352,0.21000009775161743,0.21061848104000092,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.84,0.8,0.6263736263736264,0.8333333333333334,0.8333333333333334,0.6400462962962963,0.8185185185185185,0.7777777777777777,0.5978596566831861,0.2136263736263736,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,200,0.006511249579489231,0.2607179880142212,0.26722922921180725,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,0.8,0.7435897435897436,1.0,0.8333333333333334,0.746656378600823,1.0,0.8222222222222223,0.7470029677071236,0.2564102564102564,0.9395973154362416
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,300,2.3525213691755198e-05,0.2601897716522217,0.26021328568458557,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.7948717948717948,1.0,1.0,0.7926954732510287,1.0,1.0,0.791050380383322,0.20512820512820518,0.9194630872483222
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,2,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,0.006147820968180895,0.28552573919296265,0.29167357087135315,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.92,0.8,0.673992673992674,0.9333333333333332,0.8333333333333334,0.6871141975308642,0.9074074074074074,0.7777777777777777,0.6600527497388485,0.246007326007326,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,3,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,6.861585279693827e-05,0.25893425941467285,0.2590028643608093,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,0.84,0.8,0.63003663003663,0.8666666666666667,0.8333333333333334,0.6428755144032922,0.8306878306878307,0.7777777777777777,0.6118886903580173,0.20996336996336995,0.9161073825503355
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.5,4,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,170,6.895851402077824e-05,0.22468805313110352,0.22475701570510864,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",25,25,5,0,273,0,273,1.0,1.0,0.8131868131868132,1.0,1.0,0.815843621399177,1.0,1.0,0.8128571838832889,0.18681318681318682,0.9261744966442953
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,0,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,20,0.00022439192980527878,0.25175032019615173,0.2519747018814087,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.9,0.7,0.6923076923076923,0.9166666666666666,0.6666666666666666,0.705761316872428,0.888888888888889,0.6518518518518519,0.6712286846804765,0.20769230769230773,0.931740614334471
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,CDAN-UDA,0.05,1,source labels only,source/target domain labels only; gas labels not used for CDAN domain loss,source validation labels,10,5.508902177098207e-05,0.22159990668296814,0.2216549962759018,"min L - lambda*Ld_cdan via GRL on T(h,g)","T(h,g)=softmax(G_y(h)) outer h; shape N x (C*16)",20,20,10,0,273,0,273,0.9,0.7,0.6263736263736264,0.9166666666666666,0.6666666666666666,0.6387602880658436,0.888888888888889,0.6518518518518519,0.614386109663598,0.27362637362637365,0.931740614334471
