feature_space,sensor,p01,p99
s1_s2_s3,s1,-1.2025316455696213,21.531645569620252
s1_s2_s3,s2,-2.6497890295358673,36.624472573839654
s1_s2_s3,s3,-2.2489451476793363,3.506329113924039
s2_s3_s5,s2,-2.6497890295358673,36.624472573839654
s2_s3_s5,s3,-2.2489451476793363,3.506329113924039
s2_s3_s5,s5,-1.3080168776371295,22.89873417721519
