split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1,fit_id
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,kNN,train,,30,1.0,1.0,1.0,three_class_with_air|kNN|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,kNN,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|kNN|seed=deterministic
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,kNN,test,,84,0.6428571428571429,0.6548821548821548,0.6407733091943618,three_class_with_air|kNN|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,kNN,train,,30,1.0,1.0,1.0,three_class_with_air|kNN|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,kNN,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|kNN|seed=deterministic
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,kNN,test,,81,0.5555555555555556,0.5483870967741935,0.5559474135221142,three_class_with_air|kNN|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,kNN,train,,30,1.0,1.0,1.0,three_class_with_air|kNN|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,kNN,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|kNN|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,kNN,test,,46,0.6956521739130435,0.7053571428571429,0.6747579150679925,three_class_with_air|kNN|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,kNN,train,,30,1.0,1.0,1.0,three_class_with_air|kNN|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,kNN,validation,,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|kNN|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,kNN,test,,34,0.7352941176470589,0.7388888888888889,0.7453482190324294,three_class_with_air|kNN|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=0
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Random Forest,test,0.0,28,0.75,0.7666666666666666,0.7340930674264007,three_class_with_air|Random Forest|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153,three_class_with_air|Random Forest|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,validation,0.0,5,0.8,0.8333333333333334,0.8222222222222223,three_class_with_air|Random Forest|seed=0
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,Random Forest,test,0.0,84,0.9404761904761905,0.9494949494949495,0.9493903841729928,three_class_with_air|Random Forest|seed=0
