source_file,gas,group,day,date,duration_s,baseline_points,gas_points,recovery_points,gas_start_s,gas_end_s,deltaR_s1,normDeltaR_s1,gasMean_s1,gasAUC_s1,recoveryMean_s1,riseEMA_a0.1_s1,recEMA_a0.1_s1,riseEMA_a0.01_s1,recEMA_a0.01_s1,riseEMA_a0.001_s1,recEMA_a0.001_s1,deltaR_s2,normDeltaR_s2,gasMean_s2,gasAUC_s2,recoveryMean_s2,riseEMA_a0.1_s2,recEMA_a0.1_s2,riseEMA_a0.01_s2,recEMA_a0.01_s2,riseEMA_a0.001_s2,recEMA_a0.001_s2,deltaR_s3,normDeltaR_s3,gasMean_s3,gasAUC_s3,recoveryMean_s3,riseEMA_a0.1_s3,recEMA_a0.1_s3,riseEMA_a0.01_s3,recEMA_a0.01_s3,riseEMA_a0.001_s3,recEMA_a0.001_s3,deltaR_s4,normDeltaR_s4,gasMean_s4,gasAUC_s4,recoveryMean_s4,riseEMA_a0.1_s4,recEMA_a0.1_s4,riseEMA_a0.01_s4,recEMA_a0.01_s4,riseEMA_a0.001_s4,recEMA_a0.001_s4,deltaR_s5,normDeltaR_s5,gasMean_s5,gasAUC_s5,recoveryMean_s5,riseEMA_a0.1_s5,recEMA_a0.1_s5,riseEMA_a0.01_s5,recEMA_a0.01_s5,riseEMA_a0.001_s5,recEMA_a0.001_s5,deltaR_s6,normDeltaR_s6,gasMean_s6,gasAUC_s6,recoveryMean_s6,riseEMA_a0.1_s6,recEMA_a0.1_s6,riseEMA_a0.01_s6,recEMA_a0.01_s6,riseEMA_a0.001_s6,recEMA_a0.001_s6
air_1.csv,air,1,Day1,14.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.03542600896860986,-0.09704641350211092,-23.000000000000288,0.42616033755274146,0.1,-0.09426857805007595,0.01,-0.006845826145533078,0.001,-0.00013512638106541073,3.0,0.013552666692081888,-0.021097046413493956,-4.999999999998067,1.0210970464135103,0.1025714553043953,-0.1,0.017219469344245546,-0.01,0.002762242221198769,-0.001,2.0,0.010808345684642572,-0.3670886075949357,-86.99999999999977,0.07594936708860855,0.1000249996057381,-0.0777260091898483,0.013086015027278367,-0.0022835790510465333,0.001875416657470559,-2.74110456824734e-05,3.0,0.015344440607734806,-0.5400843881856537,-127.99999999999994,0.987341772151899,0.14265436774459048,-0.14007979499303239,0.020019932692688078,-0.01,0.002828994430941094,-0.001,1.0,0.03258179818531757,-0.0337552742616047,-8.000000000000313,0.34599156118143326,0.09026122738677526,-0.030774459637634782,0.004658293916830731,-0.0006674474564873304,7.451757503024767e-05,-8.691468668535745e-06,0.0,0.0,-0.012658227848101333,-3.000000000000016,-0.012658227848101333,0.0,0.0,0.0,0.0,0.0,0.0
air_2.csv,air,2,Day1,14.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.029770129380731064,-0.3966244725738404,-94.00000000000018,-0.43459915611814426,0.1,-0.05037699450233914,0.01,-0.002296226378460546,0.001,-3.4814798583269156e-05,2.0,0.008495384891119276,-0.5189873417721423,-122.99999999999773,-0.7594936708860663,0.10605417795871774,-0.10006362685441136,0.01313097027627121,-0.01006172901409423,0.0018676302017053038,-0.0010009531108968797,2.0,0.010172983645962998,-0.7426160337552834,-176.00000000000216,-0.8691983122362961,0.10218633063630465,-0.1,0.011422669986347764,-0.01,0.0010293136196604807,-0.001,3.0,0.01322495442877869,-1.6033755274261694,-380.00000000000216,-1.9704641350211056,0.15130437143060316,-0.1426315057850251,0.011134068539854757,-0.01965404205650913,0.0010137027885818394,-0.0020275872801638335,1.0,0.026245847176079733,-0.11392405063291193,-27.000000000000128,-0.2025316455696208,0.014304672099999999,-0.1,0.00019227446944279115,-0.01,2.8059813974390477e-06,-0.001,1.0,0.06502057613168724,-0.1308016877637133,-31.00000000000005,-0.2869198312236289,0.1,-0.030318938900715686,0.01,-0.0009688525068071233,0.001,-1.9799443172335666e-05
air_3.csv,air,3,Day2,15.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.02863702271628806,0.07594936708860861,18.00000000000024,0.12236286919831325,0.009999999999999995,-0.026285619046066452,9.99999999999994e-05,-0.0007346633388139821,9.999999999999159e-07,-9.680979680013954e-06,1.0,0.00418100026462027,0.4472573839662544,106.0000000000023,1.0168776371308115,0.1,-0.08846967898412336,0.01,-0.00316569048924589,0.001,-4.337772572728105e-05,1.0,0.005208218877046478,-0.3544303797468467,-84.00000000000267,-0.029535864978914226,0.1,-0.1,0.01,-0.01,0.001,-0.001,3.0,0.012655524109574412,0.261603375527433,62.00000000000162,1.0590717299578127,0.15276131761605044,-0.15632028310519075,0.017858820052524566,-0.01265497375552292,0.001972769950404662,-0.001027034387248234,1.0,0.026345042240995997,0.09282700421940833,21.999999999999773,0.29113924050632817,0.1,-0.06767521524065664,0.01,-0.0032388708787465465,0.001,-5.4732222514665375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_4.csv,air,4,Day2,15.05.2026,180.0,237,237,237,60.0,120.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.0,-0.04109047893259301,0.0,-0.0008533315516069048,0.0,-1.1540683113032057e-05,2.0,0.009692260505060833,0.607594936708863,144.00000000000054,1.7848101265822809,0.10383698101983309,-0.11345200413079795,0.015941631969959603,-0.01241493455919463,0.0019434004123493535,-0.001039706228648934,2.0,0.011598884157979737,-0.25316455696203827,-60.00000000000307,0.4556962025316326,0.1,-0.1105947816477986,0.01,-0.008814374029589558,0.001,-0.000188480143626366,4.0,0.021018091521816246,0.3502109704641251,82.99999999999764,2.1814345991561077,0.173022131,-0.14462194582953405,0.024526753603657907,-0.01,0.0037076620856390597,-0.001,1.0,0.04004054738976178,0.01687763713080182,4.000000000000032,0.13924050632911406,0.016560999999999992,-0.04329639327986152,0.00019605960099999993,-0.0013623915924646218,1.9960059960009904e-06,-2.482917064576735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_5.csv,air,5,Day3,19.05.2026,180.0,237,237,237,60.0,120.0,0.0,0.0,0.004219409282697484,0.9999999999993037,0.09704641350210677,0.0,-0.10001293693836187,0.0,-0.010668961595128994,0.0,-0.0010209208435114979,1.0,0.0038766029835121695,0.054852320675104524,12.999999999999773,0.36286919831223535,0.1,-0.12334623909235165,0.01,-0.012813087540712115,0.001,-0.0010767739039157288,1.0,0.004814626714068055,0.26160337552743074,62.00000000000108,0.35443037974684,0.024661000000000002,-0.11365231026502054,0.0003878900603289815,-0.011510840380215182,8.011353886017971e-06,-0.0010387357711001304,3.0,0.012162578261315816,2.004219409282704,475.00000000000085,0.8354430379746871,0.15284170123154117,-0.15273015699268658,0.01831382957336299,-0.023304353697455378,0.0019811781208173814,-0.002930619202731426,1.0,0.02123085192152647,0.7552742616033751,178.9999999999999,0.2827004219409277,0.04989925686140275,-0.11932175703954376,0.0018672556737717831,-0.013508485264266833,3.130525483345623e-05,-0.0018913223495597717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_6.csv,air,6,Day3,19.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.024104963384865744,-0.3713080168776403,-88.00000000000075,-0.31645569620253483,0.1,-0.050601473976391524,0.01,-0.0023563975303806644,0.001,-3.6636127146670626e-05,1.0,0.004066296067531398,-0.44725738396624076,-105.99999999999906,-0.3375527426160298,0.1,-0.1,0.01,-0.01,0.001,-0.001,1.0,0.0048620371320135395,-0.4599156118143591,-109.0000000000031,-0.08860759493672193,0.1,-0.09979860086084451,0.01,-0.006395737019096932,0.001,-0.00011916433617886475,3.0,0.012307852098047361,-0.20675105485232642,-49.000000000001364,0.5232067510548466,0.18371,-0.1564099894089045,0.019803970100000002,-0.018933775675372598,0.0028028690031576234,-0.0019881429277624047,1.0,0.023088163662932294,-0.07172995780591002,-17.000000000000675,0.49789029535864693,0.1,-0.1,0.01,-0.01,0.001,-0.001,0.0,0.0,-0.0042194092827010365,-1.0000000000001457,-0.0042194092827010365,0.0,0.0,0.0,0.0,0.0,0.0
air_7.csv,air,7,Day4,20.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.02469264430089602,-0.033755274261604844,-8.000000000000348,0.25738396624472426,0.0734409345821536,-0.09729502187590852,0.004805886383324891,-0.0063576623265391916,0.000113001444559811,-0.000118839910306971,1.0,0.00397044780620194,-0.22784810126582028,-53.9999999999994,0.1308016877637156,0.05263107818422109,-0.1,0.004108951530624611,-0.01,7.900431953891294e-05,-0.001,1.0,0.005015023911295442,0.13502109704642262,32.00000000000216,0.5021097046413593,0.061640103016101275,-0.1,0.004322304960525592,-0.01,9.676517713274712e-05,-0.001,3.0,0.011568499837292547,0.7890295358649636,186.99999999999636,1.3502109704641196,0.15562532035038468,-0.1562002630695567,0.019959051649465882,-0.011836557596748266,0.0020198761705863687,-0.0010215968028626933,2.0,0.04678247137781287,0.24894514767932208,58.99999999999933,0.26160337552742335,0.10000000000571461,-0.011215766545905684,0.010013131347932828,-0.00023720094281459193,0.0010008170123504685,-2.9254856412570026e-06,1.0,0.06279809220985692,0.004219409282700827,1.000000000000096,0.01265822784810167,0.020285279456611877,-0.1,0.0007395028023802781,-0.01,1.4888241659211533e-05,-0.001
air_8.csv,air,8,Day4,20.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.024602927436935536,0.05063291139240695,12.000000000000448,-0.025316455696200644,0.1,-0.1,0.01,-0.01,0.001,-0.001,1.0,0.003969982243961272,0.008438818565409718,2.000000000002103,-0.19409282700421054,0.05195333238422675,-0.1,0.0018777434198960462,-0.01,2.339797230644985e-05,-0.001,1.0,0.005000210979366218,-0.03375527426160925,-8.000000000001393,-0.042194092827010095,0.030681237669341374,-0.1,0.0006993989380263046,-0.01,9.57194426538647e-06,-0.001,3.0,0.011507833743363978,-0.18565400843879146,-43.99999999999358,-0.06751054852317964,0.1569372056490582,-0.2,0.01863202261113154,-0.02,0.001981702718613963,-0.0028155504431490595,1.0,0.023201174743024962,-0.08438818565400898,-20.000000000000128,-0.07594936708860814,0.1,-0.1,0.01,-0.01,0.001,-0.001,1.0,0.06266525647805395,8.169742425933641e-16,1.936228954946273e-13,-0.004219409282699605,0.017292482182015192,-0.1,0.0005299359681995557,-0.01,9.238884738741859e-06,-0.001
air_9.csv,air,9,Day5,21.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.03447774221704975,-0.0928270042194099,-22.000000000000146,-0.5021097046413507,0.035979263001649706,-0.1,0.0009631768914118294,-0.01,1.8212257775004556e-05,-0.001,3.0,0.013951571759350105,-0.6075949367088544,-143.9999999999985,-1.5147679324894452,0.1,-0.1,0.01,-0.01,0.001,-0.001,1.0,0.005541267243394903,-0.13924050632910337,-32.9999999999975,-0.7172995780590612,0.1,-0.1,0.01,-0.01,0.001,-0.001,6.0,0.02496444936008848,-1.3206751054852357,-313.00000000000085,-3.333333333333337,0.30000000000000004,-0.2202635933075745,0.03,-0.031157066070883657,0.003,-0.003865316121903183,2.0,0.06288140090209604,-0.6413502109704642,-152.0,-0.9873417721518988,0.10007515949248087,-0.1,0.008207401596048167,-0.01,0.0001758795783896312,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_10.csv,air,10,Day5,21.05.2026,180.0,237,237,237,60.0,120.0,1.0,0.025044911761597802,0.033755274261603165,7.99999999999995,0.06751054852320654,0.028851336337400543,-0.1,0.0006893769961310563,-0.01,8.707677600901763e-06,-0.001,1.0,0.004223469660518578,0.02109704641351398,5.000000000002814,0.2194092827004338,0.1,-0.1,0.01,-0.01,0.001,-0.001,1.0,0.004761904761904762,-0.14345991561181434,-34.0,0.0,0.05086347554948696,0.0,0.002294453675830247,0.0,3.258028292874948e-05,0.0,3.0,0.01213310580204778,0.13924050632910842,32.99999999999869,1.164556962025311,0.15262777452168053,-0.15101591880615683,0.0188337756753726,-0.01369868851536609,0.0019871429277624046,-0.0010649656776630535,2.0,0.047619047619047616,0.012658227848101266,3.0,0.20675105485232068,0.10000158187473678,-0.1,0.01002190106485761,-0.01,0.001,-0.001,1.0,0.061558441558441555,-0.054852320675105606,-13.000000000000028,-0.0928270042194094,0.1,-0.04905807060986915,0.01,-0.0014507497440775698,0.001,-3.177720699262408e-05
