protocol,description,task,model,best_params,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
B_newdata_temporal,Train Period II Day1-Day10; validate Period II Day11-Day13; test Period II Day14-Day17 + Period III Day18-Day19,binary_alcohol_acetone,Logistic Regression,l2=0.001,102,18,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
B_newdata_temporal,Train Period II Day1-Day10; validate Period II Day11-Day13; test Period II Day14-Day17 + Period III Day18-Day19,binary_alcohol_acetone,kNN,k=5,102,18,40,0.9607843137254902,0.9444444444444444,0.95,0.9607843137254901,0.9444444444444444,0.95,0.9607692307692308,0.9442724458204335,0.949874686716792,0.010784313725490269,-0.005555555555555536,reasonable_or_mild_shift
B_newdata_temporal,Train Period II Day1-Day10; validate Period II Day11-Day13; test Period II Day14-Day17 + Period III Day18-Day19,binary_alcohol_acetone,Random Forest,subspace_mult=1.5,102,18,40,0.8529411764705882,0.7777777777777778,0.825,0.8529411764705883,0.7777777777777778,0.825,0.8512107361664885,0.7662337662337662,0.819471308833011,0.027941176470588247,-0.047222222222222165,reasonable_or_mild_shift
B_newdata_temporal,Train Period II Day1-Day10; validate Period II Day11-Day13; test Period II Day14-Day17 + Period III Day18-Day19,binary_alcohol_acetone,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,102,18,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,three_class,LDA,shrinkage=0.01,170,28,20,0.9882352941176471,1.0,1.0,0.9894179894179894,1.0,1.0,0.9872592592592592,1.0,1.0,-0.0117647058823529,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,three_class,Logistic Regression,l2=0.001,170,28,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,three_class,kNN,k=1,170,28,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,three_class,Random Forest,subspace_mult=1.5,170,28,20,0.8588235294117647,0.8928571428571429,1.0,0.873015873015873,0.9,1.0,0.8603063213589529,0.8976982097186701,1.0,-0.14117647058823535,-0.1071428571428571,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,three_class,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,170,28,20,0.9882352941176471,1.0,1.0,0.9894179894179894,1.0,1.0,0.987216248506571,1.0,1.0,-0.0117647058823529,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,binary_alcohol_acetone,LDA,shrinkage=0.01,126,20,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,binary_alcohol_acetone,Logistic Regression,l2=0.001,126,20,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,binary_alcohol_acetone,kNN,k=1,126,20,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,binary_alcohol_acetone,Random Forest,subspace_mult=1.5,126,20,14,0.873015873015873,0.85,1.0,0.873015873015873,0.85,1.0,0.8718535469107551,0.8465473145780051,1.0,-0.12698412698412698,-0.15000000000000002,reasonable_or_mild_shift
C_recent_to_period3,Train Period II Day1-Day15; validate Period II Day16-Day17; test Period III Day18-Day19,binary_alcohol_acetone,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,126,20,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,reasonable_or_mild_shift
