split,task,old_variant,new_variant,old_test_accuracy,new_test_accuracy,test_accuracy_delta,old_domain_accuracy,new_domain_accuracy,old_centroid_distance,new_centroid_distance,centroid_distance_delta,old_neighbor_mixing,new_neighbor_mixing,neighbor_mixing_delta
S1_train_I_test_all,three_class_with_air,DANN-UDA,C-DANN-UDA,0.7472527472527473,0.887912087912088,0.14065934065934071,0.9036303630363036,0.9009900990099011,1.1582813696895287,0.3076907379607154,-0.8505906317288132,0.15744997871434654,0.1876968922945935,0.030246913580246948
S2_train_I_internal_val_test_all,three_class_with_air,DANN-UDA,C-DANN-UDA,0.704029304029304,0.7794871794871795,0.07545787545787552,0.9161073825503354,0.9161073825503354,1.22930277718096,0.3359325264502115,-0.8933702507307484,0.12965091528309916,0.18844189016602808,0.05879097488292892
S3_train_I_internal_20_10_test_all,three_class_with_air,DANN-UDA,C-DANN-UDA,0.673992673992674,0.693040293040293,0.01904761904761898,0.9317406143344708,0.9317406143344711,0.962686480629083,1.002139450235493,0.03945296960640998,0.16498510004257128,0.13952745849297574,-0.02545764154959554
S4_train_I_val_D1_2,three_class_with_air,DANN-UDA,C-DANN-UDA,0.7828571428571428,0.8514285714285714,0.06857142857142862,0.9003300330033005,0.9016501650165016,1.0680943497604092,0.5039118130435916,-0.5641825367168176,0.1598978288633461,0.17352064708386547,0.013622818220519362
S5_train_I_D1_val_D2_3,three_class_with_air,DANN-UDA,C-DANN-UDA,0.7809523809523811,0.8658008658008658,0.08484848484848473,0.901650165016502,0.9009900990099011,0.9348592085772008,0.5039118130435917,-0.43094739553360917,0.15455512984248615,0.17352064708386547,0.01896551724137932
S5_train_I_D1_val_D2_3,three_class_with_air,DANN-semi,C-DANN-semi,0.8493506493506494,0.8666666666666666,0.017316017316017174,0.8996699669966997,0.8990099009900991,0.8144119136910569,0.5384081918346251,-0.27600372185643185,0.14897828863346105,0.15270327799063432,0.003724989357173275
S6_train_I_D1_2_val_D3_5,three_class_with_air,DANN-UDA,C-DANN-UDA,0.697560975609756,0.8390243902439025,0.14146341463414647,0.9036303630363036,0.9009900990099011,1.3007893320647235,0.8152254221968492,-0.48556390986787423,0.161749680715198,0.16917837377607492,0.007428693060876929
S6_train_I_D1_2_val_D3_5,three_class_with_air,DANN-semi,C-DANN-semi,0.8907317073170733,0.9258536585365853,0.035121951219512004,0.9036303630363036,0.9009900990099011,0.9447196463873883,0.6720015217461048,-0.2727181246412834,0.1612813963388676,0.17179650915283098,0.01051511281396339
S7_train_I_D1_3_val_D4_5,three_class_with_air,DANN-UDA,C-DANN-UDA,0.697560975609756,0.8409756097560976,0.1434146341463416,0.9036303630363036,0.9009900990099011,1.3007893320647232,0.21218827389997816,-1.0886010581647452,0.161749680715198,0.17313750532141337,0.011387824606215374
S7_train_I_D1_3_val_D4_5,three_class_with_air,DANN-semi,C-DANN-semi,0.9209756097560976,0.9395121951219512,0.018536585365853564,0.8990099009900991,0.9003300330033003,0.8940808364409937,0.8745760159492265,-0.01950482049176716,0.16053639846743295,0.161941251596424,0.0014048531289910515
