model,sensor_removed,mean_all_test_ba,mean_test_ba,mean_test_macro_f1,mean_delta_ba_without_minus_all,mean_importance_all_minus_without,std_importance_all_minus_without,n_rolling_tests
LDA,s1,0.8432539682539683,0.8353174603174603,0.8041761148904006,-0.007936507936507924,0.007936507936507924,0.08132500607904443,7
LDA,s2,0.8432539682539683,0.8496031746031746,0.8136793101078815,0.006349206349206342,-0.006349206349206342,0.052453052831296254,7
LDA,s3,0.8432539682539683,0.8595238095238095,0.8459203564466723,0.016269841269841274,-0.016269841269841274,0.08380159444211412,7
LDA,s4,0.8432539682539683,0.8432539682539683,0.8238717709305945,0.0,0.0,0.0,7
LDA,s5,0.8432539682539683,0.8670634920634921,0.8503267973856209,0.02380952380952382,-0.02380952380952382,0.040662503039522235,7
LDA,s6,0.8432539682539683,0.8968253968253969,0.8869992441421013,0.05357142857142857,-0.05357142857142857,0.12433686534835954,7
Logistic Regression,s1,0.9345238095238095,0.8869047619047619,0.8826908541194255,-0.04761904761904762,0.04761904761904762,0.12598815766974245,7
Logistic Regression,s2,0.9345238095238095,0.8948412698412699,0.8671201814058956,-0.03968253968253969,0.03968253968253969,0.06964257450311208,7
Logistic Regression,s3,0.9345238095238095,0.9027777777777778,0.8945444844604509,-0.03174603174603173,0.03174603174603173,0.09679611839405133,7
Logistic Regression,s4,0.9345238095238095,0.9107142857142857,0.8979385693671408,-0.023809523809523805,0.023809523809523805,0.06299407883487118,7
Logistic Regression,s5,0.9345238095238095,0.9186507936507936,0.9100718065003779,-0.01587301587301588,0.01587301587301588,0.04199605255658082,7
Logistic Regression,s6,0.9345238095238095,0.9603174603174603,0.9550220088035214,0.025793650793650782,-0.025793650793650782,0.10219698618790407,7
RBF LS-SVM,s1,0.9642857142857143,0.9642857142857143,0.9584278155706727,0.0,0.0,0.0,7
RBF LS-SVM,s2,0.9642857142857143,0.9285714285714286,0.9142857142857144,-0.03571428571428571,0.03571428571428571,0.06556631603912028,7
RBF LS-SVM,s3,0.9642857142857143,0.9484126984126985,0.9433484504913077,-0.01587301587301588,0.01587301587301588,0.04199605255658082,7
RBF LS-SVM,s4,0.9642857142857143,0.9642857142857143,0.9584278155706727,0.0,0.0,0.0,7
RBF LS-SVM,s5,0.9642857142857143,0.9484126984126985,0.9461028855986839,-0.01587301587301588,0.01587301587301588,0.04199605255658082,7
RBF LS-SVM,s6,0.9642857142857143,0.9642857142857143,0.9584278155706727,0.0,0.0,0.0,7
Random Forest,s1,0.9047619047619048,0.9206349206349207,0.910633546347832,0.01587301587301588,-0.01587301587301588,0.04199605255658082,7
Random Forest,s2,0.9047619047619048,0.9293650793650794,0.9263416477702192,0.02460317460317461,-0.02460317460317461,0.10791024423699298,7
Random Forest,s3,0.9047619047619048,0.9047619047619048,0.8828557685700542,0.0,0.0,0.0,7
Random Forest,s4,0.9047619047619048,0.9166666666666667,0.8949494949494949,0.01190476190476191,-0.01190476190476191,0.03149703941743562,7
Random Forest,s5,0.9047619047619048,0.9325396825396826,0.9230158730158731,0.02777777777777779,-0.02777777777777779,0.048112522432468836,7
Random Forest,s6,0.9047619047619048,0.9325396825396826,0.9227272727272727,0.02777777777777779,-0.02777777777777779,0.048112522432468836,7
kNN,s1,0.9186507936507936,0.865079365079365,0.8636432350718065,-0.05357142857142858,0.05357142857142858,0.12433686534835951,7
kNN,s2,0.9186507936507936,0.8146825396825397,0.7818765890194461,-0.10396825396825397,0.10396825396825397,0.11325316180845457,7
kNN,s3,0.9186507936507936,0.8932539682539683,0.8824434824434825,-0.025396825396825386,0.025396825396825386,0.0660353707796324,7
kNN,s4,0.9186507936507936,0.9091269841269841,0.8981275338418195,-0.009523809523809537,0.009523809523809537,0.02519763153394852,7
kNN,s5,0.9186507936507936,0.9031746031746032,0.8876039304610733,-0.015476190476190501,0.015476190476190501,0.027398200226682372,7
kNN,s6,0.9186507936507936,0.9246031746031746,0.9170068027210885,0.005952380952380963,-0.005952380952380963,0.05062440802449631,7
