split,description,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,34,20,130,1.0,0.95,0.8461538461538461,1.0,0.95,0.8461538461538461,1.0,0.949874686716792,0.8424242424242423,0.15384615384615385,0.10384615384615381,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.9310344827586207,0.9,0.8679245283018868,0.9393939393939394,0.9111111111111111,0.8705009276437847,0.9282001764299168,0.8944869996763405,0.8661566904693251,0.06310995445673384,0.0320754716981132,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.9482758620689655,0.95,0.9056603773584906,0.9545454545454546,0.9555555555555556,0.9076066790352505,0.9459801264679313,0.9495647721454173,0.9053756185335132,0.04261548471047494,0.04433962264150937,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.875,0.7861635220125787,1.0,0.8777777777777779,0.7857761286332714,1.0,0.8736772486772487,0.7879727891156462,0.21383647798742134,0.08883647798742134,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,0.7241379310344828,0.6,0.6792452830188679,0.7489177489177489,0.6444444444444445,0.6909090909090909,0.7250344053938406,0.5527065527065527,0.6372297006971929,0.04489264801561488,-0.0792452830188679,Possible underfitting
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.95,0.89937106918239,1.0,0.9555555555555556,0.900803957946815,1.0,0.9553571428571429,0.90123248564807,0.10062893081761004,0.050628930817609996,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,58,40,159,1.0,0.975,0.9308176100628931,1.0,0.9777777777777779,0.9311069882498454,1.0,0.9726327312534209,0.9301484480431849,0.0691823899371069,0.04418238993710688,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.9545454545454546,0.9333333333333333,0.9181818181818182,0.9545454545454546,0.9333333333333333,0.9181818181818182,0.9544513457556936,0.9330357142857143,0.9176304185040353,0.036363636363636376,0.015151515151515138,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,1.0,0.9333333333333333,0.9363636363636364,1.0,0.9333333333333333,0.9363636363636363,1.0,0.9330357142857143,0.9361048875611983,0.0636363636363636,-0.00303030303030305,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,1.0,0.9333333333333333,0.8545454545454545,1.0,0.9333333333333333,0.8545454545454545,1.0,0.9330357142857143,0.8527935764469722,0.1454545454545455,0.07878787878787885,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,0.8181818181818182,0.5333333333333333,0.6181818181818182,0.8181818181818181,0.5333333333333333,0.6181818181818182,0.8147368421052632,0.4444444444444445,0.5530185758513932,0.20000000000000007,-0.08484848484848484,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,1.0,0.9333333333333333,0.8727272727272727,1.0,0.9333333333333333,0.8727272727272728,1.0,0.9330357142857143,0.8711943793911007,0.12727272727272732,0.06060606060606066,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,44,30,110,1.0,0.9333333333333333,0.8909090909090909,1.0,0.9333333333333333,0.8909090909090909,1.0,0.9330357142857143,0.8895951823352293,0.10909090909090913,0.042424242424242475,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.9305555555555556,0.9230769230769231,0.9119496855345912,0.9382716049382717,0.9333333333333332,0.9136672850958565,0.9269212375381674,0.9214489214489214,0.9122253250966122,0.018605870020964366,0.011127237542331914,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.9230769230769231,0.9182389937106918,1.0,0.9333333333333332,0.9189857761286332,1.0,0.9214489214489214,0.9195497408002749,0.08176100628930816,0.004837929366231286,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.875,0.8846153846153846,0.8616352201257862,0.8765432098765432,0.9,0.8644403215831787,0.8692070538907387,0.8897028897028897,0.8648148148148148,0.013364779874213806,0.022980164489598387,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.7222222222222222,0.6153846153846154,0.6918238993710691,0.7469135802469135,0.6666666666666666,0.703030303030303,0.7247567474005662,0.6124223602484471,0.6539141735175298,0.03039832285115307,-0.07643928398645372,Possible underfitting
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=1.0,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,0.9305555555555556,0.9230769230769231,0.9056603773584906,0.9320987654320988,0.9333333333333332,0.9083487940630798,0.9271226193826813,0.9326599326599326,0.9056775252473871,0.024895178197064993,0.01741654571843254,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,72,26,159,1.0,0.9615384615384616,0.9119496855345912,1.0,0.9666666666666667,0.9114409400123685,1.0,0.9568151147098515,0.9113798572561458,0.08805031446540879,0.04958877600387035,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.9629629629629629,0.9,0.9272727272727272,0.962962962962963,0.9,0.9272727272727272,0.9629120879120878,0.9,0.9270557029177718,0.03569023569023566,-0.027272727272727226,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.9814814814814815,0.9,0.9454545454545454,0.9814814814814814,0.9,0.9454545454545454,0.9814751286449399,0.898989898989899,0.9452917771883289,0.036026936026936074,-0.045454545454545414,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,1.0,0.85,0.8545454545454545,1.0,0.8500000000000001,0.8545454545454545,1.0,0.849624060150376,0.8537720172814889,0.1454545454545455,-0.004545454545454519,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.7407407407407407,0.6,0.6272727272727273,0.7407407407407407,0.6,0.6272727272727272,0.731534090909091,0.5604395604395604,0.5671369613206643,0.11346801346801338,-0.027272727272727337,Possible underfitting
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,0.9814814814814815,0.9,0.9454545454545454,0.9814814814814814,0.9,0.9454545454545454,0.9814751286449399,0.898989898989899,0.9452917771883289,0.036026936026936074,-0.045454545454545414,Reasonable or mild shift
S7_train_I_D1_3_val_D4_5,Train Period I + Period II Day1-Day3; validate Period II Day4-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,54,20,110,1.0,0.9,0.9272727272727272,1.0,0.9,0.9272727272727272,1.0,0.898989898989899,0.9268860086407444,0.07272727272727275,-0.027272727272727226,Reasonable or mild shift
