split,description,task,model,best_params,selection_method,train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.7,1.0,1.0,0.7,1.0,1.0,0.6703296703296704,0.30000000000000004,0.30000000000000004,Possible overfitting or domain shift
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.825,1.0,1.0,0.825,1.0,1.0,0.8209718670076727,0.17500000000000004,0.17500000000000004,Reasonable or mild shift
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,1.0,0.65625,0.8500000000000001,1.0,0.65625,0.849624060150376,1.0,0.6561291078894924,0.19374999999999998,0.34375,Validation may be over-optimistic
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,0.85,0.75,0.5875,0.85,0.75,0.5874999999999999,0.8465473145780051,0.7333333333333334,0.5744680851063829,0.26249999999999996,0.16249999999999998,Possible overfitting or domain shift
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.89375,1.0,1.0,0.89375,1.0,1.0,0.8930439227714208,0.10624999999999996,0.10624999999999996,Reasonable or mild shift
S2_train_I_internal_val_test_all,"Train a stratified random Period I holdout split; three-class uses train 25 / validation 5, binary uses train 20 / validation 4; test all Period II/III days.",binary_without_air,MLP,hidden=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,20,4,160,1.0,1.0,0.8375,1.0,1.0,0.8375,1.0,1.0,0.8372711625723674,0.16249999999999998,0.16249999999999998,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,0.95,0.8,0.762114537444934,0.9583333333333334,0.8333333333333334,0.7644900497512438,0.9581699346405229,0.7851851851851852,0.7560891674550616,0.187885462555066,0.037885462555066085,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,1.0,0.8,0.7841409691629956,1.0,0.8333333333333334,0.7877487562189055,1.0,0.7777777777777777,0.7761827988666128,0.21585903083700442,0.015859030837004462,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,0.8,0.7,0.6696035242290749,0.7916666666666666,0.6666666666666666,0.6753731343283582,0.794973544973545,0.6555555555555556,0.6636183261183262,0.13039647577092517,0.03039647577092508,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,20,10,227,0.8,0.7,0.6563876651982379,0.7916666666666666,0.6666666666666666,0.6661069651741294,0.7824463118580766,0.6518518518518519,0.6568705546468897,0.14361233480176216,0.043612334801762076,Reasonable or mild shift
