representation,from_day,to_day,from_day_num,to_day_num,gas,drift_distance,angle_to_acetone_minus_alcohol_deg,projection_on_acetone_minus_alcohol,interpretation
raw6_post60_centroid_zscore,Day9,Day10,9,10,balanced_all_available_gases,1.01426861488595,72.14467633491167,0.31098948401479143,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day10,Day11,10,11,air,1.4967510828354804,123.20862277551886,-0.8197543235684525,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day10,Day11,10,11,alcohol,0.47335600365363867,87.71392366096647,0.01888168503619575,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day10,Day11,10,11,acetone,0.9319568140042845,110.31858234204579,-0.323612509187812,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day10,Day11,10,11,balanced_all_available_gases,0.8132557628180793,117.4451029721874,-0.37482838257335627,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day11,Day12,11,12,air,0.8266567660339078,101.2179863802038,-0.16081969585433295,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day11,Day12,11,12,alcohol,1.759860551611539,57.46665549997595,0.9464360166469682,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day11,Day12,11,12,acetone,1.4368658067146205,47.412671786314625,0.972345992890764,negative means movement toward alcohol side
raw6_post60_centroid_zscore,Day11,Day12,11,12,balanced_all_available_gases,0.8677680400985321,47.52400968988431,0.5859874378944664,overall balanced day shift relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day12,Day13,12,13,air,0.2406945961043955,113.37969518401255,-0.09551306178889879,projection relative to acetone-minus-alcohol axis
raw6_post60_centroid_zscore,Day12,Day13,12,13,alcohol,1.3748466984970582,67.07288485586477,0.5355850821627393,positive means movement toward acetone side
raw6_post60_centroid_zscore,Day12,Day13,12,13,acetone,0.6840541275252257,120.04934232198461,-0.34253711054945446,negative means movement toward alcohol side
