variant,lambda,seed,label_usage,best_epoch,class_loss_last,domain_loss_last,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task,framework
PyTorch DANN-semi,0.1,17,source labels + Day1 target labels,60,2.594550494450232e-07,0.6548694372177124,34,24,10,20,130,1.0,1.0,0.8076923076923077,1.0,1.0,0.8076923076923077,1.0,1.0,0.8025396439637889,0.1923076923076923,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.1,23,source labels + Day1 target labels,140,1.5427069399720494e-07,0.6057974696159363,34,24,10,20,130,1.0,1.0,0.823076923076923,1.0,1.0,0.823076923076923,1.0,1.0,0.8192151883427051,0.17692307692307696,0.7352941176470589,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.2,3,source labels + Day1 target labels,70,5.995505034661619e-07,0.577372670173645,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923077,1.0,1.0,0.9073414112615823,0.09230769230769231,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.2,7,source labels + Day1 target labels,190,1.3779000482827541e-06,0.6006186604499817,34,24,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9151385674440685,0.08461538461538465,0.7058823529411765,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.2,11,source labels + Day1 target labels,50,2.552376827225089e-06,0.6045405864715576,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923078,1.0,1.0,0.9071428571428571,0.09230769230769231,0.20588235294117646,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.2,17,source labels + Day1 target labels,70,0.0003889305517077446,0.5973606109619141,34,24,10,20,130,1.0,1.0,0.8846153846153846,1.0,1.0,0.8846153846153846,1.0,1.0,0.8834498834498834,0.11538461538461542,0.5294117647058824,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.2,23,source labels + Day1 target labels,70,0.0,0.6324664950370789,34,24,10,20,130,1.0,1.0,0.8307692307692308,1.0,1.0,0.8307692307692308,1.0,1.0,0.8266666666666667,0.16923076923076918,0.9117647058823529,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.5,3,source labels + Day1 target labels,50,0.0004914655582979321,0.5564264059066772,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923078,1.0,1.0,0.9071428571428571,0.09230769230769231,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.5,7,source labels + Day1 target labels,60,2.068629640916697e-07,0.6049885749816895,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923078,1.0,1.0,0.9071428571428571,0.09230769230769231,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.5,11,source labels + Day1 target labels,80,1.5135685316636227e-05,0.608086109161377,34,24,10,20,130,1.0,1.0,0.8153846153846154,1.0,1.0,0.8153846153846154,1.0,1.0,0.8088703749081108,0.18461538461538463,0.9117647058823529,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.5,17,source labels + Day1 target labels,40,5.329310397428344e-07,0.607100784778595,34,24,10,20,130,1.0,1.0,0.9076923076923077,1.0,1.0,0.9076923076923078,1.0,1.0,0.9071428571428571,0.09230769230769231,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
PyTorch DANN-semi,0.5,23,source labels + Day1 target labels,610,9.641859151088283e-07,0.588884174823761,34,24,10,20,130,1.0,1.0,0.8846153846153846,1.0,1.0,0.8846153846153846,1.0,1.0,0.8840596943932457,0.11538461538461542,0.8235294117647058,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch
