mode,classifier,sensors,mean_balanced_accuracy,mean_macro_f1,std_balanced_accuracy
leave_collection_date_out,centroid,s1+s2+s3,0.8803921568627451,0.8632642956172368,0.1441652971335456
leave_collection_date_out,centroid,s2+s3+s5,0.8545751633986928,0.8348733539136015,0.15573198444889916
leave_collection_date_out,centroid,s2+s3+s6,0.8542483660130719,0.8301496462487175,0.1468355694611111
leave_collection_date_out,centroid,s1+s2+s6,0.8473856209150327,0.8319234715519546,0.1499757908326377
leave_collection_date_out,centroid,s1+s3+s4,0.8281045751633986,0.8008223286861058,0.14427702086925615
leave_collection_date_out,centroid,s1+s2+s5,0.8235294117647058,0.7935890906479142,0.14780452728563243
leave_collection_date_out,centroid,s2+s3+s4,0.8235294117647058,0.7954553644956122,0.14063526247553054
leave_collection_date_out,centroid,s2+s5+s6,0.8183006535947712,0.7898952898952899,0.16633954826169312
leave_collection_date_out,centroid,s3+s4+s5,0.8120915032679739,0.7848349391693045,0.15181813882632228
leave_collection_date_out,centroid,s2+s4+s5,0.8019607843137254,0.7701530495648142,0.1483700170056605
leave_collection_date_out,centroid,s1+s2+s4,0.7990196078431373,0.7697416065928177,0.148490804030508
leave_collection_date_out,centroid,s3+s4+s6,0.7934640522875817,0.7569934995631591,0.15077264092665188
leave_collection_date_out,centroid,s1+s3+s5,0.7604575163398692,0.7329422784531143,0.16224317731072085
leave_collection_date_out,centroid,s3+s5+s6,0.7486928104575163,0.7100548688783983,0.14597915212122076
leave_collection_date_out,centroid,s1+s4+s5,0.734640522875817,0.6913808413808414,0.13499441877701493
leave_collection_date_out,centroid,s1+s3+s6,0.7287581699346406,0.6866735660853308,0.14713355944082063
leave_collection_date_out,centroid,s1+s4+s6,0.7238562091503268,0.6815592007633531,0.13052252398157735
leave_collection_date_out,centroid,s4+s5+s6,0.7205882352941176,0.6738464150228856,0.15488153460096074
leave_collection_date_out,centroid,s2+s4+s6,0.7022875816993464,0.6736123545812127,0.19580928559530816
leave_collection_date_out,centroid,s1+s5+s6,0.6584967320261438,0.5961353461353461,0.14933129813038926
leave_collection_date_out,gnb,s1+s2+s3,0.89640522875817,0.8912766971590501,0.13142355040319437
leave_collection_date_out,gnb,s2+s3+s5,0.892483660130719,0.8873155167272815,0.12911350722805545
