split,description,task,model,best_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,validation_test_accuracy_gap,fit_assessment
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,0.9,0.8,0.73568281938326,0.9166666666666666,0.8333333333333334,0.738681592039801,0.901098901098901,0.7851851851851852,0.7264751833684002,0.16431718061674006,0.06431718061674008,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,1.0,0.8,0.7312775330396476,1.0,0.8333333333333334,0.7337064676616915,1.0,0.7777777777777777,0.7187988545778191,0.2687224669603524,0.06872246696035245,High train-test gap
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,0.7333333333333333,0.7,0.6387665198237885,0.6944444444444443,0.6666666666666666,0.6437810945273631,0.7068418171866447,0.6555555555555556,0.6305218198345344,0.09456681350954477,0.06123348017621144,Possible underfitting
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,0.8,0.7,0.6696035242290749,0.8055555555555555,0.6666666666666666,0.6834577114427861,0.7822222222222223,0.6518518518518519,0.6712926687252748,0.13039647577092517,0.03039647577092508,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,RBF LS-SVM,gamma_mult=2.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,1.0,0.7,0.8237885462555066,1.0,0.6666666666666666,0.8244402985074627,1.0,0.6666666666666666,0.8301347437503468,0.17621145374449343,-0.12378854625550662,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",three_class_with_air,MLP,hidden=16;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,30,20,10,227,1.0,0.8,0.762114537444934,1.0,0.8333333333333334,0.7620646766169155,1.0,0.7777777777777777,0.7575858250276856,0.23788546255506604,0.037885462555066085,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,0.9583333333333334,0.75,0.75625,0.9583333333333333,0.75,0.7562500000000001,0.9582608695652175,0.7333333333333334,0.7424786430605423,0.2020833333333334,-0.006249999999999978,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7867442142251303,0.20625000000000004,-0.043749999999999956,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,1.0,0.75,0.59375,1.0,0.75,0.59375,1.0,0.7333333333333334,0.5891114535182331,0.40625,0.15625,Possible overfitting or domain shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,0.8333333333333334,0.75,0.575,0.8333333333333333,0.75,0.575,0.8285714285714285,0.7333333333333334,0.5523370638578011,0.2583333333333334,0.17500000000000004,Possible overfitting or domain shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,1.0,0.875,0.84375,1.0,0.875,0.84375,1.0,0.873015873015873,0.8410111689653802,0.15625,0.03125,Reasonable or mild shift
S3_train_I_internal_20_10_test_all,"Train a stratified random Period I holdout split; three-class uses train 20 / validation 10, binary uses train 16 / validation 8; test all Period II/III days.",binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,24,16,8,160,1.0,0.75,0.79375,1.0,0.75,0.79375,1.0,0.7333333333333334,0.7933544675355173,0.20625000000000004,-0.043749999999999956,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,0.896551724137931,0.8214285714285714,0.8090452261306532,0.9090909090909092,0.8166666666666668,0.81727199354318,0.8923959827833571,0.8177502579979361,0.8010700287940454,0.08750649800727783,0.01238334529791818,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.01,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,1.0,0.8214285714285714,0.914572864321608,1.0,0.8166666666666668,0.9163841807909604,1.0,0.8190235690235691,0.9148738375210309,0.085427135678392,-0.0931442928930366,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=7,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,0.8448275862068966,0.7857142857142857,0.6984924623115578,0.8549783549783551,0.8000000000000002,0.7125100887812752,0.8439848057252407,0.7979797979797979,0.690361723225573,0.14633512389533876,0.08722182340272788,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=3.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,0.7241379310344828,0.7142857142857143,0.6633165829145728,0.7489177489177489,0.7333333333333334,0.6809523809523811,0.7250344053938406,0.7122762148337595,0.6174459029859677,0.06082134811990991,0.05096913137114145,Possible underfitting
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,1.0,1.0,0.8994974874371859,1.0,1.0,0.9020984665052462,1.0,1.0,0.9033009016112605,0.10050251256281406,0.10050251256281406,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=32;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,58,30,28,199,1.0,0.8571428571428571,0.8844221105527639,1.0,0.85,0.8869249394673124,1.0,0.8515037593984962,0.8860267092476461,0.11557788944723613,-0.02727925340990678,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,1.0,0.85,0.9,1.0,0.85,0.9,1.0,0.8465473145780051,0.8994871794871795,0.09999999999999998,-0.050000000000000044,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.001,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,1.0,0.95,0.9142857142857143,1.0,0.95,0.9142857142857144,1.0,0.949874686716792,0.9136513157894737,0.08571428571428574,0.0357142857142857,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,0.9545454545454546,0.8,0.8142857142857143,0.9545454545454546,0.8,0.8142857142857143,0.9545454545454546,0.7916666666666665,0.8118279569892473,0.1402597402597403,-0.014285714285714235,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,0.8181818181818182,0.65,0.6,0.8181818181818181,0.65,0.6,0.8147368421052632,0.6419437340153452,0.5300887077439462,0.21818181818181825,0.050000000000000044,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,0.8992598684210527,0.09999999999999998,0.09999999999999998,Reasonable or mild shift
S4_train_I_val_D1_2,Train Period I; validate Period II Day1-Day2; test Period II Day3-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.03,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,44,24,20,140,1.0,0.95,0.8928571428571429,1.0,0.95,0.8928571428571428,1.0,0.949874686716792,0.8916129032258064,0.1071428571428571,0.05714285714285705,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.1,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,0.9305555555555556,0.8076923076923077,0.8810810810810811,0.9382716049382717,0.8333333333333334,0.8834498834498835,0.9269212375381674,0.8023809523809523,0.8828579751767635,0.049474474474474506,-0.07338877338877337,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,0.9583333333333334,0.8461538461538461,0.9243243243243243,0.9629629629629629,0.8666666666666666,0.9272727272727272,0.9567876911530163,0.8411764705882353,0.9247718733225979,0.03400900900900905,-0.07817047817047817,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,1.0,0.6923076923076923,0.827027027027027,1.0,0.7333333333333334,0.8256410256410257,1.0,0.7306397306397306,0.829737023014334,0.17297297297297298,-0.13471933471933473,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,0.7222222222222222,0.6538461538461539,0.6810810810810811,0.7469135802469135,0.7000000000000001,0.6974358974358975,0.7247567474005662,0.6275946275946276,0.6486320121029697,0.04114114114114109,-0.027234927234927264,Possible underfitting
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=0.5;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,0.9722222222222222,0.9615384615384616,0.9243243243243243,0.9753086419753086,0.9666666666666667,0.9254079254079254,0.972109872109872,0.9568151147098516,0.9265827583592388,0.04789789789789789,0.037214137214137244,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,three_class_with_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,72,46,26,185,0.9305555555555556,0.8461538461538461,0.8972972972972973,0.9382716049382717,0.8666666666666666,0.8997668997668997,0.9269212375381674,0.8411764705882353,0.8959690876378518,0.03325825825825823,-0.0511434511434512,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,0.9629629629629629,0.95,0.9230769230769231,0.962962962962963,0.95,0.9230769230769231,0.9629120879120878,0.949874686716792,0.9229127134724857,0.03988603988603978,0.026923076923076827,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,0.9814814814814815,0.95,0.9384615384615385,0.9814814814814814,0.95,0.9384615384615385,0.9814751286449399,0.949874686716792,0.9382276075077216,0.04301994301994305,0.011538461538461497,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,kNN,k=3,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,0.9444444444444444,0.65,0.8384615384615385,0.9444444444444444,0.6499999999999999,0.8384615384615385,0.94442538593482,0.6491228070175439,0.8376835721505441,0.10598290598290594,-0.18846153846153846,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,0.7407407407407407,0.55,0.6230769230769231,0.7407407407407407,0.55,0.6230769230769231,0.731534090909091,0.4871794871794872,0.5664011980123885,0.11766381766381762,-0.07307692307692304,Possible underfitting
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,RBF LS-SVM,gamma_mult=0.5;c_value=100.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,1.0,1.0,0.9230769230769231,1.0,1.0,0.9230769230769231,1.0,1.0,0.9229127134724857,0.07692307692307687,0.07692307692307687,Reasonable or mild shift
S5_train_I_D1_val_D2_3,Train Period I + Period II Day1; validate Period II Day2-Day3; test Period II Day4-Day17 + Period III Day18-Day19.,binary_without_air,MLP,hidden=8;l2=0.001;lr=0.01,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,54,34,20,130,1.0,0.95,0.9230769230769231,1.0,0.95,0.9230769230769231,1.0,0.949874686716792,0.9226190476190477,0.07692307692307687,0.026923076923076827,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,LDA,shrinkage=0.25,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,98,58,40,159,0.9183673469387755,0.9,0.9182389937106918,0.9279279279279279,0.9111111111111111,0.9197278911564625,0.9142857142857143,0.8944869996763405,0.9179145532086707,0.00012835322808368854,-0.01823899371069182,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Logistic Regression,l2=0.05,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,98,58,40,159,0.9693877551020408,0.95,0.9622641509433962,0.9729729729729729,0.9555555555555556,0.9628942486085342,0.9681377151799687,0.9495647721454173,0.9620313433212481,0.0071236041586445475,-0.01226415094339628,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,kNN,k=1,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,98,58,40,159,1.0,0.875,0.8616352201257862,1.0,0.8777777777777779,0.8622139764996909,1.0,0.8736772486772487,0.8661015404247561,0.1383647798742138,0.013364779874213806,Reasonable or mild shift
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,Random Forest,subspace_mult=1.5,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,98,58,40,159,0.7040816326530612,0.6,0.7484276729559748,0.7338588588588589,0.6444444444444445,0.7575757575757575,0.7072174529801648,0.5527065527065527,0.730924330924331,-0.04434604030291356,-0.1484276729559748,Possible underfitting
S6_train_I_D1_2_val_D3_5,Train Period I + Period II Day1-Day2; validate Period II Day3-Day5; test Period II Day6-Day17 + Period III Day18-Day19.,three_class_with_air,RBF LS-SVM,gamma_mult=1.0;c_value=10.0,validation_accuracy_macro_f1_balanced_accuracy,train_val_refit,98,58,40,159,1.0,0.95,0.9874213836477987,1.0,0.9555555555555556,0.9878787878787879,1.0,0.9553571428571429,0.9878747795414462,0.012578616352201255,-0.03742138364779879,Reasonable or mild shift
