epoch,L,Ld,Lc,backward_loss_scalar,class_loss,domain_loss,alignment_loss,total_loss,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,split,task,variant,lambda,seed,conditional_alignment_strength
1,1.116260290145874,0.6599915027618408,0.007475733291357756,1.7777469158172607,1.116260290145874,0.6599915027618408,0.007475733291357756,1.7777469158172607,0.5666666666666667,,0.38461538461538464,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
5,0.8407877683639526,0.5575248599052429,0.13595721125602722,1.4255039691925049,0.8407877683639526,0.5575248599052429,0.13595721125602722,1.4255039691925049,0.6,,0.6410256410256411,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
10,0.6432551145553589,0.40155091881752014,0.28743916749954224,1.102293848991394,0.6432551145553589,0.40155091881752014,0.28743916749954224,1.102293848991394,0.6,,0.6117216117216118,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
15,0.5189855098724365,0.36935925483703613,0.09375810623168945,0.9070963859558105,0.5189855098724365,0.36935925483703613,0.09375810623168945,0.9070963859558105,0.8,,0.6813186813186813,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
20,0.3521960973739624,0.3752291202545166,0.09283057600259781,0.7459913492202759,0.3521960973739624,0.3752291202545166,0.09283057600259781,0.7459913492202759,0.9,,0.7106227106227107,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
25,0.1803714483976364,0.3477056622505188,0.11394909769296646,0.550866961479187,0.1803714483976364,0.3477056622505188,0.11394909769296646,0.550866961479187,1.0,,0.7326007326007326,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
30,0.10184693336486816,0.3268642723560333,0.09060818701982498,0.4468328356742859,0.10184693336486816,0.3268642723560333,0.09060818701982498,0.4468328356742859,1.0,,0.7362637362637363,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
35,0.022129856050014496,0.32391300797462463,0.07926305383443832,0.36189547181129456,0.022129856050014496,0.32391300797462463,0.07926305383443832,0.36189547181129456,1.0,,0.7435897435897436,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
40,0.039735034108161926,0.3314967453479767,0.07832606136798859,0.3868969976902008,0.039735034108161926,0.3314967453479767,0.07832606136798859,0.3868969976902008,1.0,,0.7509157509157509,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
45,0.011191781610250473,0.32401570677757263,0.13765579462051392,0.36273863911628723,0.011191781610250473,0.32401570677757263,0.13765579462051392,0.36273863911628723,1.0,,0.73992673992674,0.900990099009901,S1_train_I_test_all,three_class_with_air,C-DANN-UDA,0.2,0,0.2
