mode,split_id,group,classifier,sensor,balanced_accuracy,macro_f1
original_points_stratified_random_holdout,5,,original_points_centroid,s1,0.6212121212121212,0.5833333333333334
original_points_stratified_random_holdout,5,,original_points_centroid,s2,0.7556818181818182,0.7486772486772487
original_points_stratified_random_holdout,5,,original_points_centroid,s3,0.5113636363636364,0.506155950752394
original_points_stratified_random_holdout,5,,original_points_centroid,s4,0.7045454545454546,0.6865293865293864
original_points_stratified_random_holdout,5,,original_points_centroid,s5,0.6666666666666666,0.6336700336700337
original_points_stratified_random_holdout,5,,original_points_centroid,s6,0.375,0.32687465790914066
original_points_stratified_random_holdout,5,,original_points_gnb,s1,0.6912878787878788,0.695886878223621
original_points_stratified_random_holdout,5,,original_points_gnb,s2,0.8011363636363636,0.8050164715091817
original_points_stratified_random_holdout,5,,original_points_gnb,s3,0.5037878787878788,0.5244226604945476
original_points_stratified_random_holdout,5,,original_points_gnb,s4,0.7140151515151514,0.7191663670730245
original_points_stratified_random_holdout,5,,original_points_gnb,s5,0.6818181818181818,0.6756132756132756
original_points_stratified_random_holdout,5,,original_points_gnb,s6,0.2784090909090909,0.26375184708518046
original_points_stratified_random_holdout,6,,original_points_centroid,s1,0.6515151515151515,0.6150375939849624
original_points_stratified_random_holdout,6,,original_points_centroid,s2,0.7007575757575757,0.6880708031258825
original_points_stratified_random_holdout,6,,original_points_centroid,s3,0.6609848484848485,0.6323222847613091
original_points_stratified_random_holdout,6,,original_points_centroid,s4,0.7007575757575757,0.6858054226475279
original_points_stratified_random_holdout,6,,original_points_centroid,s5,0.6515151515151515,0.6013027562446167
original_points_stratified_random_holdout,6,,original_points_centroid,s6,0.44128787878787873,0.41856060606060613
original_points_stratified_random_holdout,6,,original_points_gnb,s1,0.625,0.6363626367584804
original_points_stratified_random_holdout,6,,original_points_gnb,s2,0.8162878787878789,0.8226190476190475
original_points_stratified_random_holdout,6,,original_points_gnb,s3,0.5435606060606061,0.5508205542103847
original_points_stratified_random_holdout,6,,original_points_gnb,s4,0.7045454545454546,0.7111111111111112
original_points_stratified_random_holdout,6,,original_points_gnb,s5,0.7367424242424243,0.71449758991472
original_points_stratified_random_holdout,6,,original_points_gnb,s6,0.30303030303030304,0.22642089093701998
original_points_stratified_random_holdout,7,,original_points_centroid,s1,0.5909090909090909,0.5478315524827152
original_points_stratified_random_holdout,7,,original_points_centroid,s2,0.7670454545454545,0.7522679473898987
original_points_stratified_random_holdout,7,,original_points_centroid,s3,0.6761363636363636,0.6528404344193818
original_points_stratified_random_holdout,7,,original_points_centroid,s4,0.6969696969696969,0.6661176222151831
original_points_stratified_random_holdout,7,,original_points_centroid,s5,0.5909090909090909,0.5395500763921817
original_points_stratified_random_holdout,7,,original_points_centroid,s6,0.3882575757575757,0.2753147235905857
original_points_stratified_random_holdout,7,,original_points_gnb,s1,0.7159090909090909,0.71731893837157
original_points_stratified_random_holdout,7,,original_points_gnb,s2,0.7594696969696969,0.7676037849992582
original_points_stratified_random_holdout,7,,original_points_gnb,s3,0.5340909090909091,0.5461456671982987
original_points_stratified_random_holdout,7,,original_points_gnb,s4,0.6799242424242425,0.6636904761904763
original_points_stratified_random_holdout,7,,original_points_gnb,s5,0.6647727272727274,0.66518054104261
original_points_stratified_random_holdout,7,,original_points_gnb,s6,0.34848484848484845,0.2691511387163561
original_points_stratified_random_holdout,8,,original_points_centroid,s1,0.712121212121212,0.6929686351127078
original_points_stratified_random_holdout,8,,original_points_centroid,s2,0.7803030303030303,0.7814839808477135
original_points_stratified_random_holdout,8,,original_points_centroid,s3,0.6287878787878788,0.6076190476190476
original_points_stratified_random_holdout,8,,original_points_centroid,s4,0.6193181818181818,0.5961536449341327
original_points_stratified_random_holdout,8,,original_points_centroid,s5,0.6212121212121212,0.5861058995205336
original_points_stratified_random_holdout,8,,original_points_centroid,s6,0.3106060606060606,0.22395253985910268
original_points_stratified_random_holdout,8,,original_points_gnb,s1,0.6761363636363636,0.6483810218091245
original_points_stratified_random_holdout,8,,original_points_gnb,s2,0.8049242424242425,0.8187571324826227
original_points_stratified_random_holdout,8,,original_points_gnb,s3,0.5113636363636364,0.48750870022361426
original_points_stratified_random_holdout,8,,original_points_gnb,s4,0.7651515151515151,0.7758620689655172
original_points_stratified_random_holdout,8,,original_points_gnb,s5,0.7121212121212123,0.6995507637017071
original_points_stratified_random_holdout,8,,original_points_gnb,s6,0.3465909090909091,0.34219126246990017
original_points_stratified_random_holdout,9,,original_points_centroid,s1,0.712121212121212,0.6872058194266154
original_points_stratified_random_holdout,9,,original_points_centroid,s2,0.7140151515151514,0.7164109121909634
original_points_stratified_random_holdout,9,,original_points_centroid,s3,0.6344696969696969,0.6248800295311924
original_points_stratified_random_holdout,9,,original_points_centroid,s4,0.6742424242424242,0.6666666666666666
original_points_stratified_random_holdout,9,,original_points_centroid,s5,0.6818181818181818,0.6468981744081007
original_points_stratified_random_holdout,9,,original_points_centroid,s6,0.4071969696969697,0.4061800676554775
original_points_stratified_random_holdout,9,,original_points_gnb,s1,0.6856060606060606,0.6753352490421456
original_points_stratified_random_holdout,9,,original_points_gnb,s2,0.8106060606060607,0.8232874545166905
original_points_stratified_random_holdout,9,,original_points_gnb,s3,0.49242424242424243,0.4948299711026199
original_points_stratified_random_holdout,9,,original_points_gnb,s4,0.75,0.7611561866125761
original_points_stratified_random_holdout,9,,original_points_gnb,s5,0.6818181818181818,0.6606060606060605
original_points_stratified_random_holdout,9,,original_points_gnb,s6,0.30303030303030304,0.23780663780663783
original_points_stratified_random_holdout,10,,original_points_centroid,s1,0.5757575757575758,0.5201029129600557
original_points_stratified_random_holdout,10,,original_points_centroid,s2,0.6837121212121211,0.6852514919011082
original_points_stratified_random_holdout,10,,original_points_centroid,s3,0.6496212121212122,0.6268086268086268
original_points_stratified_random_holdout,10,,original_points_centroid,s4,0.6742424242424242,0.6720538720538721
original_points_stratified_random_holdout,10,,original_points_centroid,s5,0.6060606060606061,0.5582267689684569
original_points_stratified_random_holdout,10,,original_points_centroid,s6,0.4053030303030303,0.36961196820944364
original_points_stratified_random_holdout,10,,original_points_gnb,s1,0.6458333333333334,0.6515235698488958
original_points_stratified_random_holdout,10,,original_points_gnb,s2,0.7954545454545455,0.8087912087912087
original_points_stratified_random_holdout,10,,original_points_gnb,s3,0.6401515151515151,0.6460631156283331
original_points_stratified_random_holdout,10,,original_points_gnb,s4,0.7196969696969697,0.7283873214907697
original_points_stratified_random_holdout,10,,original_points_gnb,s5,0.6041666666666666,0.6187852152355194
original_points_stratified_random_holdout,10,,original_points_gnb,s6,0.2727272727272727,0.21337755666113875
original_points_stratified_random_holdout,11,,original_points_centroid,s1,0.712121212121212,0.6807873341891314
original_points_stratified_random_holdout,11,,original_points_centroid,s2,0.6799242424242423,0.6730462519936204
original_points_stratified_random_holdout,11,,original_points_centroid,s3,0.537878787878788,0.5209006916323989
original_points_stratified_random_holdout,11,,original_points_centroid,s4,0.625,0.6014397696368582
original_points_stratified_random_holdout,11,,original_points_centroid,s5,0.6969696969696969,0.6632666938664491
original_points_stratified_random_holdout,11,,original_points_centroid,s6,0.45265151515151514,0.40619967793880835
original_points_stratified_random_holdout,11,,original_points_gnb,s1,0.7064393939393939,0.6906362007168458
original_points_stratified_random_holdout,11,,original_points_gnb,s2,0.8882575757575758,0.8888708700916798
original_points_stratified_random_holdout,11,,original_points_gnb,s3,0.48295454545454547,0.4929353316450091
original_points_stratified_random_holdout,11,,original_points_gnb,s4,0.6856060606060606,0.6745230078563412
original_points_stratified_random_holdout,11,,original_points_gnb,s5,0.7424242424242425,0.7390545961974534
original_points_stratified_random_holdout,11,,original_points_gnb,s6,0.3806818181818182,0.33706816059757233
original_points_stratified_random_holdout,12,,original_points_centroid,s1,0.6515151515151515,0.6064751481988145
original_points_stratified_random_holdout,12,,original_points_centroid,s2,0.6174242424242423,0.6228993228993228
original_points_stratified_random_holdout,12,,original_points_centroid,s3,0.5568181818181818,0.5429273667259937
original_points_stratified_random_holdout,12,,original_points_centroid,s4,0.6647727272727272,0.6533490011750881
original_points_stratified_random_holdout,12,,original_points_centroid,s5,0.6818181818181818,0.6455026455026455
original_points_stratified_random_holdout,12,,original_points_centroid,s6,0.35227272727272724,0.24593941225353178
original_points_stratified_random_holdout,12,,original_points_gnb,s1,0.6912878787878788,0.6935208161014613
original_points_stratified_random_holdout,12,,original_points_gnb,s2,0.75,0.7590270521305005
original_points_stratified_random_holdout,12,,original_points_gnb,s3,0.5795454545454546,0.5938871473354231
original_points_stratified_random_holdout,12,,original_points_gnb,s4,0.6534090909090909,0.6584122092596668
original_points_stratified_random_holdout,12,,original_points_gnb,s5,0.7272727272727272,0.7267080745341614
original_points_stratified_random_holdout,12,,original_points_gnb,s6,0.34848484848484845,0.25921183667662545
original_points_stratified_random_holdout,13,,original_points_centroid,s1,0.6212121212121212,0.5831144465290806
original_points_stratified_random_holdout,13,,original_points_centroid,s2,0.7253787878787877,0.7195286195286195
original_points_stratified_random_holdout,13,,original_points_centroid,s3,0.6742424242424242,0.661581489956776
