mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,9,,lda,without_s3,s3,45,0.9666666666666667,0.9696969696969697,0.9645191409897292,0.0,0.002099425628837359
stratified_random_holdout,9,,lda,without_s4,s4,45,0.9666666666666667,0.9696969696969697,0.9666185666185666,0.0,0.0
stratified_random_holdout,9,,lda,without_s5,s5,45,0.9666666666666667,0.9696969696969697,0.9645191409897292,0.0,0.002099425628837359
stratified_random_holdout,9,,lda,without_s6,s6,45,0.9666666666666667,0.9696969696969697,0.9666185666185666,0.0,0.0
stratified_random_holdout,9,,gnb,all,,54,0.9333333333333333,0.9337121212121212,0.9370059906280918,0.0,0.0
stratified_random_holdout,9,,gnb,without_s1,s1,45,0.9333333333333333,0.9337121212121212,0.9370059906280918,0.0,0.0
stratified_random_holdout,9,,gnb,without_s2,s2,45,0.7666666666666667,0.7821969696969697,0.7778566759090192,0.1515151515151515,0.15914931471907257
stratified_random_holdout,9,,gnb,without_s3,s3,45,0.9166666666666666,0.9185606060606061,0.9220402871741239,0.015151515151515138,0.01496570345396786
stratified_random_holdout,9,,gnb,without_s4,s4,45,0.9333333333333333,0.9337121212121212,0.9370059906280918,0.0,0.0
stratified_random_holdout,9,,gnb,without_s5,s5,45,0.9333333333333333,0.9337121212121212,0.9370059906280918,0.0,0.0
stratified_random_holdout,9,,gnb,without_s6,s6,45,0.9333333333333333,0.9337121212121212,0.9370059906280918,0.0,0.0
stratified_random_holdout,9,,centroid,all,,54,0.9,0.9090909090909092,0.901583782071587,0.0,0.0
stratified_random_holdout,9,,centroid,without_s1,s1,45,0.8833333333333333,0.893939393939394,0.8843091531690511,0.015151515151515138,0.017274628902535838
stratified_random_holdout,9,,centroid,without_s2,s2,45,0.8666666666666667,0.8787878787878789,0.8707225142007751,0.030303030303030276,0.030861267870811893
stratified_random_holdout,9,,centroid,without_s3,s3,45,0.85,0.8636363636363636,0.852803294266709,0.045454545454545525,0.04878048780487798
stratified_random_holdout,9,,centroid,without_s4,s4,45,0.9166666666666666,0.9242424242424243,0.916795865633075,-0.015151515151515138,-0.015212083561488066
