variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task,judgment
MLP source only,0.0,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air,Candidate
MLP source + Day1,0.0,11,90,46,30,16,26,185,0.9130434782608695,0.9230769230769231,0.8054054054054054,0.9215686274509803,0.9333333333333332,0.8125874125874125,0.9100218777638133,0.9172932330827068,0.8058064455864432,0.10763807285546412,0.5434782608695652,closer_to_0.5_is_more_invariant,three_class_with_air,Candidate; domain-invariant features
DANN-UDA,0.02,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air,Candidate; domain still separable
DANN-semi,0.2,11,90,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8108108108108109,0.9215686274509803,0.9666666666666667,0.8186480186480187,0.9100218777638133,0.9568151147098516,0.8110099649840087,0.10223266745005866,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air,Best test accuracy
MLP source only,0.0,11,60,24,24,10,20,130,0.9166666666666666,0.95,0.8692307692307693,0.9166666666666667,0.95,0.8692307692307693,0.916083916083916,0.949874686716792,0.8669556318102463,0.04743589743589738,0.5882352941176471,closer_to_0.5_is_more_invariant,binary_without_air,Candidate; domain-invariant features
MLP source + Day1,0.0,11,50,34,24,10,20,130,0.9117647058823529,1.0,0.8769230769230769,0.9117647058823529,1.0,0.8769230769230769,0.9110723626852659,1.0,0.8750300408555636,0.034841628959276005,0.5588235294117647,closer_to_0.5_is_more_invariant,binary_without_air,Candidate; domain-invariant features
DANN-UDA,0.5,11,40,24,24,10,20,130,0.875,1.0,0.8769230769230769,0.875,1.0,0.8769230769230769,0.873015873015873,1.0,0.8750300408555636,-0.0019230769230769162,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air,Candidate
DANN-semi,0.5,23,240,34,24,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9149771092217136,0.08461538461538465,0.6470588235294118,closer_to_0.5_is_more_invariant,binary_without_air,Best test accuracy
