split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,0.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,0.0,273,0.7985347985347986,0.8019547325102879,0.7993324989570295
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,1.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,1.0,273,0.7948717948717948,0.7971965020576132,0.7992624789126529
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,2.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,2.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,2.0,273,0.7326007326007326,0.737525720164609,0.735876068604498
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,3.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,3.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,3.0,273,0.7289377289377289,0.7334104938271605,0.7253392916252897
S2_train_I_internal_val_test_all,three_class_with_air,MLP,train,4.0,30,1.0,1.0,1.0
S2_train_I_internal_val_test_all,three_class_with_air,MLP,validation,4.0,5,0.6,0.6666666666666666,0.611111111111111
S2_train_I_internal_val_test_all,three_class_with_air,MLP,test,4.0,273,0.7326007326007326,0.737525720164609,0.7430811941681507
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,train,,30,0.8666666666666667,0.8611111111111112,0.8597883597883599
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,validation,,10,0.8,0.8333333333333334,0.7851851851851852
S3_train_I_internal_20_10_test_all,three_class_with_air,LDA,test,,273,0.7435897435897436,0.7415123456790124,0.7386251652787162
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,train,,30,0.8666666666666667,0.8888888888888888,0.863997113997114
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,validation,,10,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,test,,273,0.8461538461538461,0.8458076131687243,0.8494322444247425
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,train,,30,0.7333333333333333,0.6944444444444443,0.7068418171866447
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,validation,,10,0.7,0.6666666666666666,0.6555555555555556
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,test,,273,0.663003663003663,0.6676954732510288,0.6590358399190824
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,train,0.0,30,0.9,0.9166666666666666,0.9153439153439153
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,validation,0.0,10,0.7,0.75,0.6944444444444443
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,test,0.0,273,0.9194139194139194,0.9236111111111112,0.923577941815024
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,train,1.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,validation,1.0,10,0.7,0.75,0.6944444444444443
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,test,1.0,273,0.9047619047619048,0.9097222222222223,0.9096339741501032
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,train,2.0,30,0.9,0.9166666666666666,0.9153439153439153
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,validation,2.0,10,0.7,0.75,0.6944444444444443
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,test,2.0,273,0.8901098901098901,0.8958333333333334,0.8958333333333334
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,train,3.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,validation,3.0,10,0.7,0.75,0.6944444444444443
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,test,3.0,273,0.8974358974358975,0.9027777777777777,0.9027777777777777
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,train,4.0,30,0.9333333333333333,0.9444444444444445,0.9440559440559441
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,validation,4.0,10,0.7,0.75,0.6944444444444443
S3_train_I_internal_20_10_test_all,three_class_with_air,Random Forest,test,4.0,273,0.9047619047619048,0.9097222222222222,0.9094766619519095
S3_train_I_internal_20_10_test_all,three_class_with_air,RBF SVM,train,,30,1.0,1.0,1.0
S3_train_I_internal_20_10_test_all,three_class_with_air,RBF SVM,validation,,10,0.7,0.6666666666666666,0.6666666666666666
S3_train_I_internal_20_10_test_all,three_class_with_air,RBF SVM,test,,273,0.8205128205128205,0.8227880658436213,0.8269629313107574
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,train,0.0,30,1.0,1.0,1.0
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,validation,0.0,10,0.6,0.5833333333333334,0.5738095238095238
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,test,0.0,273,0.7985347985347986,0.8019547325102879,0.7993324989570295
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,train,1.0,30,1.0,1.0,1.0
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,validation,1.0,10,0.6,0.5833333333333334,0.5738095238095238
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,test,1.0,273,0.7948717948717948,0.7971965020576132,0.7992624789126529
S3_train_I_internal_20_10_test_all,three_class_with_air,MLP,train,2.0,30,1.0,1.0,1.0
