split,task,model,partition,random_state,n,accuracy,balanced_accuracy,macro_f1
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,validation,3.0,40,0.8,0.8222222222222223,0.7876905702992659
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,test,3.0,205,0.9560975609756097,0.9541694612117148,0.9557353127775663
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,train,4.0,98,1.0,1.0,1.0
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,validation,4.0,40,0.85,0.8666666666666667,0.8531746031746031
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP,test,4.0,205,0.9463414634146341,0.9447797898502124,0.9466209787604681
S7_train_I_D1_3_val_D4_5,three_class_with_air,LDA,train,,98,0.9387755102040817,0.9459459459459459,0.9347939488784559
S7_train_I_D1_3_val_D4_5,three_class_with_air,LDA,validation,,26,0.9230769230769231,0.9333333333333332,0.9214489214489214
S7_train_I_D1_3_val_D4_5,three_class_with_air,LDA,test,,205,0.926829268292683,0.927192786347716,0.9267324192201466
S7_train_I_D1_3_val_D4_5,three_class_with_air,Logistic Regression,train,,98,0.9693877551020408,0.9729729729729729,0.9681377151799687
S7_train_I_D1_3_val_D4_5,three_class_with_air,Logistic Regression,validation,,26,0.9230769230769231,0.9333333333333332,0.9326599326599326
S7_train_I_D1_3_val_D4_5,three_class_with_air,Logistic Regression,test,,205,0.9707317073170731,0.9712348163052389,0.9713485288232161
S7_train_I_D1_3_val_D4_5,three_class_with_air,kNN,train,,98,0.8775510204081632,0.8821321321321322,0.8777464788732394
S7_train_I_D1_3_val_D4_5,three_class_with_air,kNN,validation,,26,0.8846153846153846,0.9,0.8897028897028897
S7_train_I_D1_3_val_D4_5,three_class_with_air,kNN,test,,205,0.8975609756097561,0.899023772263209,0.8998753511119922
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,train,0.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,validation,0.0,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,test,0.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,train,1.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,validation,1.0,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,test,1.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,train,2.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,validation,2.0,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,test,2.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,train,3.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,validation,3.0,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,test,3.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,train,4.0,98,0.9183673469387755,0.9279279279279279,0.9279279279279279
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,validation,4.0,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,Random Forest,test,4.0,205,0.9170731707317074,0.92018779342723,0.9190272536687631
S7_train_I_D1_3_val_D4_5,three_class_with_air,RBF SVM,train,,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,RBF SVM,validation,,26,0.8846153846153846,0.9,0.899749373433584
S7_train_I_D1_3_val_D4_5,three_class_with_air,RBF SVM,test,,205,0.9658536585365853,0.9647514717937252,0.9662168383897788
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,train,0.0,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,validation,0.0,26,0.8461538461538461,0.8666666666666667,0.8611111111111112
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,test,0.0,205,0.926829268292683,0.9242119382964454,0.926524803469775
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,train,1.0,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,validation,1.0,26,0.8846153846153846,0.9,0.8976982097186701
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,test,1.0,205,0.9512195121951219,0.9500707951412176,0.9508771014176439
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,train,2.0,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,validation,2.0,26,0.9230769230769231,0.9333333333333332,0.9214489214489214
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,test,2.0,205,0.9463414634146341,0.9447797898502124,0.9461090767122036
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,train,3.0,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,validation,3.0,26,0.9230769230769231,0.9333333333333332,0.9326599326599326
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,test,3.0,205,0.9560975609756097,0.9541694612117148,0.9557353127775663
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,train,4.0,98,1.0,1.0,1.0
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,validation,4.0,26,0.8461538461538461,0.8666666666666667,0.8387445887445887
S7_train_I_D1_3_val_D4_5,three_class_with_air,MLP,test,4.0,205,0.9463414634146341,0.9447797898502124,0.9466209787604681
