representation,day,day_num,separation,distance
uci48_features_zscore,Day9,9,alcohol_minus_air,10.685631328275093
uci48_features_zscore,Day9,9,acetone_minus_air,10.964712594117698
uci48_features_zscore,Day10,10,acetone_minus_alcohol,4.566827334160731
uci48_features_zscore,Day10,10,alcohol_minus_air,6.94534676745321
uci48_features_zscore,Day10,10,acetone_minus_air,9.310111660036263
uci48_features_zscore,Day11,11,acetone_minus_alcohol,5.986693084350542
uci48_features_zscore,Day11,11,alcohol_minus_air,5.297889609955759
uci48_features_zscore,Day11,11,acetone_minus_air,9.460989580673578
uci48_features_zscore,Day12,12,acetone_minus_alcohol,7.805219185488489
uci48_features_zscore,Day12,12,alcohol_minus_air,8.334850452559547
uci48_features_zscore,Day12,12,acetone_minus_air,14.075446325913479
uci48_features_zscore,Day13,13,acetone_minus_alcohol,4.118918244569083
uci48_features_zscore,Day13,13,alcohol_minus_air,7.366049172846098
uci48_features_zscore,Day13,13,acetone_minus_air,8.974061794606232
uci48_features_zscore,Day14,14,acetone_minus_alcohol,3.583618771225438
uci48_features_zscore,Day14,14,alcohol_minus_air,6.359080850184032
uci48_features_zscore,Day14,14,acetone_minus_air,4.5852130904538715
uci48_features_zscore,Day16,16,acetone_minus_alcohol,3.79421648812435
uci48_features_zscore,Day16,16,alcohol_minus_air,6.903507553528621
uci48_features_zscore,Day16,16,acetone_minus_air,6.817817506397573
uci48_features_zscore,Day17,17,acetone_minus_alcohol,6.354321617156335
uci48_features_zscore,Day17,17,alcohol_minus_air,9.672499296444315
uci48_features_zscore,Day17,17,acetone_minus_air,10.863640666251571
