removed_sensor,random_holdout_lda_delta_bacc,random_positive_delta_rate,leave_date_lda_delta_bacc,new_bottle_lda_delta_bacc,single_sensor_lda_bacc,fisher_mean,fisher_max,fisher_top3_mean,weighted_pc1_pc2_pc3_contribution,pc1_abs_loading_sum,pc2_abs_loading_sum,pc3_abs_loading_sum
s2,0.031174242424242403,0.79,0.021568627450980368,0.0,0.6908333333333334,0.9994313016615829,1.2478135640825923,1.2210068533612286,0.14177215152651151,1.3378736605843908,1.3004823036666895,1.1762971598708958
s3,0.019999999999999987,0.72,0.009803921568627442,0.033333333333333326,0.6855113636363636,0.3810262714411336,0.9843193659539583,0.7025260135897723,0.10945051602621347,0.9093117180690757,1.429422131483393,1.361356463124294
s1,0.00524621212121212,0.42,-0.004901960784313734,0.0,0.7087878787878787,0.7282716861891366,0.8674110670928094,0.8501550326439795,0.13251376167529205,1.4105475542655845,0.6985303875225894,0.3234832348736241
s5,0.004981060606060601,0.38,0.0016339869281045694,0.0,0.7210416666666666,0.6242693833372068,0.849640063347696,0.8072183433103102,0.13033023319199002,1.3617097871278776,0.78628742572193,0.35674962573533864
s4,-0.0011363636363636365,0.14,0.0,0.0,0.6834280303030303,0.4620937847321197,0.5852522849571615,0.5661658521454641,0.14010370695469784,1.390461227479854,1.2002174790152587,0.6354435735705983
s6,-0.0030871212121212142,0.17,-0.004901960784313728,0.0,0.37803030303030305,0.018528642879678606,0.03424701514827594,0.02718211759710216,0.056991332445719724,0.4891028172337159,0.30767034905107987,1.9373960011223565
