variant,lambda,seed,label_usage,best_epoch,class_loss_last,domain_loss_last,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task,framework,judgment
PyTorch MLP source only,0.0,11,source labels only,710,0.00010725094034569338,0.0,30,30,16,26,185,1.0,0.9615384615384616,0.8648648648648649,1.0,0.9666666666666667,0.8671328671328671,1.0,0.9568151147098516,0.8642219934808715,0.1351351351351351,0.41304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch,Candidate
PyTorch MLP source + Day1,0.0,17,source labels + Day1 target labels,20,0.0026977695524692535,0.0,46,30,16,26,185,0.9347826086956522,0.9615384615384616,0.8486486486486486,0.9411764705882352,0.9666666666666667,0.8536130536130536,0.9307048984468339,0.9568151147098516,0.8488614699141014,0.08613396004700358,0.5434782608695652,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch,Candidate; domain-invariant features
PyTorch DANN-UDA,0.5,3,source labels only,110,9.851018148765434e-06,0.6450769305229187,30,30,16,26,185,1.0,1.0,0.8540540540540541,1.0,1.0,0.855011655011655,1.0,1.0,0.8561747654512569,0.1459459459459459,0.6956521739130435,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch,Candidate
PyTorch DANN-semi,0.2,23,source labels + Day1 target labels,120,3.2062887385109207e-06,0.6340684294700623,46,30,16,26,185,1.0,1.0,0.8702702702702703,1.0,1.0,0.8722610722610723,1.0,1.0,0.8717424999954465,0.12972972972972974,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air,PyTorch,Best test accuracy
PyTorch MLP source only,0.0,3,source labels only,120,2.6711064492701553e-05,0.0,24,24,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9153796082608439,0.08461538461538465,0.5294117647058824,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch,Candidate; domain-invariant features
PyTorch MLP source + Day1,0.0,11,source labels + Day1 target labels,120,4.424615781317698e-06,0.0,34,24,10,20,130,1.0,1.0,0.9307692307692308,1.0,1.0,0.9307692307692308,1.0,1.0,0.9306666666666668,0.0692307692307692,0.38235294117647056,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch,Candidate
PyTorch DANN-UDA,0.1,7,source labels only,60,0.00021010606724303216,0.6022886037826538,24,24,10,20,130,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615179681487183,0.038461538461538436,0.7647058823529411,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch,Best test accuracy; domain still separable
PyTorch DANN-semi,0.02,3,source labels + Day1 target labels,60,1.4469314919551834e-05,0.558708131313324,34,24,10,20,130,1.0,1.0,0.9384615384615385,1.0,1.0,0.9384615384615385,1.0,1.0,0.9384469696969697,0.06153846153846154,0.7941176470588235,closer_to_0.5_is_more_invariant,binary_without_air,PyTorch,Candidate; domain still separable
