mode,split_id,group,classifier,case,true_label,pred_label,count
stratified_random_holdout,1,,lda,without_s1,acetone,air,0
stratified_random_holdout,1,,lda,without_s1,acetone,alcohol,0
stratified_random_holdout,1,,lda,without_s1,acetone,acetone,22
stratified_random_holdout,1,,lda,without_s2,air,air,15
stratified_random_holdout,1,,lda,without_s2,air,alcohol,0
stratified_random_holdout,1,,lda,without_s2,air,acetone,1
stratified_random_holdout,1,,lda,without_s2,alcohol,air,3
stratified_random_holdout,1,,lda,without_s2,alcohol,alcohol,19
stratified_random_holdout,1,,lda,without_s2,alcohol,acetone,0
stratified_random_holdout,1,,lda,without_s2,acetone,air,0
stratified_random_holdout,1,,lda,without_s2,acetone,alcohol,3
stratified_random_holdout,1,,lda,without_s2,acetone,acetone,19
stratified_random_holdout,1,,lda,without_s3,air,air,16
stratified_random_holdout,1,,lda,without_s3,air,alcohol,0
stratified_random_holdout,1,,lda,without_s3,air,acetone,0
stratified_random_holdout,1,,lda,without_s3,alcohol,air,4
stratified_random_holdout,1,,lda,without_s3,alcohol,alcohol,18
stratified_random_holdout,1,,lda,without_s3,alcohol,acetone,0
stratified_random_holdout,1,,lda,without_s3,acetone,air,2
stratified_random_holdout,1,,lda,without_s3,acetone,alcohol,0
stratified_random_holdout,1,,lda,without_s3,acetone,acetone,20
stratified_random_holdout,1,,lda,without_s4,air,air,15
stratified_random_holdout,1,,lda,without_s4,air,alcohol,0
stratified_random_holdout,1,,lda,without_s4,air,acetone,1
stratified_random_holdout,1,,lda,without_s4,alcohol,air,3
stratified_random_holdout,1,,lda,without_s4,alcohol,alcohol,19
stratified_random_holdout,1,,lda,without_s4,alcohol,acetone,0
stratified_random_holdout,1,,lda,without_s4,acetone,air,0
stratified_random_holdout,1,,lda,without_s4,acetone,alcohol,0
stratified_random_holdout,1,,lda,without_s4,acetone,acetone,22
stratified_random_holdout,1,,lda,without_s5,air,air,15
stratified_random_holdout,1,,lda,without_s5,air,alcohol,0
stratified_random_holdout,1,,lda,without_s5,air,acetone,1
