split,description,task,model,random_state,tuning_random_state,tuning_seed_values,protocol_version,preprocessing,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,LDA,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,0.8666666666666667,0.8,0.7435897435897436,0.8611111111111112,0.8333333333333334,0.7415123456790124,0.8597883597883599,0.8222222222222223,0.7386251652787162
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Logistic Regression,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,1.0,0.8168498168498168,1.0,1.0,0.8167438271604938,1.0,1.0,0.8231666880588714
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,kNN,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",n_neighbors=1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,1.0,0.8,0.6483516483516484,1.0,0.8333333333333334,0.6531635802469137,1.0,0.8222222222222223,0.6554260713817159
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9,0.8,0.9047619047619048,0.9166666666666666,0.8333333333333334,0.9097222222222222,0.9153439153439153,0.8222222222222223,0.9096830221450283
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,1.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9333333333333333,0.8,0.8901098901098901,0.9444444444444445,0.8333333333333334,0.8958333333333334,0.9440559440559441,0.8222222222222223,0.8958220293000543
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,2.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9,0.8,0.8974358974358975,0.9166666666666666,0.8333333333333334,0.9027777777777778,0.9153439153439153,0.8222222222222223,0.9027672273467173
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,3.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9,0.8,0.9157509157509157,0.9166666666666666,0.8333333333333334,0.9201388888888888,0.9153439153439153,0.8222222222222223,0.9200846928526832
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,4.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,0.9,0.8,0.8864468864468864,0.9166666666666666,0.8333333333333334,0.892361111111111,0.9153439153439153,0.8222222222222223,0.892334825668159
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,RBF SVM,,,,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,0.8333333333333334,0.8,0.684981684981685,0.861111111111111,0.8333333333333334,0.6962448559670782,0.8344322344322345,0.8222222222222223,0.6943007031421665
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,0.0,,0;1;2;3;4,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)","hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.6,0.7985347985347986,1.0,0.6666666666666666,0.8019547325102879,1.0,0.611111111111111,0.7993324989570295
