split,description,task,variant,lambda,seed,classifier_label_usage,domain_label_usage,model_selection_labels,best_epoch,class_loss_last,domain_loss_last,classifier_train_n,source_train_n,source_val_n,target_labeled_train_n,target_domain_n,target_validation_n,target_test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,judgment
D3_uda_day1_val_day2_3,Source labels = all Period I; target domain = Day1 unlabeled; validation = Day2-3 labels; test = Day4-19 labels.,binary_without_air,DANN-UDA,0.5,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,370,8.543295280105667e-07,0.6061484217643738,24,24,0,0,10,20,130,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615179681487183,0.038461538461538436,0.7058823529411765,best in split
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,three_class_with_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,20,0.0001474184828111902,0.0,30,30,0,16,16,26,185,0.9,0.8076923076923077,0.7027027027027027,0.9166666666666666,0.8333333333333334,0.7104895104895105,0.8944099378881987,0.8157136980666393,0.7069826214135158,0.19729729729729728,0.41304347826086957,candidate
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,three_class_with_air,DANN-UDA,0.2,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,220,0.08889953047037125,0.6782187819480896,30,30,0,16,16,26,185,1.0,0.9615384615384616,0.8648648648648649,1.0,0.9666666666666667,0.8680652680652682,1.0,0.9568151147098516,0.8655619905619906,0.1351351351351351,0.6521739130434783,candidate
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,three_class_with_air,MLP source + target labels,0.0,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,20,0.0005193086108192801,0.0,46,30,0,16,16,26,185,0.9130434782608695,0.9615384615384616,0.8486486486486486,0.9215686274509803,0.9666666666666667,0.8536130536130536,0.9111952861952862,0.9568151147098516,0.8488703182893621,0.06439482961222087,0.6304347826086957,candidate
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,three_class_with_air,DANN-semi,0.2,23,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,120,5.8232195442542434e-05,0.6655561923980713,46,30,0,16,16,26,185,1.0,1.0,0.8702702702702703,1.0,1.0,0.8722610722610723,1.0,1.0,0.8717424999954465,0.12972972972972974,0.6521739130434783,best in split
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,binary_without_air,MLP source only,0.0,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,80,3.5122149711241946e-05,0.0,24,24,0,10,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9151385674440685,0.08461538461538465,0.3235294117647059,candidate
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,binary_without_air,DANN-UDA,0.5,7,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,370,8.543295280105667e-07,0.6061484217643738,24,24,0,10,10,20,130,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615179681487183,0.038461538461538436,0.7058823529411765,best in split
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,binary_without_air,MLP source + target labels,0.0,11,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,120,1.608201455383096e-05,0.0,34,24,0,10,10,20,130,1.0,1.0,0.9307692307692308,1.0,1.0,0.9307692307692308,1.0,1.0,0.9306666666666668,0.0692307692307692,0.38235294117647056,candidate
D4_semi_day1_val_day2_3,Source labels = all Period I; target Day1 is available for domain loss and optional label-supervised calibration; validation = Day2-3; test = Day4-19.,binary_without_air,DANN-semi,0.2,7,source labels + selected target labels,source/target domain labels only; gas labels not used for target domain loss,target validation labels,190,1.7530773277485423e-08,0.6088157892227173,34,24,0,10,10,20,130,1.0,1.0,0.9153846153846154,1.0,1.0,0.9153846153846155,1.0,1.0,0.9151385674440685,0.08461538461538465,0.7058823529411765,candidate
D5_semi_day1_2_val_day3_5,Source labels = all Period I; target Day1-2 available for domain loss and optional label-supervised calibration; validation = Day3-5; test = Day6-19.,three_class_with_air,MLP source only,0.0,23,source labels only,source/target domain labels only; gas labels not used for target domain loss,target validation labels,20,2.4415738153038546e-05,0.0,30,30,0,28,28,40,159,0.8666666666666667,0.825,0.6855345911949685,0.8888888888888888,0.8444444444444444,0.6925170068027211,0.8582345191040844,0.8239858906525573,0.6816263542454019,0.18113207547169818,0.4482758620689655,candidate
