feature_space,sensors,accuracy,balanced_accuracy,alcohol_recall,acetone_recall,alcohol_total,acetone_total,alcohol_correct,acetone_correct,alcohol_as_acetone,acetone_as_alcohol,w1,w2,w3,b,method
s1_s2_s3,S1/S2/S3,0.7324852266912805,0.7324660813164232,0.7586068614280271,0.7063253012048193,49873,49800,37834,35175,12039,14625,-5.202632910534366,10.685406187282458,-3.4670274925322726,0.7619530824381757,regularized Fisher LDA hyperplane on normalized 3D display coordinates
s2_s3_s5,S2/S3/S5,0.7187402807179477,0.7187014647727316,0.7717001183004832,0.6657028112449799,49873,49800,38487,33152,11386,16648,10.003576873231243,-3.7569783740229985,-4.439746446333405,0.8329502569640007,regularized Fisher LDA hyperplane on normalized 3D display coordinates
