variant,lambda,seed,best_epoch,train_n,source_n,target_calibration_n,validation_n,test_n,train_accuracy,validation_accuracy,test_accuracy,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_macro_f1,validation_macro_f1,test_macro_f1,train_test_accuracy_gap,domain_discriminator_accuracy,domain_invariance_note,task
DANN-UDA,0.5,7,230,30,30,16,26,185,1.0,0.6923076923076923,0.7405405405405405,1.0,0.7111111111111111,0.7454545454545455,1.0,0.6756613756613757,0.7330035044320758,0.2594594594594595,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.5,11,70,30,30,16,26,185,0.8666666666666667,0.9230769230769231,0.7945945945945946,0.8888888888888888,0.9111111111111111,0.7967365967365967,0.8545548654244306,0.9111111111111111,0.7956208006567719,0.07207207207207211,0.6086956521739131,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.5,17,660,30,30,16,26,185,1.0,0.7307692307692307,0.6810810810810811,1.0,0.7666666666666666,0.68997668997669,1.0,0.7126984126984127,0.6434589800443459,0.3189189189189189,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-UDA,0.5,23,750,30,30,16,26,185,1.0,0.7692307692307693,0.8432432432432433,1.0,0.7777777777777778,0.841958041958042,1.0,0.7608225108225107,0.841080722310345,0.1567567567567567,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.02,3,100,46,30,16,26,185,0.8695652173913043,0.7692307692307693,0.7027027027027027,0.8823529411764706,0.7999999999999999,0.7160839160839161,0.8688172043010752,0.7659958720330238,0.6940985861605075,0.16686251468860158,0.7608695652173914,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.02,7,150,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.786013986013986,0.8934766214177978,0.8055555555555555,0.7789958509382969,0.1129259694477085,0.7391304347826086,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.02,11,90,46,30,16,26,185,0.9130434782608695,0.9230769230769231,0.8054054054054054,0.9215686274509803,0.9333333333333332,0.8125874125874125,0.9100218777638133,0.9172932330827068,0.8058064455864432,0.10763807285546412,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.02,17,80,46,30,16,26,185,0.8913043478260869,0.7307692307692307,0.7567567567567568,0.9019607843137255,0.7666666666666666,0.7682983682983684,0.8894373377827215,0.7126984126984127,0.7403497203045025,0.13454759106933012,0.782608695652174,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.02,23,840,46,30,16,26,185,1.0,0.7307692307692307,0.8216216216216217,1.0,0.7666666666666666,0.8279720279720281,1.0,0.7167919799498748,0.8141501362017182,0.17837837837837833,0.8260869565217391,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.05,3,100,46,30,16,26,185,0.8695652173913043,0.7692307692307693,0.7027027027027027,0.8823529411764706,0.7999999999999999,0.7160839160839161,0.8688172043010752,0.7659958720330238,0.6940985861605075,0.16686251468860158,0.7608695652173914,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.05,7,150,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.786013986013986,0.8934766214177978,0.8055555555555555,0.7789958509382969,0.1129259694477085,0.717391304347826,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.05,11,90,46,30,16,26,185,0.9130434782608695,0.9230769230769231,0.8108108108108109,0.9215686274509803,0.9333333333333332,0.8186480186480187,0.9100218777638133,0.9172932330827068,0.8110099649840087,0.10223266745005866,0.8043478260869565,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.05,17,640,46,30,16,26,185,1.0,0.7307692307692307,0.7513513513513513,1.0,0.7666666666666666,0.7603729603729604,1.0,0.7167919799498748,0.7245480933882243,0.24864864864864866,0.6304347826086957,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.05,23,300,46,30,16,26,185,1.0,0.6923076923076923,0.8054054054054054,1.0,0.7333333333333333,0.8125874125874125,1.0,0.6643724696356276,0.7984319115361825,0.1945945945945946,0.8695652173913043,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.1,3,100,46,30,16,26,185,0.8478260869565217,0.7692307692307693,0.7081081081081081,0.8627450980392156,0.7999999999999999,0.7212121212121212,0.8480286738351254,0.7659958720330238,0.7005974637134411,0.13971797884841364,0.782608695652174,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.1,7,160,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.786013986013986,0.8934766214177978,0.8010835913312694,0.7785602886595697,0.1129259694477085,0.717391304347826,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.1,11,100,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8054054054054054,0.9215686274509803,0.9666666666666667,0.8135198135198135,0.9100218777638133,0.9568151147098516,0.8051553574718998,0.10763807285546412,0.717391304347826,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.1,17,570,46,30,16,26,185,1.0,0.7307692307692307,0.7567567567567568,1.0,0.7666666666666666,0.7655011655011655,1.0,0.7167919799498748,0.7317688230147702,0.2432432432432432,0.5869565217391305,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.1,23,510,46,30,16,26,185,1.0,0.7307692307692307,0.827027027027027,1.0,0.7666666666666666,0.8331002331002332,1.0,0.7126984126984127,0.8216385702699571,0.17297297297297298,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.2,3,70,46,30,16,26,185,0.8478260869565217,0.7692307692307693,0.6756756756756757,0.8627450980392156,0.7999999999999999,0.6904428904428905,0.8480286738351254,0.7712418300653594,0.6702976704055219,0.17215041128084607,0.7391304347826086,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.2,7,160,46,30,16,26,185,0.8913043478260869,0.8076923076923077,0.7783783783783784,0.9019607843137255,0.8333333333333334,0.786013986013986,0.8934766214177978,0.8010835913312694,0.7785602886595697,0.1129259694477085,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.2,11,90,46,30,16,26,185,0.9130434782608695,0.9615384615384616,0.8108108108108109,0.9215686274509803,0.9666666666666667,0.8186480186480187,0.9100218777638133,0.9568151147098516,0.8110099649840087,0.10223266745005866,0.6739130434782609,closer_to_0.5_is_more_invariant,three_class_with_air
DANN-semi,0.2,17,490,46,30,16,26,185,1.0,0.7307692307692307,0.7567567567567568,1.0,0.7666666666666666,0.7655011655011655,1.0,0.7167919799498748,0.73151193957115,0.2432432432432432,0.6521739130434783,closer_to_0.5_is_more_invariant,three_class_with_air
