split,description,task,model,test_batch,fit_scope,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,summary_selection_note
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,Logistic Regression,batch1,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.8928571428571429,,,,,0.8833333333333333,,,,,0.8913588318622643,,,,,one model selected once using the fixed validation partition; the same fitted estimators evaluate all test batches
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,Logistic Regression,batch2,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,84,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.7976190476190477,,,,,0.8114478114478114,,,,,0.8140798488069927,,,,,one model selected once using the fixed validation partition; the same fitted estimators evaluate all test batches
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,Logistic Regression,batch3,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,81,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.7283950617283951,,,,,0.7247311827956989,,,,,0.7176787176787177,,,,,one model selected once using the fixed validation partition; the same fitted estimators evaluate all test batches
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,Logistic Regression,batch4,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,46,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.8913043478260869,,,,,0.8869047619047619,,,,,0.8927327327327328,,,,,one model selected once using the fixed validation partition; the same fitted estimators evaluate all test batches
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Logistic Regression,batch5,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,34,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,0.9117647058823529,,,,,0.9111111111111111,,,,,0.9151160730108098,,,,,one model selected once using the fixed validation partition; the same fitted estimators evaluate all test batches
