split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1,fit_id
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,air,14,11,1.0,0.7857142857142857,0.88,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,alcohol,16,20,0.8,1.0,0.8888888888888888,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,acetone,16,15,1.0,0.9375,0.967741935483871,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,air,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,alcohol,12,15,0.8,1.0,0.8888888888888888,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,train,,acetone,12,9,1.0,0.75,0.8571428571428571,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,alcohol,2,3,0.6666666666666666,1.0,0.8,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,validation,,acetone,2,1,1.0,0.5,0.6666666666666666,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,air,10,8,0.875,0.7,0.7777777777777778,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,alcohol,12,18,0.6666666666666666,1.0,0.8,three_class_with_air|LDA|seed=deterministic
PB5_train_period_i_internal_val_test_batch5,three_class_with_air,LDA,test,,acetone,12,8,1.0,0.6666666666666666,0.8,three_class_with_air|LDA|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,air,6,6,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,alcohol,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,train,,acetone,12,12,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,air,1,1,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,alcohol,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,validation,,acetone,2,2,1.0,1.0,1.0,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,air,8,6,1.0,0.75,0.8571428571428571,three_class_with_air|Logistic Regression|seed=deterministic
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,Logistic Regression,test,,alcohol,10,13,0.7692307692307693,1.0,0.8695652173913043,three_class_with_air|Logistic Regression|seed=deterministic
