feature_space,sensor,p01,p99,total_points
s1_s2_s3,s1,-1.1308016877637144,19.527426160337555,135474
s1_s2_s3,s2,-2.383966244725741,30.080168776371295,135474
s1_s2_s3,s3,-1.9156118143459935,3.160337552742618,135474
s2_s3_s5,s2,-2.383966244725741,30.080168776371295,135474
s2_s3_s5,s3,-1.9156118143459935,3.160337552742618,135474
s2_s3_s5,s5,-1.2903375527426144,20.52320675105485,135474
