protocol,task,model,true_label,predicted_label,count
B_newdata_temporal,three_class,kNN,air,acetone,0
B_newdata_temporal,three_class,kNN,alcohol,air,0
B_newdata_temporal,three_class,kNN,alcohol,alcohol,20
B_newdata_temporal,three_class,kNN,alcohol,acetone,0
B_newdata_temporal,three_class,kNN,acetone,air,0
B_newdata_temporal,three_class,kNN,acetone,alcohol,2
B_newdata_temporal,three_class,kNN,acetone,acetone,18
B_newdata_temporal,three_class,Random Forest,air,air,24
B_newdata_temporal,three_class,Random Forest,air,alcohol,0
B_newdata_temporal,three_class,Random Forest,air,acetone,0
B_newdata_temporal,three_class,Random Forest,alcohol,air,2
B_newdata_temporal,three_class,Random Forest,alcohol,alcohol,18
B_newdata_temporal,three_class,Random Forest,alcohol,acetone,0
B_newdata_temporal,three_class,Random Forest,acetone,air,2
B_newdata_temporal,three_class,Random Forest,acetone,alcohol,5
B_newdata_temporal,three_class,Random Forest,acetone,acetone,13
B_newdata_temporal,three_class,RBF LS-SVM,air,air,24
B_newdata_temporal,three_class,RBF LS-SVM,air,alcohol,0
B_newdata_temporal,three_class,RBF LS-SVM,air,acetone,0
B_newdata_temporal,three_class,RBF LS-SVM,alcohol,air,0
B_newdata_temporal,three_class,RBF LS-SVM,alcohol,alcohol,20
B_newdata_temporal,three_class,RBF LS-SVM,alcohol,acetone,0
B_newdata_temporal,three_class,RBF LS-SVM,acetone,air,0
B_newdata_temporal,three_class,RBF LS-SVM,acetone,alcohol,0
B_newdata_temporal,three_class,RBF LS-SVM,acetone,acetone,20
B_newdata_temporal,binary_alcohol_acetone,LDA,alcohol,alcohol,19
B_newdata_temporal,binary_alcohol_acetone,LDA,alcohol,acetone,1
B_newdata_temporal,binary_alcohol_acetone,LDA,acetone,alcohol,0
B_newdata_temporal,binary_alcohol_acetone,LDA,acetone,acetone,20
B_newdata_temporal,binary_alcohol_acetone,Logistic Regression,alcohol,alcohol,20
B_newdata_temporal,binary_alcohol_acetone,Logistic Regression,alcohol,acetone,0
B_newdata_temporal,binary_alcohol_acetone,Logistic Regression,acetone,alcohol,0
B_newdata_temporal,binary_alcohol_acetone,Logistic Regression,acetone,acetone,20
B_newdata_temporal,binary_alcohol_acetone,kNN,alcohol,alcohol,20
B_newdata_temporal,binary_alcohol_acetone,kNN,alcohol,acetone,0
B_newdata_temporal,binary_alcohol_acetone,kNN,acetone,alcohol,2
B_newdata_temporal,binary_alcohol_acetone,kNN,acetone,acetone,18
B_newdata_temporal,binary_alcohol_acetone,Random Forest,alcohol,alcohol,20
B_newdata_temporal,binary_alcohol_acetone,Random Forest,alcohol,acetone,0
B_newdata_temporal,binary_alcohol_acetone,Random Forest,acetone,alcohol,7
B_newdata_temporal,binary_alcohol_acetone,Random Forest,acetone,acetone,13
B_newdata_temporal,binary_alcohol_acetone,RBF LS-SVM,alcohol,alcohol,20
B_newdata_temporal,binary_alcohol_acetone,RBF LS-SVM,alcohol,acetone,0
B_newdata_temporal,binary_alcohol_acetone,RBF LS-SVM,acetone,alcohol,0
B_newdata_temporal,binary_alcohol_acetone,RBF LS-SVM,acetone,acetone,20
C_recent_to_period3,three_class,LDA,air,air,6
C_recent_to_period3,three_class,LDA,air,alcohol,0
C_recent_to_period3,three_class,LDA,air,acetone,0
C_recent_to_period3,three_class,LDA,alcohol,air,0
C_recent_to_period3,three_class,LDA,alcohol,alcohol,7
C_recent_to_period3,three_class,LDA,alcohol,acetone,0
C_recent_to_period3,three_class,LDA,acetone,air,0
C_recent_to_period3,three_class,LDA,acetone,alcohol,0
C_recent_to_period3,three_class,LDA,acetone,acetone,7
C_recent_to_period3,three_class,Logistic Regression,air,air,6
C_recent_to_period3,three_class,Logistic Regression,air,alcohol,0
C_recent_to_period3,three_class,Logistic Regression,air,acetone,0
C_recent_to_period3,three_class,Logistic Regression,alcohol,air,0
C_recent_to_period3,three_class,Logistic Regression,alcohol,alcohol,7
C_recent_to_period3,three_class,Logistic Regression,alcohol,acetone,0
C_recent_to_period3,three_class,Logistic Regression,acetone,air,0
C_recent_to_period3,three_class,Logistic Regression,acetone,alcohol,0
C_recent_to_period3,three_class,Logistic Regression,acetone,acetone,7
C_recent_to_period3,three_class,kNN,air,air,6
C_recent_to_period3,three_class,kNN,air,alcohol,0
C_recent_to_period3,three_class,kNN,air,acetone,0
C_recent_to_period3,three_class,kNN,alcohol,air,0
C_recent_to_period3,three_class,kNN,alcohol,alcohol,7
C_recent_to_period3,three_class,kNN,alcohol,acetone,0
C_recent_to_period3,three_class,kNN,acetone,air,0
C_recent_to_period3,three_class,kNN,acetone,alcohol,0
C_recent_to_period3,three_class,kNN,acetone,acetone,7
C_recent_to_period3,three_class,Random Forest,air,air,6
C_recent_to_period3,three_class,Random Forest,air,alcohol,0
C_recent_to_period3,three_class,Random Forest,air,acetone,0
C_recent_to_period3,three_class,Random Forest,alcohol,air,0
C_recent_to_period3,three_class,Random Forest,alcohol,alcohol,7
C_recent_to_period3,three_class,Random Forest,alcohol,acetone,0
C_recent_to_period3,three_class,Random Forest,acetone,air,0
C_recent_to_period3,three_class,Random Forest,acetone,alcohol,0
C_recent_to_period3,three_class,Random Forest,acetone,acetone,7
C_recent_to_period3,three_class,RBF LS-SVM,air,air,6
C_recent_to_period3,three_class,RBF LS-SVM,air,alcohol,0
C_recent_to_period3,three_class,RBF LS-SVM,air,acetone,0
C_recent_to_period3,three_class,RBF LS-SVM,alcohol,air,0
