representation,gas,n_days,linear_drift_speed_per_day,first_to_last_distance,mean_step_distance
raw6_post60_centroid_zscore,alcohol,16,0.09822731426231232,3.849737755636646,1.3095117743630822
raw6_post60_centroid_zscore,acetone,16,0.16653854019744968,5.008201993774016,1.3621273979803583
raw6_post60_centroid_zscore,air,17,0.021026105702894617,0.882491463064744,0.7738530257987575
uci48_features_zscore,alcohol,16,0.1994493089921166,5.462530608069158,4.051041841570354
uci48_features_zscore,acetone,16,0.405548724086444,11.61637711189004,5.109922224700489
uci48_features_zscore,air,17,0.1015225829886363,3.2269151261717797,3.080225278018804
