sample_id,label,target_file,period,day,day_num,day_label,batch,source_kind,s1_exp_mean,s1_exp_absmax,s1_exp_span,s1_exp_tail,s1_exp_auc_abs,s1_rec_mean,s1_rec_tail,s1_rec_slope,s1_overall_std,s2_exp_mean,s2_exp_absmax,s2_exp_span,s2_exp_tail,s2_exp_auc_abs,s2_rec_mean,s2_rec_tail,s2_rec_slope,s2_overall_std,s3_exp_mean,s3_exp_absmax,s3_exp_span,s3_exp_tail,s3_exp_auc_abs,s3_rec_mean,s3_rec_tail,s3_rec_slope,s3_overall_std,s4_exp_mean,s4_exp_absmax,s4_exp_span,s4_exp_tail,s4_exp_auc_abs,s4_rec_mean,s4_rec_tail,s4_rec_slope,s4_overall_std,s5_exp_mean,s5_exp_absmax,s5_exp_span,s5_exp_tail,s5_exp_auc_abs,s5_rec_mean,s5_rec_tail,s5_rec_slope,s5_overall_std,s6_exp_mean,s6_exp_absmax,s6_exp_span,s6_exp_tail,s6_exp_auc_abs,s6_rec_mean,s6_rec_tail,s6_rec_slope,s6_overall_std
acetone_1,acetone,acetone\acetone_1.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.5502109704641349,0.9,0.9,0.43666666666666676,0.5502109704641349,0.17367346938775513,0.09112903225806449,-0.005615447021536051,0.25926941919640273,0.20268709749056182,0.2894736842105263,0.2894736842105263,0.16605263157894737,0.20268709749056182,0.06438238453276046,0.03259762308998302,-0.0021248334591545417,0.09523044856647611,0.01208166260450245,0.024844720496894408,0.03105590062111801,0.006935817805383021,0.01255339780381057,0.004461908987197363,0.004908835904628332,2.6903110260346907e-05,0.009158340735733957,0.18743199851391876,0.27044025157232704,0.27672955974842767,0.1781970649895178,0.1876973701669188,0.08276216146836092,0.04311219314262529,-0.002269179959561202,0.08824333600409892,0.6339662447257385,1.15,1.2,0.43416666666666665,0.6348101265822785,0.13142857142857142,0.040322580645161275,-0.006522319951759087,0.3270382631213775,0.0770042194092827,0.08333333333333333,0.08333333333333333,0.0833333333333333,0.0770042194092827,0.08333333333333333,0.0833333333333333,0.0,0.039867494598968364
acetone_2,acetone,acetone\acetone_2.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.5812600029099374,0.9655172413793104,1.0,0.5781609195402297,0.5841699403462827,0.10584095707248416,0.001668520578420467,-0.006465901929223651,0.29208604863898846,0.20677006120044097,0.3153153153153153,0.31981981981981983,0.20375375375375374,0.2072262135553275,0.043151314579886,0.005521650682941006,-0.0024910539328028215,0.10128340170745627,0.010049453291592939,0.016129032258064516,0.026881720430107527,0.010215053763440863,0.010639263191325255,-0.0014483212639894668,-0.005289628858827611,-0.00020830460230179414,0.0068391159049134105,0.19605183845690172,0.27040816326530615,0.2806122448979592,0.19158163265306122,0.19682683199862222,0.05243648479800083,0.009381171823568133,-0.002497142927414954,0.09315578695448323,0.7266911664625018,1.7096774193548387,1.7419354838709677,0.5403225806451613,0.7296855859534503,0.05780118499012507,-0.027575442247658687,-0.005413912081232159,0.3913256284578983,0.06945796819214536,0.07692307692307693,0.07692307692307693,0.07564102564102564,0.06945796819214536,0.013186813186813189,0.0024813895781637717,-0.0007008118593014045,0.036896746549116205
acetone_3,acetone,acetone\acetone_3.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.4049177942674232,0.8275862068965517,0.8275862068965517,0.2712643678160919,0.4049177942674232,0.053342716396903585,0.0339265850945495,-0.0014223119395236116,0.2057512962464233,0.1487010652589355,0.2645739910313901,0.2645739910313901,0.10104633781763826,0.1487010652589355,0.016363137183124373,0.00882395486764068,-0.0005541991019869834,0.0749099258257451,0.012317952905948002,0.021505376344086023,0.021505376344086023,0.008602150537634409,0.012317952905948002,0.0021285933728330043,0.00043357613596947626,-0.00010142563433153128,0.006145310592673468,0.17239606759622178,0.2436548223350254,0.24873096446700507,0.1587986463620981,0.17265308745100558,0.041520770744846155,0.018012117242508594,-0.0013896635366712074,0.08153886660042627,0.6556417585409012,1.3225806451612903,1.3548387096774193,0.42043010752688165,0.6580917381244047,0.04279131007241606,0.0,-0.0026783405547347104,0.3465553040431226,0.07432651736449203,0.07692307692307693,0.07692307692307693,0.07692307692307691,0.07432651736449203,0.07566718995290421,0.07568238213399503,-5.697802846923756e-05,0.03125572089010708
acetone_4,acetone,acetone\acetone_4.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.3978902953586497,0.6333333333333333,0.6666666666666666,0.34166666666666673,0.4012658227848101,0.06326530612244899,0.007526881720430108,-0.003273110607489127,0.19915257890073906,0.1493295827473043,0.2088888888888889,0.21333333333333335,0.12903703703703703,0.14977965307079233,0.025741496598639457,0.007741935483870967,-0.001236735313643619,0.07218893231901458,0.008303436449378369,0.016042780748663103,0.021390374331550804,0.005525846702317291,0.00834856382138586,0.0007639419404125286,0.00043125754700707255,-4.057357904300051e-05,0.004655236675554123,0.1338035560593656,0.1791044776119403,0.18407960199004975,0.12786069651741291,0.13405546109116864,0.03602396182353538,0.01243781094527363,-0.0013929130092097401,0.06310274422782122,0.5291955900367498,0.9032258064516129,0.9032258064516129,0.36075268817204303,0.5291955900367498,0.07175773535220538,0.0218522372528616,-0.003449054399242933,0.2647284771308583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037619901110195696
acetone_5,acetone,acetone\acetone_5.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.2777138473341005,0.7272727272727273,0.7272727272727273,0.23030303030303034,0.2777138473341005,0.0784168212739641,0.03470185728250244,-0.002640302423226601,0.14233667262448485,0.09933643477947274,0.2094017094017094,0.2094017094017094,0.08076923076923075,0.09933643477947274,0.02525728240013955,0.011924455472842562,-0.0009404533028113868,0.05150040784712387,0.010840636157091852,0.02564102564102564,0.02564102564102564,0.013675213675213672,0.010840636157091852,0.006384092098377811,0.0051282051282051265,-9.434107737419862e-05,0.005217134811120448,0.06873733712522538,0.1277533039647577,0.13215859030837004,0.06057268722466961,0.06892321418613728,0.027204890766879444,0.016342191274690922,-0.0006921410279214275,0.033875010033353345,0.238285587386187,1.2105263157894737,1.2105263157894737,0.1517543859649123,0.238285587386187,0.05005370569280344,0.025466893039049244,-0.0018748720953412775,0.16216192895097037,0.05344585091420533,0.06666666666666667,0.06666666666666667,0.055555555555555566,0.05344585091420533,0.050340136054421766,0.04731182795698926,-0.00030870505124282844,0.03221103640344368
acetone_10,acetone,acetone\acetone_10.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.3605063291139241,0.84,0.88,0.18799999999999997,0.3621940928270043,0.04587755102040817,-0.0012903225806451613,-0.0029264400530313525,0.20667684480078166,0.125919228450874,0.2619047619047619,0.26666666666666666,0.06460317460317462,0.1264014466546112,0.015996112730806606,-0.0026881720430107538,-0.0011229766378900682,0.07137386796140804,-0.0021217600964436407,0.017142857142857144,0.028571428571428574,-0.008952380952380953,0.006027727546714889,-0.010635568513119531,-0.011889400921658987,-5.490762628709462e-05,0.006378716617822625,0.08664858348402651,0.16326530612244897,0.1683673469387755,0.04923469387755102,0.08677774907431327,0.006851311953352772,-0.011273864384463463,-0.0009691396985373091,0.04733068132801702,0.33771502758844535,1.1923076923076923,1.2307692307692308,0.11282051282051282,0.33836416747809156,0.012715855572998428,-0.030397022332506213,-0.0023612102293975533,0.2327983916592218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003105646964991716
acetone_6,acetone,acetone\acetone_6.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.16130198915009042,0.4,0.4,0.1295238095238095,0.16130198915009042,0.04618075801749272,0.02718894009216589,-0.0011256682577282116,0.08996160663389079,0.059674502712477394,0.12605042016806722,0.12605042016806722,0.0472689075630252,0.059674502712477394,0.0197564740181787,0.012605042016806718,-0.00039533861056866395,0.03177269588381979,0.001748977941015719,0.010362694300518135,0.015544041450777202,0.0021588946459412785,0.002142497977744256,0.00613302315744951,0.0026742436904562926,-0.00011802020210288405,0.0043890242056222085,0.04559859473750929,0.08583690987124463,0.08583690987124463,0.04270386266094421,0.04559859473750929,0.02725759831829728,0.02049010106603904,-0.0003712587506031458,0.023923252151568826,0.17242559014710915,0.5405405405405406,0.5405405405405406,0.11576576576576576,0.17242559014710915,0.056922228350799776,0.03443766346992154,-0.0011482911314105058,0.09720514861885611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetone_7,acetone,acetone\acetone_7.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.2157013169671397,0.36363636363636365,0.36363636363636365,0.18131313131313134,0.2157013169671397,0.10030921459492886,0.0606060606060606,-0.0019365304682938747,0.10005791441484248,0.07858649789029536,0.1206896551724138,0.1163793103448276,0.0651580459770115,0.07858649789029536,0.03933849401829698,0.024054505005561746,-0.0007021154677604744,0.03541867991498443,0.005669831223628692,0.010416666666666666,0.015625,0.005295138888888887,0.005933544303797469,0.005314625850340136,0.0021841397849462364,-0.00013846012975761356,0.0039802210435142945,0.060898884870403854,0.08035714285714286,0.08035714285714286,0.060565476190476183,0.060898884870403854,0.04396865889212828,0.02923387096774193,-0.000616159036721949,0.028336498734704913,0.22187060478199722,0.6111111111111112,0.6111111111111112,0.1550925925925926,0.22187060478199722,0.09807256235827666,0.05421146953405017,-0.0021463017849667134,0.11510817563712007,-0.0013185654008438818,0.0625,0.0625,-0.0010416666666666667,0.0013185654008438818,-0.0007653061224489796,-0.0010080645161290322,-3.0594067311024625e-05,0.011881904467901097
acetone_8,acetone,acetone\acetone_8.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.2097649186256781,0.4,0.4285714285714286,0.1276190476190476,0.2100060277275467,0.047113702623906704,0.028110599078341007,-0.0014111775216689127,0.10620390166018684,0.0739814913307095,0.12605042016806722,0.12605042016806722,0.044187675070028,0.0739814913307095,0.016892471274223976,0.009487666034155592,-0.0005037075492127794,0.03711357246889252,0.006930325091274787,0.010362694300518135,0.010362694300518135,0.00535405872193437,0.006930325091274787,0.007063550808924607,0.009777703493230825,7.718950180509175e-05,0.004061427075918737,0.05266923500275179,0.09130434782608696,0.09130434782608696,0.04,0.05266923500275179,0.018562555456965394,0.011290322580645159,-0.0004487410557311073,0.0250602719705895,0.18298911836553408,0.5789473684210527,0.6052631578947368,0.10438596491228072,0.18321119253830778,0.022341568206229852,0.0008488964346349745,-0.0012463792419584317,0.10741750805755691,0.0,0.0,0.0,0.0,0.0,-0.0007653061224489796,0.0,8.453933962508707e-06,0.006136774198443252
acetone_9,acetone,acetone\acetone_9.csv,Period_II,Day 2,2,Period II Day 2,batch1,new,0.3043600562587904,0.5,0.5333333333333333,0.28,0.30773558368495074,0.05170068027210886,-0.019892473118279578,-0.004142039561030655,0.1586658162840973,0.11360094271486679,0.18018018018018017,0.18468468468468469,0.10360360360360357,0.11363895541110731,0.02217319360176503,-0.0027608253414705035,-0.0014810518630906332,0.055842173614054594,0.003010605542251112,0.010810810810810811,0.016216216216216217,0.0012612612612612614,0.00369483407458091,-0.004765581908439052,-0.009503051438535309,-0.00013063267338345232,0.00584948619061391,0.07377938517179022,0.10952380952380952,0.11904761904761904,0.07238095238095237,0.07418123367490456,0.01576287657920311,-0.007910906298003072,-0.0011939280525488341,0.03738938055860206,0.3288417040969102,0.6774193548387096,0.7096774193548386,0.29247311827957,0.3291139240506328,0.04805793285055956,-0.024973985431841827,-0.004219705362683126,0.17157070215375586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024845175719933723
air_1,air,air\air_1.csv,Period_II,Day 1,1,Period II Day 1,batch1,new,0.014226437462951979,0.03571428571428571,0.03571428571428571,0.028630460448642255,0.014226437462951979,0.025958994708994702,0.029761904761904767,0.0002760115601434338,0.01694381504774357,0.003942847486904113,0.00904977375565611,0.013574660633484163,0.007666130660783066,0.003999173879574171,0.006514999162057985,0.008547008547008548,9.640320633164625e-05,0.003532905162506045,-0.000504654031624986,0.005405405405405406,0.010810810810810811,0.0014295287022559752,0.0012448132780082989,0.0008008008008008008,0.002802802802802803,6.477642114749554e-05,0.0030525465646309416,0.0038301947015639964,0.015384615384615385,0.020512820512820513,0.009663064208518753,0.005213320566017661,0.008357075023741691,0.009021842355175688,9.63513771362766e-05,0.005487297000200855,-0.004818632043903091,0.03225806451612903,0.06451612903225806,0.0021327645961077045,0.006023290054878863,0.0013440860215053762,0.0029868578255675027,7.3599283850819e-05,0.013913415015876304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004958438098323085
