samples_per_class,repeat,model,accuracy,train_files,test_n
1,14,kNN,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,Random Forest,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,14,RBF LS-SVM,0.5,alcohol_o8.csv;acetone_o7.csv,14
1,15,LDA,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,Logistic Regression,0.42857142857142855,alcohol_o8.csv;acetone_o9.csv,14
1,15,kNN,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,Random Forest,0.5,alcohol_o8.csv;acetone_o9.csv,14
1,15,RBF LS-SVM,0.42857142857142855,alcohol_o8.csv;acetone_o9.csv,14
1,16,LDA,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,Logistic Regression,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,kNN,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,16,Random Forest,0.8571428571428571,alcohol_o7.csv;acetone_o10.csv,14
1,16,RBF LS-SVM,0.5,alcohol_o7.csv;acetone_o10.csv,14
1,17,LDA,0.5,alcohol_o5.csv;acetone_o6.csv,14
1,17,Logistic Regression,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,17,kNN,0.5,alcohol_o5.csv;acetone_o6.csv,14
1,17,Random Forest,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,17,RBF LS-SVM,0.5714285714285714,alcohol_o5.csv;acetone_o6.csv,14
1,18,LDA,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,18,Logistic Regression,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
1,18,kNN,0.5,alcohol_o9.csv;acetone_o6.csv,14
1,18,Random Forest,0.6428571428571429,alcohol_o9.csv;acetone_o6.csv,14
1,18,RBF LS-SVM,0.5714285714285714,alcohol_o9.csv;acetone_o6.csv,14
1,19,LDA,0.5,alcohol_o4.csv;acetone_o9.csv,14
1,19,Logistic Regression,0.6428571428571429,alcohol_o4.csv;acetone_o9.csv,14
1,19,kNN,0.5,alcohol_o4.csv;acetone_o9.csv,14
1,19,Random Forest,0.7142857142857143,alcohol_o4.csv;acetone_o9.csv,14
1,19,RBF LS-SVM,0.6428571428571429,alcohol_o4.csv;acetone_o9.csv,14
1,20,LDA,0.5,alcohol_o11.csv;acetone_o9.csv,14
1,20,Logistic Regression,0.6428571428571429,alcohol_o11.csv;acetone_o9.csv,14
1,20,kNN,0.5,alcohol_o11.csv;acetone_o9.csv,14
1,20,Random Forest,0.6428571428571429,alcohol_o11.csv;acetone_o9.csv,14
1,20,RBF LS-SVM,0.6428571428571429,alcohol_o11.csv;acetone_o9.csv,14
1,21,LDA,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,21,Logistic Regression,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,21,kNN,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,21,Random Forest,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,21,RBF LS-SVM,0.5,alcohol_o2.csv;acetone_o10.csv,14
1,22,LDA,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,22,Logistic Regression,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,22,kNN,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,22,Random Forest,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,22,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o10.csv,14
1,23,LDA,0.5,alcohol_o12.csv;acetone_o12.csv,14
1,23,Logistic Regression,0.5,alcohol_o12.csv;acetone_o12.csv,14
1,23,kNN,0.5,alcohol_o12.csv;acetone_o12.csv,14
1,23,Random Forest,0.5,alcohol_o12.csv;acetone_o12.csv,14
1,23,RBF LS-SVM,0.5,alcohol_o12.csv;acetone_o12.csv,14
1,24,LDA,0.5,alcohol_o9.csv;acetone_o12.csv,14
1,24,Logistic Regression,0.5714285714285714,alcohol_o9.csv;acetone_o12.csv,14
1,24,kNN,0.5,alcohol_o9.csv;acetone_o12.csv,14
1,24,Random Forest,0.5714285714285714,alcohol_o9.csv;acetone_o12.csv,14
1,24,RBF LS-SVM,0.5714285714285714,alcohol_o9.csv;acetone_o12.csv,14
1,25,LDA,0.5,alcohol_o12.csv;acetone_o11.csv,14
1,25,Logistic Regression,0.5714285714285714,alcohol_o12.csv;acetone_o11.csv,14
1,25,kNN,0.5,alcohol_o12.csv;acetone_o11.csv,14
1,25,Random Forest,0.5714285714285714,alcohol_o12.csv;acetone_o11.csv,14
1,25,RBF LS-SVM,0.5714285714285714,alcohol_o12.csv;acetone_o11.csv,14
1,26,LDA,0.5,alcohol_o3.csv;acetone_o11.csv,14
1,26,Logistic Regression,0.5,alcohol_o3.csv;acetone_o11.csv,14
1,26,kNN,0.5,alcohol_o3.csv;acetone_o11.csv,14
1,26,Random Forest,0.5,alcohol_o3.csv;acetone_o11.csv,14
1,26,RBF LS-SVM,0.5,alcohol_o3.csv;acetone_o11.csv,14
1,27,LDA,0.5,alcohol_o7.csv;acetone_o4.csv,14
1,27,Logistic Regression,0.5,alcohol_o7.csv;acetone_o4.csv,14
