feature_space,sensors,unit,accuracy,balanced_accuracy,alcohol_total_groups,acetone_total_groups,alcohol_correct_groups,acetone_correct_groups,alcohol_as_acetone_groups,acetone_as_alcohol_groups,alcohol_recall,acetone_recall,method
s1_s2_s3,S1/S2/S3,one post-60s centroid per CSV trial/group,0.952054794520548,0.952054794520548,73,73,71,68,2,5,0.9726027397260274,0.9315068493150684,regularized Fisher LDA hyperplane fitted on post-60s group centroids
s2_s3_s5,S2/S3/S5,one post-60s centroid per CSV trial/group,0.9794520547945206,0.9794520547945205,73,73,72,71,1,2,0.9863013698630136,0.9726027397260274,regularized Fisher LDA hyperplane fitted on post-60s group centroids
