split,description,task,model,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,RBF SVM,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,273,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.684981684981685,,,,,0.6962448559670782,,,,,0.6943007031421665,,,,
S2_train_I_internal_val_test_all,Train 25 and validate 5 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,273,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.7575091575091576,0.0012840639214265607,0.03583383765976735,0.7289377289377289,0.7985347985347986,0.761522633744856,0.0012123439061203379,0.0348187292433302,0.7334104938271605,0.8019547325102879,0.7605783064535241,0.001289122573646932,0.03590435312948741,0.7253392916252897,0.7993324989570295
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,LDA,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.8666666666666667,,,,,0.8611111111111112,,,,,0.8597883597883599,,,,,0.8,,,,,0.8333333333333334,,,,,0.7851851851851852,,,,,0.7435897435897436,,,,,0.7415123456790124,,,,,0.7386251652787162,,,,
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Logistic Regression,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.8666666666666667,,,,,0.8888888888888888,,,,,0.863997113997114,,,,,0.7,,,,,0.6666666666666666,,,,,0.6555555555555556,,,,,0.8461538461538461,,,,,0.8458076131687243,,,,,0.8494322444247425,,,,
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,kNN,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,n_neighbors=7,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,0.7333333333333333,,,,,0.6944444444444443,,,,,0.7068418171866447,,,,,0.7,,,,,0.6666666666666666,,,,,0.6555555555555556,,,,,0.663003663003663,,,,,0.6676954732510288,,,,,0.6590358399190824,,,,
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,Random Forest,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,0.9200000000000002,0.00033333333333333316,0.018257418583505533,0.9,0.9333333333333333,0.9333333333333333,0.00023148148148148355,0.015214515486254682,0.9166666666666666,0.9444444444444445,0.9325711325711327,0.00024731417782810836,0.015726225797314128,0.9153439153439153,0.9440559440559441,0.7,0.0,0.0,0.7,0.7,0.75,0.0,0.0,0.75,0.75,0.6944444444444443,0.0,0.0,0.6944444444444443,0.6944444444444443,0.9032967032967033,0.0001180748433495685,0.01086622488951745,0.8901098901098901,0.9194139194139194,0.9083333333333334,0.00010609567901234615,0.010300275676521777,0.8958333333333334,0.9236111111111112,0.9082599378056295,0.00010562105440944154,0.010277210439094917,0.8958333333333334,0.923577941815024
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,RBF SVM,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,20,10,273,1.0,,,,,1.0,,,,,1.0,,,,,0.7,,,,,0.6666666666666666,,,,,0.6666666666666666,,,,,0.8205128205128205,,,,,0.8227880658436213,,,,,0.8269629313107574,,,,
S3_train_I_internal_20_10_test_all,Train 20 and validate 10 fixed Period I samples; test every current later-day sample.,three_class_with_air,MLP,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,20,10,273,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.62,0.001999999999999999,0.04472135954999579,0.6,0.7,0.6000000000000001,0.0013888888888888866,0.03726779962499646,0.5833333333333334,0.6666666666666666,0.5894179894179894,0.0012181209932532679,0.03490159012499671,0.5738095238095238,0.6518518518518518,0.7575091575091576,0.0012840639214265607,0.03583383765976735,0.7289377289377289,0.7985347985347986,0.761522633744856,0.0012123439061203379,0.0348187292433302,0.7334104938271605,0.8019547325102879,0.7605783064535241,0.001289122573646932,0.03590435312948741,0.7253392916252897,0.7993324989570295
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,LDA,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,shrinkage=0.5,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,0.9310344827586207,,,,,0.9393939393939394,,,,,0.9282001764299168,,,,,0.8571428571428571,,,,,0.85,,,,,0.8515037593984962,,,,,0.8816326530612245,,,,,0.8841456939577359,,,,,0.880205981382452,,,,
S4_train_I_val_D1_2,Train Period I; validate target Day1-Day2; test every target sample from Day3 onward.,three_class_with_air,Logistic Regression,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=10.0,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,58,30,28,245,1.0,,,,,1.0,,,,,1.0,,,,,0.8928571428571429,,,,,0.8833333333333333,,,,,0.8913588318622643,,,,,0.9183673469387755,,,,,0.9197196559413826,,,,,0.9217000722282412,,,,
