epoch,L,Ld,backward_loss_scalar,class_loss,domain_loss,total_loss,effective_feature_objective,train_accuracy,validation_accuracy,test_accuracy,domain_discriminator_accuracy,domain_discriminator_balanced_accuracy,domain_majority_baseline,split,task,variant,architecture,lambda,seed,seed_values
70,0.0022647592704743147,0.0,0.0022647592704743147,0.0022647592704743147,0.0,0.0022647592704743147,0.0022647592704743147,1.0,,0.7692307692307693,0.3795379537953795,0.5073260073260073,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
75,0.002723399316892028,0.0,0.002723399316892028,0.002723399316892028,0.0,0.002723399316892028,0.002723399316892028,1.0,,0.7692307692307693,0.36633663366336633,0.5148351648351648,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
80,0.002038840437307954,0.0,0.002038840437307954,0.002038840437307954,0.0,0.002038840437307954,0.002038840437307954,1.0,,0.7692307692307693,0.3696369636963696,0.5166666666666666,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
85,0.0010452157584950328,0.0,0.0010452157584950328,0.0010452157584950328,0.0,0.0010452157584950328,0.0010452157584950328,1.0,,0.7509157509157509,0.32673267326732675,0.4928571428571428,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
90,0.0015585820656269789,0.0,0.0015585820656269789,0.0015585820656269789,0.0,0.0015585820656269789,0.0015585820656269789,1.0,,0.7289377289377289,0.3102310231023102,0.48369963369963365,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
95,0.0020809669513255358,0.0,0.0020809669513255358,0.0020809669513255358,0.0,0.0020809669513255358,0.0020809669513255358,1.0,,0.7582417582417582,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
100,0.0009038225980475545,0.0,0.0009038225980475545,0.0009038225980475545,0.0,0.0009038225980475545,0.0009038225980475545,1.0,,0.7728937728937729,0.34983498349834985,0.5056776556776557,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
105,0.010309543460607529,0.0,0.010309543460607529,0.010309543460607529,0.0,0.010309543460607529,0.010309543460607529,1.0,,0.7728937728937729,0.35973597359735976,0.5111721611721611,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
110,0.00705833500251174,0.0,0.00705833500251174,0.00705833500251174,0.0,0.00705833500251174,0.00705833500251174,1.0,,0.7655677655677655,0.35973597359735976,0.5111721611721611,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
115,0.00789391715079546,0.0,0.00789391715079546,0.00789391715079546,0.0,0.00789391715079546,0.00789391715079546,1.0,,0.7472527472527473,0.3432343234323432,0.502014652014652,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
120,0.0009878441924229264,0.0,0.0009878441924229264,0.0009878441924229264,0.0,0.0009878441924229264,0.0009878441924229264,1.0,,0.7472527472527473,0.32673267326732675,0.5076923076923077,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
125,0.0019817990250885487,0.0,0.0019817990250885487,0.0019817990250885487,0.0,0.0019817990250885487,0.0019817990250885487,1.0,,0.7472527472527473,0.32673267326732675,0.5225274725274726,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
130,0.03201952949166298,0.0,0.03201952949166298,0.03201952949166298,0.0,0.03201952949166298,0.03201952949166298,1.0,,0.7765567765567766,0.37293729372937295,0.5184981684981684,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
135,0.00852359738200903,0.0,0.00852359738200903,0.00852359738200903,0.0,0.00852359738200903,0.00852359738200903,1.0,,0.7838827838827839,0.33003300330033003,0.4946886446886447,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
140,0.00035606074379757047,0.0,0.00035606074379757047,0.00035606074379757047,0.0,0.00035606074379757047,0.00035606074379757047,1.0,,0.7655677655677655,0.31683168316831684,0.48736263736263735,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
145,0.0024899609852582216,0.0,0.0024899609852582216,0.0024899609852582216,0.0,0.0024899609852582216,0.0024899609852582216,1.0,,0.7619047619047619,0.3102310231023102,0.48369963369963365,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
150,0.0004844186478294432,0.0,0.0004844186478294432,0.0004844186478294432,0.0,0.0004844186478294432,0.0004844186478294432,1.0,,0.7619047619047619,0.32673267326732675,0.4928571428571428,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
155,0.0006798732792958617,0.0,0.0006798732792958617,0.0006798732792958617,0.0,0.0006798732792958617,0.0006798732792958617,1.0,,0.7655677655677655,0.33003300330033003,0.4946886446886447,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
160,0.000613354379311204,0.0,0.000613354379311204,0.000613354379311204,0.0,0.000613354379311204,0.000613354379311204,1.0,,0.7509157509157509,0.33003300330033003,0.4946886446886447,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
165,0.0002908407768700272,0.0,0.0002908407768700272,0.0002908407768700272,0.0,0.0002908407768700272,0.0002908407768700272,1.0,,0.7545787545787546,0.3333333333333333,0.49652014652014653,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
170,8.380961662624031e-05,0.0,8.380961662624031e-05,8.380961662624031e-05,0.0,8.380961662624031e-05,8.380961662624031e-05,1.0,,0.7582417582417582,0.3333333333333333,0.49652014652014653,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
175,0.0003031777741853148,0.0,0.0003031777741853148,0.0003031777741853148,0.0,0.0003031777741853148,0.0003031777741853148,1.0,,0.7619047619047619,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
180,0.00010761329758679494,0.0,0.00010761329758679494,0.00010761329758679494,0.0,0.00010761329758679494,0.00010761329758679494,1.0,,0.7655677655677655,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
185,0.00015656926552765071,0.0,0.00015656926552765071,0.00015656926552765071,0.0,0.00015656926552765071,0.00015656926552765071,1.0,,0.7765567765567766,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
190,0.0007112736930139363,0.0,0.0007112736930139363,0.0007112736930139363,0.0,0.0007112736930139363,0.0007112736930139363,1.0,,0.7765567765567766,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
195,0.00042072928044945,0.0,0.00042072928044945,0.00042072928044945,0.0,0.00042072928044945,0.00042072928044945,1.0,,0.7728937728937729,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
200,0.0002635418204590678,0.0,0.0002635418204590678,0.0002635418204590678,0.0,0.0002635418204590678,0.0002635418204590678,1.0,,0.7765567765567766,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
205,0.0003642146766651422,0.0,0.0003642146766651422,0.0003642146766651422,0.0,0.0003642146766651422,0.0003642146766651422,1.0,,0.7765567765567766,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
210,0.00011097230890300125,0.0,0.00011097230890300125,0.00011097230890300125,0.0,0.00011097230890300125,0.00011097230890300125,1.0,,0.7765567765567766,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
215,0.00023319439787883312,0.0,0.00023319439787883312,0.00023319439787883312,0.0,0.00023319439787883312,0.00023319439787883312,1.0,,0.7765567765567766,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
220,9.25309068406932e-05,0.0,9.25309068406932e-05,9.25309068406932e-05,0.0,9.25309068406932e-05,9.25309068406932e-05,1.0,,0.7728937728937729,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
225,0.00016345654148608446,0.0,0.00016345654148608446,0.00016345654148608446,0.0,0.00016345654148608446,0.00016345654148608446,1.0,,0.7838827838827839,0.3432343234323432,0.502014652014652,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
230,0.0001049830243573524,0.0,0.0001049830243573524,0.0001049830243573524,0.0,0.0001049830243573524,0.0001049830243573524,1.0,,0.7692307692307693,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
235,4.035656456835568e-05,0.0,4.035656456835568e-05,4.035656456835568e-05,0.0,4.035656456835568e-05,4.035656456835568e-05,1.0,,0.7655677655677655,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
240,8.623223402537405e-05,0.0,8.623223402537405e-05,8.623223402537405e-05,0.0,8.623223402537405e-05,8.623223402537405e-05,1.0,,0.7728937728937729,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
245,0.0012788401218131185,0.0,0.0012788401218131185,0.0012788401218131185,0.0,0.0012788401218131185,0.0012788401218131185,1.0,,0.7692307692307693,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
250,0.00041943087126128376,0.0,0.00041943087126128376,0.00041943087126128376,0.0,0.00041943087126128376,0.00041943087126128376,1.0,,0.7692307692307693,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
255,0.001474903547205031,0.0,0.001474903547205031,0.001474903547205031,0.0,0.001474903547205031,0.001474903547205031,1.0,,0.7692307692307693,0.33993399339933994,0.5001831501831502,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
260,0.00015676222392357886,0.0,0.00015676222392357886,0.00015676222392357886,0.0,0.00015676222392357886,0.00015676222392357886,1.0,,0.7728937728937729,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
265,0.0001478225167375058,0.0,0.0001478225167375058,0.0001478225167375058,0.0,0.0001478225167375058,0.0001478225167375058,1.0,,0.7655677655677655,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
270,0.0002611192758195102,0.0,0.0002611192758195102,0.0002611192758195102,0.0,0.0002611192758195102,0.0002611192758195102,1.0,,0.7655677655677655,0.33663366336633666,0.49835164835164836,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
275,8.275215077446774e-05,0.0,8.275215077446774e-05,8.275215077446774e-05,0.0,8.275215077446774e-05,8.275215077446774e-05,1.0,,0.7692307692307693,0.33993399339933994,0.515018315018315,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
280,0.0001650693448027596,0.0,0.0001650693448027596,0.0001650693448027596,0.0,0.0001650693448027596,0.0001650693448027596,1.0,,0.7692307692307693,0.33993399339933994,0.515018315018315,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
285,0.0003437082632444799,0.0,0.0003437082632444799,0.0003437082632444799,0.0,0.0003437082632444799,0.0003437082632444799,1.0,,0.7655677655677655,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
290,7.109984289854765e-05,0.0,7.109984289854765e-05,7.109984289854765e-05,0.0,7.109984289854765e-05,7.109984289854765e-05,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
295,8.102619176497683e-05,0.0,8.102619176497683e-05,8.102619176497683e-05,0.0,8.102619176497683e-05,8.102619176497683e-05,1.0,,0.7655677655677655,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
300,4.627435919246636e-05,0.0,4.627435919246636e-05,4.627435919246636e-05,0.0,4.627435919246636e-05,4.627435919246636e-05,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
305,0.00010830728569999337,0.0,0.00010830728569999337,0.00010830728569999337,0.0,0.00010830728569999337,0.00010830728569999337,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
310,0.0009324487182311714,0.0,0.0009324487182311714,0.0009324487182311714,0.0,0.0009324487182311714,0.0009324487182311714,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
315,0.0001123617184930481,0.0,0.0001123617184930481,0.0001123617184930481,0.0,0.0001123617184930481,0.0001123617184930481,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
320,0.00014432158786803484,0.0,0.00014432158786803484,0.00014432158786803484,0.0,0.00014432158786803484,0.00014432158786803484,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
325,8.511067426297814e-05,0.0,8.511067426297814e-05,8.511067426297814e-05,0.0,8.511067426297814e-05,8.511067426297814e-05,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
330,0.0001411396951880306,0.0,0.0001411396951880306,0.0001411396951880306,0.0,0.0001411396951880306,0.0001411396951880306,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
335,4.907819675281644e-05,0.0,4.907819675281644e-05,4.907819675281644e-05,0.0,4.907819675281644e-05,4.907819675281644e-05,1.0,,0.7655677655677655,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
340,3.433451274759136e-05,0.0,3.433451274759136e-05,3.433451274759136e-05,0.0,3.433451274759136e-05,3.433451274759136e-05,1.0,,0.7655677655677655,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
345,5.987950862618163e-05,0.0,5.987950862618163e-05,5.987950862618163e-05,0.0,5.987950862618163e-05,5.987950862618163e-05,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
350,7.51671614125371e-05,0.0,7.51671614125371e-05,7.51671614125371e-05,0.0,7.51671614125371e-05,7.51671614125371e-05,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
355,8.350858115591109e-05,0.0,8.350858115591109e-05,8.350858115591109e-05,0.0,8.350858115591109e-05,8.350858115591109e-05,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
360,3.954999192501418e-05,0.0,3.954999192501418e-05,3.954999192501418e-05,0.0,3.954999192501418e-05,3.954999192501418e-05,1.0,,0.7765567765567766,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
365,0.00010862426279345527,0.0,0.00010862426279345527,0.00010862426279345527,0.0,0.00010862426279345527,0.00010862426279345527,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
370,0.0003057429566979408,0.0,0.0003057429566979408,0.0003057429566979408,0.0,0.0003057429566979408,0.0003057429566979408,1.0,,0.7728937728937729,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
375,0.0007141339592635632,0.0,0.0007141339592635632,0.0007141339592635632,0.0,0.0007141339592635632,0.0007141339592635632,1.0,,0.7692307692307693,0.33663366336633666,0.5131868131868131,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
380,9.095211862586439e-05,0.0,9.095211862586439e-05,9.095211862586439e-05,0.0,9.095211862586439e-05,9.095211862586439e-05,1.0,,0.7692307692307693,0.33993399339933994,0.5298534798534799,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
385,0.00019507021352183074,0.0,0.00019507021352183074,0.00019507021352183074,0.0,0.00019507021352183074,0.00019507021352183074,1.0,,0.7838827838827839,0.35313531353135313,0.5371794871794873,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
390,0.002329763723537326,0.0,0.002329763723537326,0.002329763723537326,0.0,0.002329763723537326,0.002329763723537326,1.0,,0.7875457875457875,0.37623762376237624,0.5203296703296703,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
395,0.00017581558495294303,0.0,0.00017581558495294303,0.00017581558495294303,0.0,0.00017581558495294303,0.00017581558495294303,1.0,,0.7838827838827839,0.3927392739273927,0.5294871794871795,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
400,0.00015688312123529613,0.0,0.00015688312123529613,0.00015688312123529613,0.0,0.00015688312123529613,0.00015688312123529613,1.0,,0.7802197802197802,0.39933993399339934,0.5331501831501831,0.900990099009901,S1_train_I_test_all,three_class_with_air,MLP source only,Two-layer G_f: 54 -> 32 -> 16,0.0,0,"0,1,2,3,4"
1,1.116260290145874,0.6599915027618408,1.7762517929077148,1.116260290145874,0.6599915027618408,1.7762517929077148,0.9842619895935059,0.5666666666666667,,0.3882783882783883,0.900990099009901,0.5,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,Two-layer G_f: 54 -> 32 -> 16,0.2,0,"0,1,2,3,4"
5,0.8416318893432617,0.5548535585403442,1.396485447883606,0.8416318893432617,0.5548535585403442,1.396485447883606,0.7306611776351929,0.6,,0.608058608058608,0.900990099009901,0.5,0.900990099009901,S1_train_I_test_all,three_class_with_air,DANN-UDA,Two-layer G_f: 54 -> 32 -> 16,0.2,0,"0,1,2,3,4"
