period,day,day_num,label,file,s1_exp_mean,s1_exp_absmax,s1_exp_span,s1_exp_tail,s1_exp_auc_abs,s1_rec_mean,s1_rec_tail,s1_rec_slope,s1_overall_std,s2_exp_mean,s2_exp_absmax,s2_exp_span,s2_exp_tail,s2_exp_auc_abs,s2_rec_mean,s2_rec_tail,s2_rec_slope,s2_overall_std,s3_exp_mean,s3_exp_absmax,s3_exp_span,s3_exp_tail,s3_exp_auc_abs,s3_rec_mean,s3_rec_tail,s3_rec_slope,s3_overall_std,s4_exp_mean,s4_exp_absmax,s4_exp_span,s4_exp_tail,s4_exp_auc_abs,s4_rec_mean,s4_rec_tail,s4_rec_slope,s4_overall_std,s5_exp_mean,s5_exp_absmax,s5_exp_span,s5_exp_tail,s5_exp_auc_abs,s5_rec_mean,s5_rec_tail,s5_rec_slope,s5_overall_std,s6_exp_mean,s6_exp_absmax,s6_exp_span,s6_exp_tail,s6_exp_auc_abs,s6_rec_mean,s6_rec_tail,s6_rec_slope,s6_overall_std
Period_I,Day1,1,alcohol,alcohol_o1.csv,0.037637130801687756,0.04,0.04,0.034666666666666665,0.037637130801687756,0.04212244897959184,0.038064516129032264,-0.00022854529571148248,0.020314895065332534,0.01771778499682611,0.02654867256637168,0.017699115044247787,0.016076696165191744,0.01771778499682611,0.020877731623622896,0.01605766485869255,-0.00016988842653235234,0.009376109990146611,0.00986996323438695,0.017543859649122806,0.017543859649122806,0.00760233918128655,0.00986996323438695,0.010502446592672156,0.005376344086021505,-0.00018375329450176953,0.005585047879330453,0.017190185966557275,0.030864197530864196,0.030864197530864196,0.016769547325102878,0.017190185966557275,0.022121441169060212,0.015033851055356434,-0.0002320346669424285,0.010331502120427901,0.006329113924050633,0.03333333333333333,0.03333333333333333,0.0077777777777777776,0.006329113924050633,0.017823129251700678,-0.0005376344086021505,-0.0009929641994570562,0.018384218877049933,-0.005370157268891446,0.09090909090909091,0.09090909090909091,-0.006060606060606061,0.005370157268891446,-0.001484230055658627,-0.002932551319648094,-4.333533081661112e-05,0.019023807917743423
Period_I,Day1,1,alcohol,alcohol_o2.csv,0.025485232067510546,0.08,0.08,0.014000000000000002,0.025485232067510546,0.0013061224489795918,0.0,1.1853009545769186e-05,0.017605129795941143,0.012151898734177215,0.02666666666666667,0.02666666666666667,0.007777777777777777,0.012151898734177215,0.0012879818594104307,-0.004516129032258064,-9.464769552820979e-05,0.008192419338521634,0.010201042442293374,0.01764705882352941,0.01764705882352941,0.00656862745098039,0.010201042442293374,0.0020888355342136853,-0.0037001897533206836,-0.00014199809985900678,0.005618163211695072,0.020833333333333332,0.0375,0.04375,0.025937499999999995,0.021360759493670885,0.013061224489795919,0.002016129032258064,-0.0003634236051617136,0.012726435844070204,0.0528153644696639,0.10344827586206896,0.10344827586206896,0.03505747126436782,0.0528153644696639,0.025334271639690365,0.004449388209121246,-0.0005403111729761905,0.025140571979846222,-0.01649405446873801,0.09090909090909091,0.09090909090909091,-0.013636363636363636,0.01649405446873801,-0.01484230055658627,-0.013196480938416423,-3.514628094797008e-06,0.0359982778047145
Period_I,Day1,1,alcohol,alcohol_o3.csv,0.0035161744022503515,0.041666666666666664,0.08333333333333333,0.0006944444444444444,0.005625879043600563,0.001530612244897959,0.0,-5.6892283939118254e-05,0.015223989216750127,-0.00250109781010749,0.00904977375565611,0.013574660633484163,0.00015082956259426848,0.0032266070985356166,-0.0008865084495336591,-0.005838563713326523,-0.00017601600052339706,0.004547530759962003,0.0023244649940625073,0.005988023952095809,0.005988023952095809,0.0054890219560878245,0.0023244649940625073,0.004546010020774777,0.0018350395982229093,-0.00010228225823557487,0.0034577255441413167,-0.00559934187830056,0.012578616352201259,0.01886792452830189,-0.002830188679245283,0.005864713531300586,-0.00834295982543961,-0.015621829985798337,-0.00026814589148720525,0.006403728069697256,0.01868595539481615,0.07142857142857142,0.07142857142857142,0.0363095238095238,0.01868595539481615,0.018804664723032063,0.001728110599078341,-0.0007611705641185735,0.020765935045413283,0.010126582278481013,0.1,0.1,0.008333333333333333,0.010126582278481013,0.015918367346938776,0.00967741935483871,-0.0002782425189903899,0.031617240184377136
Period_I,Day1,1,acetone,acetone_o1.csv,0.01094409282700422,0.0625,0.0625,0.004166666666666667,0.01094409282700422,0.00025510204081632655,0.0,-2.868163250272656e-05,0.011177381997538007,-0.0015183480373353792,0.015151515151515152,0.022727272727272728,-0.005176767676767676,0.003468226569492392,-0.010157699443413729,-0.00867546432062561,-5.8406728170371605e-05,0.005472314672781783,0.002132888208837576,0.01098901098901099,0.016483516483516484,0.0007326007326007327,0.0031065980433069044,-0.0004709576138147568,8.862105636299186e-05,-6.640774269191227e-05,0.0036615330958582755,0.01478764935525849,0.0794392523364486,0.08411214953271028,0.0031152647975077876,0.015221420403012735,-0.015391951172992562,-0.02185709978896593,-0.0003365637468321928,0.018176831668962647,0.050030138637733576,0.38095238095238093,0.38095238095238093,0.023015873015873007,0.050030138637733576,0.001943634596695821,-0.0030721966205837174,-0.00027902504679518943,0.04601626673282039,-0.008087201125175808,0.08333333333333333,0.08333333333333333,-0.0013888888888888887,0.008087201125175808,-0.005442176870748299,-0.005376344086021505,-6.73594946515634e-05,0.03226234119260912
Period_I,Day1,1,acetone,acetone_o2.csv,0.009423347398030942,0.03333333333333333,0.03333333333333333,0.0,0.009423347398030942,-0.001897018970189702,0.0,-5.57779068928043e-05,0.01211999546713846,0.0030186287753706576,0.011857707509881422,0.01976284584980237,-0.003952569169960474,0.005019929620920264,-0.006844692952858381,-0.007140124952186661,-4.787024380020103e-05,0.005579456395416641,0.0014614713716615986,0.00558659217877095,0.0111731843575419,-0.0029795158286778397,0.002970086981118733,-0.005291365762819639,-0.005676698504234997,-3.964158011844244e-05,0.004216235591347882,0.005093125346289903,0.020202020202020204,0.025252525252525256,0.0007575757575757576,0.005860290670417253,-0.010963291451096329,-0.017350928641251224,-0.0002926147448562248,0.008951188987789687,0.03007681488694147,0.10256410256410256,0.10256410256410256,0.02179487179487179,0.03007681488694147,0.020637898686679177,-0.008271298593879239,-0.0015424376781898162,0.039497994735637657,0.03413885692366705,0.09090909090909091,0.09090909090909091,0.028787878787878786,0.03413885692366705,0.023281596452328163,0.026392961876832842,0.00018379522163328122,0.04120419808963867
Period_I,Day1,1,acetone,acetone_o3.csv,0.07434890149861778,0.2413793103448276,0.2413793103448276,0.15057471264367814,0.07434890149861778,0.07811400422237859,0.034482758620689655,-0.0027266543933078748,0.06155355400601759,0.03681774874098272,0.10483870967741936,0.10080645161290323,0.06955645161290322,0.03681774874098272,0.033229098090849236,0.010796045785639957,-0.001407967766457346,0.02808708650953826,0.008127157652474109,0.011363636363636364,0.011363636363636364,0.010227272727272729,0.008127157652474109,0.009021335807050094,0.0070564516129032265,-0.00012013831238412805,0.006658006002705839,0.03402176326893182,0.07894736842105263,0.08421052631578947,0.05078947368421053,0.034332667110815014,0.026444683136412454,0.001697792869269949,-0.0013320405919965013,0.023481068320604294,0.10622983370563414,0.35294117647058826,0.35294117647058826,0.11029411764705883,0.10622983370563414,0.06842737094837933,0.020398481973434527,-0.0030200362529600594,0.07569995074951148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006761786297696772
Period_I,Day2,2,alcohol,alcohol_o4.csv,0.028571428571428574,0.02857142857142857,0.0,0.028571428571428567,0.028571428571428574,0.03137026239067056,0.028571428571428564,-0.0001658055695877428,0.01774795793581221,0.01246929907424901,0.014925373134328358,0.00373134328358209,0.014800995024875623,0.01246929907424901,0.016113310996040204,0.014985556090515169,-5.206739474699122e-05,0.006944747549825507,0.00769421692727724,0.0106951871657754,0.0053475935828877,0.010695187165775404,0.00769421692727724,0.011109898504856486,0.010695187165775404,-3.0292414694153183e-05,0.004924024358444318,0.027255103204470294,0.036036036036036036,0.02252252252252252,0.03378378378378378,0.027255103204470294,0.030740945026659316,0.029279279279279275,-0.00016442977729054064,0.014617578620951505,0.04867757538334876,0.07317073170731707,0.048780487804878044,0.05731707317073172,0.04867757538334876,0.05176704828272774,0.04878048780487805,-0.00037670988234643027,0.023437003080424297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period_I,Day2,2,alcohol,alcohol_o5.csv,0.054171770790798955,0.25806451612903225,0.25806451612903225,0.024193548387096774,0.054171770790798955,0.0015735641227380016,0.0,-0.00012571384150021433,0.034149044125815625,0.0015719367915942753,0.03529411764705882,0.043137254901960784,-0.006013071895424836,0.005774799371225284,-0.0033636218715128326,-0.0018342820999367488,7.891513741890575e-05,0.005605501383308999,0.0024806417211480497,0.02197802197802198,0.02197802197802198,0.0,0.0024806417211480497,0.0011167694094523363,0.001683800070896845,3.3526169232987735e-05,0.0029217951868738385,0.019349614286323147,0.030303030303030304,0.03535353535353535,0.016245791245791247,0.019690576652601967,0.01276997618461033,0.012544802867383511,-5.029058984840403e-05,0.00886936908725676,0.12646172393007835,0.5142857142857142,0.5428571428571428,0.08333333333333331,0.1286317058468957,0.011962833914053428,0.0,-0.0008779046666951535,0.07433754635908994,-0.0038677918424753865,0.08333333333333333,0.08333333333333333,0.0,0.0038677918424753865,-0.0023712737127371273,-0.0026881720430107525,-3.963275046904653e-05,0.024530211751638973
Period_I,Day2,2,alcohol,alcohol_o6.csv,0.03566081393766162,0.1935483870967742,0.1935483870967742,0.026344086021505373,0.03566081393766162,0.017178075006556513,0.01716961498439126,-0.00018199804681881329,0.02294869169771022,0.0024654587573425995,0.03137254901960784,0.03529411764705882,0.00045751633986928104,0.002697112600314387,0.0018810776343057545,0.003921568627450979,7.350651535317803e-05,0.003697033593954638,0.0005764220331557954,0.01639344262295082,0.02185792349726776,0.0,0.0008069908464181136,0.0,0.0,0.0,0.002409418326474131,0.020194386716207987,0.029850746268656716,0.029850746268656716,0.025207296849087894,0.020194386716207987,0.01611859402176111,0.01243781094527363,-0.00023871552153395756,0.010498945897533628,0.08462929475587704,0.37142857142857144,0.37142857142857144,0.07761904761904762,0.08462929475587704,0.0380952380952381,0.028571428571428564,-0.0007473306941655179,0.04622562822681231,-0.0028129395218002813,0.08333333333333333,0.08333333333333333,-0.0013888888888888887,0.0028129395218002813,-0.003726287262872628,-0.004032258064516129,-0.00013878403368973867,0.022499892832392242
Period_I,Day2,2,acetone,acetone_o4.csv,0.260548523206751,1.4642857142857142,1.4285714285714284,0.5875,0.260548523206751,0.147212543554007,0.10771889400921654,-0.0023125765859843815,0.19751452835208702,0.10756867482535847,0.43568464730290457,0.4107883817427386,0.22538035961272473,0.10756867482535847,0.06439968964004991,0.04698166242805512,-0.0011074749848964153,0.07301391613681298,0.026254102203469288,0.05555555555555555,0.04444444444444444,0.035370370370370365,0.026254102203469288,0.022289972899728994,0.020250896057347662,-6.985616121949945e-05,0.012897927595389352,0.13039056583360378,0.5230769230769231,0.49743589743589745,0.31042735042735037,0.13039056583360378,0.10587867417135712,0.06600496277915632,-0.002292223081359335,0.09859205186838217,0.41864451476793246,3.375,3.3125,1.171875,0.41864451476793246,0.12207825203252033,0.08618951612903226,-0.002361665214421918,0.4223758083547329,0.02416570771001151,0.09090909090909091,0.09090909090909091,0.07272727272727274,0.02416570771001151,0.043237250554323724,0.041055718475073305,-0.00014417218435976525,0.039437419348803474
