model,case,true_label,predicted_label,count
kNN,without_s1,acetone,alcohol,0
kNN,without_s1,acetone,acetone,10
kNN,without_s2,air,air,8
kNN,without_s2,air,alcohol,0
kNN,without_s2,air,acetone,0
kNN,without_s2,alcohol,air,0
kNN,without_s2,alcohol,alcohol,8
kNN,without_s2,alcohol,acetone,2
kNN,without_s2,acetone,air,0
kNN,without_s2,acetone,alcohol,0
kNN,without_s2,acetone,acetone,10
kNN,without_s3,air,air,8
kNN,without_s3,air,alcohol,0
kNN,without_s3,air,acetone,0
kNN,without_s3,alcohol,air,0
kNN,without_s3,alcohol,alcohol,10
kNN,without_s3,alcohol,acetone,0
kNN,without_s3,acetone,air,0
kNN,without_s3,acetone,alcohol,0
kNN,without_s3,acetone,acetone,10
kNN,without_s4,air,air,8
kNN,without_s4,air,alcohol,0
kNN,without_s4,air,acetone,0
kNN,without_s4,alcohol,air,0
kNN,without_s4,alcohol,alcohol,10
kNN,without_s4,alcohol,acetone,0
kNN,without_s4,acetone,air,0
kNN,without_s4,acetone,alcohol,0
kNN,without_s4,acetone,acetone,10
kNN,without_s5,air,air,8
kNN,without_s5,air,alcohol,0
kNN,without_s5,air,acetone,0
kNN,without_s5,alcohol,air,0
kNN,without_s5,alcohol,alcohol,10
kNN,without_s5,alcohol,acetone,0
kNN,without_s5,acetone,air,0
kNN,without_s5,acetone,alcohol,0
kNN,without_s5,acetone,acetone,10
kNN,without_s6,air,air,8
kNN,without_s6,air,alcohol,0
kNN,without_s6,air,acetone,0
kNN,without_s6,alcohol,air,0
kNN,without_s6,alcohol,alcohol,10
kNN,without_s6,alcohol,acetone,0
kNN,without_s6,acetone,air,0
kNN,without_s6,acetone,alcohol,0
kNN,without_s6,acetone,acetone,10
Random Forest,all,air,air,8
Random Forest,all,air,alcohol,0
Random Forest,all,air,acetone,0
Random Forest,all,alcohol,air,0
Random Forest,all,alcohol,alcohol,10
Random Forest,all,alcohol,acetone,0
Random Forest,all,acetone,air,0
Random Forest,all,acetone,alcohol,0
Random Forest,all,acetone,acetone,10
Random Forest,without_s1,air,air,8
Random Forest,without_s1,air,alcohol,0
Random Forest,without_s1,air,acetone,0
Random Forest,without_s1,alcohol,air,0
Random Forest,without_s1,alcohol,alcohol,10
Random Forest,without_s1,alcohol,acetone,0
Random Forest,without_s1,acetone,air,0
Random Forest,without_s1,acetone,alcohol,0
Random Forest,without_s1,acetone,acetone,10
Random Forest,without_s2,air,air,8
Random Forest,without_s2,air,alcohol,0
Random Forest,without_s2,air,acetone,0
