architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
one-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,210,0.2,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8571428571428571,1.0,0.9061224489795918,0.9074015079112243,0.9079322237216974,0.048979591836734726
one-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,120,0.2,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9020408163265308,1.0,0.9102040816326531,0.9112774769034724,0.9122652143120766,0.008163265306122325
one-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,160,0.2,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.889795918367347,1.0,0.9020408163265307,0.9028352978655624,0.9040092584396383,0.01224489795918371
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8938775510204081,1.0,0.8938775510204081,0.890251672507168,0.8949427016085171,0.0
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8489795918367347,1.0,0.8653061224489796,0.8631198895614315,0.8679605756187332,0.016326530612244983
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.926530612244898,1.0,0.9183673469387755,0.9128172454072422,0.9174207658563103,-0.008163265306122436
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8938775510204081,1.0,0.8938775510204081,0.8895614314537538,0.8933550012274916,0.0
one-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8693877551020408,1.0,0.8775510204081632,0.8747477965381757,0.8778510210699365,0.008163265306122436
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,380,0.5,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9307359307359307,1.0,0.9393939393939394,0.9380926820540347,0.9402406417112298,0.008658008658008698
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,150,0.5,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9090909090909092,1.0,0.9134199134199135,0.9134013240293433,0.9167003367003367,0.0043290043290042934
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,170,0.5,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8961038961038961,1.0,0.9307359307359307,0.9305779209160852,0.9332004997639674,0.03463203463203468
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,130,0.5,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9264069264069263,1.0,0.935064935064935,0.9346931472535337,0.9362294277273021,0.008658008658008698
one-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,30,0.5,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9004329004329005,0.9861111111111112,0.8961038961038961,0.8969404186795491,0.899897419711197,-0.0043290043290044045
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8917748917748918,1.0,0.8917748917748918,0.8885310431204151,0.8931231962481961,0.0
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8528138528138528,1.0,0.8658008658008658,0.8638396850957237,0.8684169949591224,0.012987012987012991
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9264069264069263,1.0,0.9177489177489178,0.9125067096081588,0.9170517890772127,-0.008658008658008587
one-layer,S5_train_I_D1_val_D2_3,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8917748917748918,1.0,0.8917748917748918,0.8878153515834675,0.8915095257118661,0.0
