architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
one-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8829268292682928,0.027809156709735095,0.8536585365853658,0.9219512195121952,1.0,0.0,1.0,1.0,0.8848780487804879,0.021150715501150066,0.8634146341463415,0.9170731707317074,0.8818093747671213,0.02010995729171093,0.8613905656159178,0.9124375884939265,0.8855938627314636,0.019953138106152256,0.8655990759468283,0.9157031062576811,0.0019512195121951237,0.007397927262489325,-0.004878048780487809,0.009756097560975618
one-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7868131868131867,0.021264359375384616,0.7655677655677655,0.8131868131868132,1.0,0.0,1.0,1.0,0.8131868131868132,0.016175386202065666,0.7948717948717948,0.8351648351648352,0.8119855967078189,0.014934038780499013,0.7952674897119341,0.8321759259259259,0.8152514305307653,0.015930162988053696,0.800989465106804,0.8361804035003665,0.02637362637362637,0.008745301381914573,0.01831501831501825,0.04029304029304037
one-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7956043956043957,0.05124278978494811,0.7106227106227107,0.8388278388278388,0.9933333333333334,0.014907119849998594,0.9666666666666667,1.0,0.8102564102564103,0.02516566159313943,0.7765567765567766,0.8461538461538461,0.8098508230452675,0.02344322812269639,0.7791923868312757,0.8438786008230452,0.8157314221430939,0.02340954856661014,0.7842084740183809,0.8488418431999426,0.014652014652014666,0.0311893523185465,-0.01831501831501825,0.06593406593406592
one-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.6974358974358974,0.07918360015671676,0.6153846153846154,0.8241758241758241,0.9400000000000001,0.04346134936801765,0.9,1.0,0.7772893772893774,0.06288215559780876,0.7142857142857143,0.8461538461538461,0.7814300411522634,0.05961231470696028,0.7195216049382717,0.849022633744856,0.7868995900329405,0.059802658735853775,0.7253646085053447,0.8537279291838958,0.07985347985347983,0.05987638605627118,0.01831501831501836,0.1721611721611721
one-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8734693877551021,0.010406162272638363,0.8571428571428571,0.8816326530612245,1.0,0.0,1.0,1.0,0.8840816326530611,0.017697537460145973,0.8571428571428571,0.9061224489795918,0.8861951789317193,0.016381977604155464,0.8608898800042476,0.9060210258043964,0.8846332364172873,0.01852027031662883,0.857036030492599,0.9083189153340299,0.010612244897959177,0.017931332764480667,-0.01224489795918371,0.02857142857142858
one-layer,S4_train_I_val_D1_2,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7820408163265304,0.02355353150408738,0.7551020408163265,0.8122448979591836,1.0,0.0,1.0,1.0,0.8089795918367347,0.017884818204250343,0.7918367346938775,0.8367346938775511,0.80825103536158,0.016551978110456483,0.7926622066475524,0.8339173834554529,0.8102818085038692,0.018094102336635515,0.7970083991620059,0.8373412418641245,0.026938775510204117,0.012108079162605215,0.01632653061224487,0.044897959183673564
one-layer,S5_train_I_D1_val_D2_3,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8831168831168832,0.012244273267299542,0.8701298701298701,0.8961038961038961,0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.8952380952380953,0.005644331086755545,0.8874458874458875,0.9004329004329005,0.8964036500268383,0.00518104570963332,0.8887099660046519,0.9010556450169976,0.897479917356695,0.005961777779797877,0.8894547607574178,0.9036143472233698,0.012121212121212154,0.011205349874930546,-0.0043290043290042934,0.025974025974025983
one-layer,S5_train_I_D1_val_D2_3,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7818181818181819,0.01901808020475223,0.7575757575757576,0.8051948051948052,1.0,0.0,1.0,1.0,0.8086580086580086,0.014160543059563772,0.7965367965367965,0.8311688311688312,0.8080873143675076,0.013026151238523633,0.7972803721595992,0.8287707997852926,0.8100682124007944,0.014480748517477587,0.7981312241285933,0.8318067829028637,0.02683982683982684,0.00987164870215703,0.017316017316017285,0.04329004329004327
one-layer,S6_train_I_D1_2_val_D3_5,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9346341463414634,0.016756647841285506,0.9121951219512195,0.951219512195122,1.0,0.0,1.0,1.0,0.9473170731707317,0.01738393139629797,0.9219512195121952,0.9609756097560975,0.946076458752515,0.018004899019468345,0.9195171026156942,0.9600566361129741,0.9477607139724299,0.01723484539936482,0.9224617177429332,0.9612718104521383,0.012682926829268281,0.00267181735368377,0.009756097560975507,0.014634146341463539
one-layer,S6_train_I_D1_2_val_D3_5,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7902439024390244,0.017923095678901282,0.7707317073170732,0.8146341463414634,1.0,0.0,1.0,1.0,0.8117073170731708,0.017107978455365998,0.7951219512195122,0.8390243902439024,0.8110291377897012,0.016465425273943814,0.7950666964751472,0.8373202176019077,0.8132692828552935,0.01701478841253423,0.793719806763285,0.840017589864435,0.02146341463414634,0.006544589202438402,0.009756097560975618,0.024390243902439046
