architecture,split,variant,probe_variant,method,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
two-layer,S7_train_I_D1_3_val_D4_5,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8917073170731709,0.009383114176425086,0.8780487804878049,0.902439024390244,1.0,0.0,1.0,1.0,0.8897560975609757,0.01405352223501263,0.8682926829268293,0.9024390243902439,0.8869811461360756,0.013598087613814114,0.8660854012966688,0.8995454206721812,0.8905549914150415,0.013073971875965769,0.8705168369642053,0.9025210084033614,-0.0019512195121951458,0.008162536844234883,-0.009756097560975618,0.009756097560975618
two-layer,S1_train_I_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.764102564102564,0.06395063104115807,0.6959706959706959,0.8388278388278388,1.0,0.0,1.0,1.0,0.7772893772893772,0.06346622936428876,0.7032967032967034,0.8498168498168498,0.7791152263374486,0.06029984121526321,0.7091049382716049,0.8492798353909464,0.7831889278838629,0.06053261378555505,0.709738900123481,0.8546359292012279,0.013186813186813185,0.016503853957609973,-0.00366300366300365,0.03663003663003661
two-layer,S2_train_I_internal_val_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7648351648351648,0.04329478188158941,0.6996336996336996,0.8205128205128205,1.0,0.0,1.0,1.0,0.767032967032967,0.03785497635974743,0.7142857142857143,0.8168498168498168,0.769264403292181,0.03640645918384769,0.7169495884773663,0.8154578189300411,0.771423295453859,0.037803806832841416,0.7169893705189034,0.8195577701650577,0.0021978021978022342,0.011755902224088809,-0.0146520146520146,0.014652014652014711
two-layer,S3_train_I_internal_20_10_test_all,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7289377289377289,0.0530187356268503,0.6556776556776557,0.8021978021978022,0.9866666666666667,0.029814239699997188,0.9333333333333333,1.0,0.7435897435897436,0.04200492652446785,0.6959706959706959,0.8021978021978022,0.7487139917695472,0.038826162410488294,0.7053755144032922,0.8028549382716049,0.7558759712490891,0.03730930736517698,0.7143456203212644,0.8079920356663637,0.014652014652014623,0.02167062191611582,-0.010989010989011061,0.04029304029304026
two-layer,S4_train_I_val_D1_2,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8677551020408163,0.007414653928402024,0.8571428571428571,0.8775510204081632,1.0,0.0,1.0,1.0,0.8685714285714285,0.015913133624177886,0.8530612244897959,0.8857142857142857,0.8714664967611766,0.014747756624767587,0.8570139110119995,0.8880216629499841,0.8673361728405249,0.017419346804968015,0.8504086578826408,0.886685283182846,0.0008163265306122325,0.014829307856804029,-0.01632653061224487,0.01632653061224487
two-layer,S4_train_I_val_D1_2,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.763265306122449,0.059078019698490324,0.6979591836734694,0.8285714285714286,1.0,0.0,1.0,1.0,0.7746938775510204,0.058182954061079095,0.710204081632653,0.8448979591836735,0.7767972815121589,0.05523991107222467,0.7158330678560051,0.8444302856536052,0.780381077903166,0.05500120219251946,0.7176149273425985,0.849761355558457,0.01142857142857141,0.01335136917044582,-0.008163265306122436,0.02448979591836742
two-layer,S5_train_I_D1_val_D2_3,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8597402597402597,0.015787517340961437,0.8398268398268398,0.8787878787878788,1.0,0.0,1.0,1.0,0.8614718614718615,0.013342887452313783,0.8484848484848485,0.8787878787878788,0.8628735015208445,0.01384809954673954,0.8495258543567722,0.8811952048667023,0.8622465419558326,0.013781102835716938,0.8482760478947333,0.880188454907556,0.0017316017316017396,0.0072438097535418135,-0.008658008658008698,0.008658008658008698
two-layer,S5_train_I_D1_val_D2_3,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7575757575757576,0.0590397476059994,0.6926406926406926,0.8225108225108225,1.0,0.0,1.0,1.0,0.7714285714285714,0.05867358142192166,0.7056277056277056,0.8398268398268398,0.7738414743245661,0.05573455023865635,0.711576310610127,0.8398640186079799,0.7770570890778782,0.05535003272901961,0.7132316458840013,0.8447235778369319,0.013852813852813829,0.013825731101879951,-0.0043290043290044045,0.030303030303030276
two-layer,S6_train_I_D1_2_val_D3_5,CDAN-SEMI,Frozen CDAN-SEMI features + Logistic Regression,cdan,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9297560975609755,0.010687269414734872,0.9170731707317074,0.946341463414634,1.0,0.0,1.0,1.0,0.9326829268292685,0.010575357750574988,0.9170731707317074,0.9414634146341463,0.9302034428794993,0.010826445662060345,0.914226097324689,0.9394887845592071,0.9324794338294934,0.010588674646833626,0.9169706105400085,0.9416471860439227,0.0029268292682926855,0.0065445892024383525,-0.004878048780487698,0.009756097560975618
two-layer,S6_train_I_D1_2_val_D3_5,CDAN-UDA,Frozen CDAN-UDA features + Logistic Regression,cdan,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7521951219512195,0.06638449106811314,0.6829268292682927,0.8195121951219512,1.0,0.0,1.0,1.0,0.7639024390243903,0.0653185121610556,0.6829268292682927,0.8341463414634146,0.7653774498844922,0.06278203562394699,0.6876816454281243,0.8338177211416647,0.76845067982782,0.06307379857908413,0.6877623285892019,0.8385725448077088,0.01170731707317072,0.013623648823189198,-0.004878048780487809,0.024390243902439046
