architecture,split,variant,probe_variant,method,mode,seed,best_epoch,alignment_strength,centroid_strength,adversarial_strength,final_training,label_usage,latent_dimension,logistic_params,neural_test_accuracy,lr_train_accuracy,lr_test_accuracy,lr_test_balanced_accuracy,lr_test_macro_f1,lr_minus_neural_accuracy
two-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,2,80,0.05,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8326530612244898,1.0,0.8326530612244898,0.8334926197302751,0.8332846518560805,0.0
two-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,3,60,0.05,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8775510204081632,1.0,0.8938775510204081,0.8930126367208241,0.896403544751784,0.01632653061224487
two-layer,S4_train_I_val_D1_2,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,4,160,0.05,0.05,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9020408163265308,1.0,0.9102040816326531,0.9112774769034724,0.9124016216758153,0.008163265306122325
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,0,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8775510204081632,1.0,0.8734693877551021,0.8708718275459276,0.8757791696925684,-0.004081632653061162
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,1,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8938775510204081,1.0,0.8857142857142857,0.8831899755760858,0.8876255749213265,-0.008163265306122436
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,2,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9061224489795918,1.0,0.9061224489795918,0.9025698205373262,0.9062233589087808,0.0
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,3,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8857142857142857,1.0,0.8979591836734694,0.8934374004460018,0.8969200636160833,0.01224489795918371
two-layer,S4_train_I_val_D1_2,C-DANN-UDA,Frozen C-DANN-UDA features + Logistic Regression,c-dann,uda,4,400,0.2,0.2,0.0,source-only; no refit,source labels only,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8979591836734694,1.0,0.9020408163265307,0.8986938515450781,0.9033713746096158,0.004081632653061273
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,0,180,0.05,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.8961038961038961,1.0,0.8961038961038961,0.8969404186795491,0.898710571783563,0.0
two-layer,S5_train_I_D1_val_D2_3,C-DANN-SEMI,Frozen C-DANN-SEMI features + Logistic Regression,c-dann,semi,1,260,0.05,0.2,0.0,Source+Target refit,source + labeled target,16,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,0.9090909090909092,1.0,0.9307359307359307,0.9305779209160852,0.9325434785886483,0.021645021645021578
