architecture,split,variant,probe_variant,mode,final_training,label_usage,logistic_params,seed_values,neural_test_accuracy,neural_test_accuracy_std,neural_test_accuracy_min,neural_test_accuracy_max,lr_train_accuracy,lr_train_accuracy_std,lr_train_accuracy_min,lr_train_accuracy_max,lr_test_accuracy,lr_test_accuracy_std,lr_test_accuracy_min,lr_test_accuracy_max,lr_test_balanced_accuracy,lr_test_balanced_accuracy_std,lr_test_balanced_accuracy_min,lr_test_balanced_accuracy_max,lr_test_macro_f1,lr_test_macro_f1_std,lr_test_macro_f1_min,lr_test_macro_f1_max,lr_minus_neural_accuracy,lr_minus_neural_accuracy_std,lr_minus_neural_accuracy_min,lr_minus_neural_accuracy_max
one-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7980487804878049,0.009509067653472168,0.7853658536585366,0.8097560975609757,1.0,0.0,1.0,1.0,0.8136585365853659,0.013968605915391522,0.7951219512195122,0.8292682926829268,0.8132647738281541,0.013530924325985353,0.7956628660854013,0.8285267158506594,0.8156309399463915,0.013629972816544086,0.796340023612751,0.8305265195509097,0.015609756097560924,0.005343634707367418,0.009756097560975618,0.019512195121951126
two-layer,S1_train_I_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7794871794871794,0.01646315388589321,0.7582417582417582,0.7948717948717948,1.0,0.0,1.0,1.0,0.7780219780219779,0.019313445166980324,0.7509157509157509,0.8021978021978022,0.7799382716049383,0.018716258230644718,0.7529578189300411,0.8028549382716049,0.781441390794668,0.01735508476780048,0.7567346992330756,0.8043408443408443,-0.0014652014652014155,0.007595766063490032,-0.01098901098901095,0.007326007326007411
two-layer,S2_train_I_internal_val_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7003663003663003,0.03208004988397264,0.6593406593406593,0.7435897435897436,0.9600000000000002,0.043461349368017654,0.9,1.0,0.7267399267399268,0.0384702589102304,0.6886446886446886,0.7728937728937729,0.7342849794238683,0.035265759860889694,0.6977880658436214,0.7770061728395062,0.7392550731316707,0.034785447737901314,0.7017513257712876,0.7816431587653998,0.02637362637362637,0.01979378181114477,0.00366300366300365,0.05494505494505497
two-layer,S3_train_I_internal_20_10_test_all,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source train+source validation refit,source train + source validation labels,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7047619047619047,0.022371328182567703,0.6776556776556777,0.7252747252747253,0.9800000000000001,0.04472135954999579,0.9,1.0,0.7282051282051283,0.02709137302139281,0.7032967032967034,0.7728937728937729,0.7350308641975308,0.025116468348785316,0.7103909465020576,0.7763631687242798,0.7404522745274805,0.02441972118297703,0.7190241693552952,0.7813001813001813,0.02344322344322345,0.016905466313867176,0.0073260073260073,0.04761904761904767
two-layer,S4_train_I_val_D1_2,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8620408163265306,0.02243041904332094,0.8326530612244898,0.8938775510204081,1.0,0.0,1.0,1.0,0.863673469387755,0.019274643188763423,0.8448979591836735,0.889795918367347,0.8665392375491132,0.019312033239732847,0.8471912498672612,0.8925878729956462,0.8639183899288362,0.01993406474060554,0.844723525610341,0.8916375807439384,0.0016326530612244873,0.016976844361702353,-0.024489795918367308,0.01632653061224487
two-layer,S4_train_I_val_D1_2,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7714285714285716,0.017074694419062772,0.7510204081632653,0.7877551020408163,1.0,0.0,1.0,1.0,0.7706122448979592,0.018570307209922136,0.7428571428571429,0.7918367346938775,0.7726452160985453,0.01802655569732943,0.7454603376871615,0.7926622066475524,0.7724460080238298,0.017011179021206267,0.7466525258740653,0.7930883032824779,-0.0008163265306122325,0.009307554490605236,-0.01224489795918371,0.008163265306122547
two-layer,S5_train_I_D1_val_D2_3,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.8770562770562771,0.010425623011941384,0.8658008658008658,0.8917748917748918,0.9972222222222221,0.006211299937499394,0.9861111111111112,1.0,0.8787878787878789,0.01861975166026543,0.8614718614718615,0.9047619047619048,0.8801932367149758,0.01751005201274386,0.8640186079799607,0.9044551798174986,0.8800601268253165,0.01903946862716975,0.8627633690531655,0.9060427807486632,0.0017316017316017396,0.009966116392399436,-0.012987012987012991,0.012987012987012991
two-layer,S5_train_I_D1_val_D2_3,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7714285714285714,0.016023164955256932,0.7532467532467533,0.7922077922077922,1.0,0.0,1.0,1.0,0.7705627705627707,0.01590577755054013,0.7445887445887446,0.7835497835497836,0.7727321524422974,0.015611162634113001,0.747181964573269,0.7849346931472535,0.7723674173194204,0.014260088400618662,0.748476667998022,0.7843119087423879,-0.0008658008658008586,0.009871648702157067,-0.012987012987012991,0.008658008658008698
two-layer,S6_train_I_D1_2_val_D3_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9453658536585365,0.006360197468490387,0.9365853658536586,0.951219512195122,1.0,0.0,1.0,1.0,0.9463414634146341,0.007712872341874067,0.9365853658536586,0.9560975609756097,0.9445413220061107,0.008288184889097949,0.9336016096579477,0.9547656308219689,0.9462561880904745,0.007896628636208713,0.9361155507065603,0.9561669438504792,0.0009756097560975174,0.004081268422117492,-0.00487804878048792,0.00487804878048792
two-layer,S6_train_I_D1_2_val_D3_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7707317073170732,0.01920489725368736,0.751219512195122,0.7951219512195122,1.0,0.0,1.0,1.0,0.7707317073170732,0.015425744683748206,0.7463414634146341,0.7853658536585366,0.7717117519934421,0.015226926376241536,0.7475221700573812,0.7856770251136448,0.7721601302315475,0.013768594046407795,0.7495579133510167,0.7860552708798668,0.0,0.013359086768418698,-0.019512195121951237,0.014634146341463428
two-layer,S7_train_I_D1_3_val_D4_5,MLP Source+Target,Frozen MLP Source+Target features + Logistic Regression,semi,Source+Target refit,source + labeled target,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.9268292682926829,0.012436632959982326,0.9170731707317074,0.946341463414634,0.9959183673469388,0.005589005688828232,0.9897959183673469,1.0,0.9463414634146341,0.010347904114925043,0.9365853658536586,0.9609756097560975,0.9443028541620091,0.010878385348477142,0.9336016096579477,0.95946046650272,0.9465386767225794,0.010481749677442436,0.9361155507065603,0.9612538729347101,0.019512195121951216,0.015035156104802314,0.004878048780487809,0.03902439024390236
two-layer,S7_train_I_D1_3_val_D4_5,MLP Source-only,Frozen MLP Source-only features + Logistic Regression,uda,source-only; no refit,source labels only,C=1.0;class_weight=balanced;solver=lbfgs;max_iter=2000,"0,1,2,3,4",0.7707317073170732,0.01920489725368736,0.751219512195122,0.7951219512195122,1.0,0.0,1.0,1.0,0.7707317073170732,0.015425744683748206,0.7463414634146341,0.7853658536585366,0.7717117519934421,0.015226926376241536,0.7475221700573812,0.7856770251136448,0.7721601302315475,0.013768594046407795,0.7495579133510167,0.7860552708798668,0.0,0.013359086768418698,-0.019512195121951237,0.014634146341463428
