sample_id,label,duration_s,collection_date,distance_cm,wind_level,s1_baseline,s1_exp_mean,s1_exp_absmax,s1_exp_span,s1_exp_tail,s1_exp_auc_abs,s1_rec_mean,s1_rec_tail,s1_rec_slope,s1_overall_std,s2_baseline,s2_exp_mean,s2_exp_absmax,s2_exp_span,s2_exp_tail,s2_exp_auc_abs,s2_rec_mean,s2_rec_tail,s2_rec_slope,s2_overall_std,s3_baseline,s3_exp_mean,s3_exp_absmax,s3_exp_span,s3_exp_tail,s3_exp_auc_abs,s3_rec_mean,s3_rec_tail,s3_rec_slope,s3_overall_std,s4_baseline,s4_exp_mean,s4_exp_absmax,s4_exp_span,s4_exp_tail,s4_exp_auc_abs,s4_rec_mean,s4_rec_tail,s4_rec_slope,s4_overall_std,s5_baseline,s5_exp_mean,s5_exp_absmax,s5_exp_span,s5_exp_tail,s5_exp_auc_abs,s5_rec_mean,s5_rec_tail,s5_rec_slope,s5_overall_std,s6_baseline,s6_exp_mean,s6_exp_absmax,s6_exp_span,s6_exp_tail,s6_exp_auc_abs,s6_rec_mean,s6_rec_tail,s6_rec_slope,s6_overall_std
air_1,air,180,2026-05-14,0.0,1,29.0,-0.023868534482758625,0.034482758620689655,0.034482758620689655,-0.007112068965517242,0.023868534482758625,-0.00941890166028097,-0.005747126436781609,0.0002664939201384879,0.01635954556333862,222.0,-0.0016117680180180178,0.009009009009009009,0.013513513513513514,0.002702702702702703,0.0030053490990990988,0.0019811478144811483,0.004004004004004004,9.596895765447667e-05,0.003516991175287548,186.0,-0.006182795698924733,0.010752688172043012,0.010752688172043012,-0.004301075268817206,0.006182795698924733,-0.004579848665870172,-0.0025886101154918356,6.44281608187456e-05,0.0030361350239608825,197.0,-0.0073604060913705594,0.015228426395939087,0.02030456852791878,-0.0010152284263959391,0.007661802030456855,-0.0018800526414739617,-0.0012220342169580749,9.537319056636515e-05,0.005431588401214046,31.0,-0.007308467741935483,0.03225806451612903,0.06451612903225806,0.001814516129032258,0.00821572580645161,0.0013440860215053762,0.0029868578255675027,7.3599283850819e-05,0.013913415015876304,13.0,0.0001201923076923077,0.07692307692307693,0.07692307692307693,0.0,0.0001201923076923077,0.0,0.0,0.0,0.004958438098323085
air_10,air,180,2026-05-21,0.0,1,40.0,-0.0010546875,0.025,0.025,0.0,0.0010546875,0.0,0.0,0.0,0.004752761787160439,237.0,-0.0007515822784810125,0.004219409282700422,0.004219409282700422,0.0,0.0007515822784810125,0.0,0.0,0.0,0.001647872523617421,210.0,-0.0003422619047619048,0.004761904761904762,0.004761904761904762,0.0,0.0003422619047619048,0.0,0.0,0.0,0.0013336007249494834,247.0,0.0030427631578947368,0.012145748987854251,0.016194331983805668,0.005718623481781376,0.0039789979757085025,0.005941670415354625,0.005847953216374269,-1.7417174167780363e-05,0.003789442457392181,42.0,0.0018973214285714283,0.023809523809523808,0.047619047619047616,0.0035714285714285713,0.002269345238095238,0.004739858906525573,0.00837742504409171,-2.254543815293974e-05,0.006776322137006971,16.0,0.01171875,0.0625,0.0625,0.00703125,0.01171875,0.008101851851851851,0.006944444444444444,-0.00010161750195926464,0.02474881599074122
air_11,air,180,2026-05-21,0.0,1,39.0,0.014623397435897434,0.02564102564102564,0.02564102564102564,0.02532051282051282,0.014623397435897434,0.02504748338081672,0.025166191832858488,1.9459079428283332e-05,0.012817722542982213,233.0,0.004486319742489271,0.008583690987124463,0.008583690987124463,0.006303648068669529,0.004486319742489271,0.006298680654903832,0.006755682721347956,2.19325798696856e-05,0.0024313576769252727,210.0,-0.00011904761904761906,0.004761904761904762,0.009523809523809525,0.0010714285714285715,0.000818452380952381,0.0010361552028218695,0.0010582010582010583,1.2720800001384613e-05,0.002017774349786654,243.0,0.0008101851851851855,0.00823045267489712,0.01234567901234568,0.002700617283950618,0.0023405349794238693,0.0026672763298277702,0.002438652644413962,-5.027935917617827e-06,0.003135915799201813,42.0,0.0069568452380952385,0.023809523809523808,0.023809523809523808,0.015625,0.0069568452380952385,0.016865079365079364,0.011463844797178132,-0.00019954518253866566,0.01058533893536165,18.0,0.04661458333333334,0.05555555555555555,0.05555555555555555,0.055555555555555566,0.04661458333333334,0.05555555555555557,0.05555555555555554,-3.7302137131610463e-34,0.023557180064018152
air_12,air,180,2026-05-22,0.0,1,26.0,-0.030769230769230764,0.038461538461538464,0.038461538461538464,-0.03822115384615384,0.030769230769230764,-0.03828347578347577,-0.037749287749287756,1.9430503146772237e-05,0.016783539853447483,200.0,-0.010390625,0.015,0.02,-0.013437500000000002,0.01065625,-0.013171296296296299,-0.014166666666666668,-4.301194171714835e-05,0.006076668464928861,175.0,-0.007446428571428572,0.011428571428571429,0.022857142857142857,-0.010928571428571428,0.009125,-0.011005291005291006,-0.010158730158730157,2.661255730563568e-05,0.006855070728934037,216.0,-0.0041666666666666675,0.013888888888888888,0.023148148148148147,-0.004658564814814815,0.005656828703703704,-0.004951131687242798,-0.004715363511659808,3.057937738140043e-05,0.005960649425715613,27.0,-0.031886574074074074,0.07407407407407407,0.1111111111111111,-0.03796296296296296,0.03200231481481482,-0.03772290809327846,-0.03772290809327846,-1.8102251129999324e-05,0.016386282402048234,14.0,0.0062499999999999995,0.07142857142857142,0.07142857142857142,0.0017857142857142857,0.0062499999999999995,0.0016534391534391531,0.0,-5.38756407226903e-05,0.021961164070423658
air_13,air,180,2026-05-22,0.0,1,34.0,-0.009237132352941175,0.029411764705882353,0.029411764705882353,-0.004411764705882353,0.009237132352941175,-0.0054466230936819175,-0.00326797385620915,0.00013601070637002613,0.013684794570472,218.0,-0.007583142201834864,0.013761467889908258,0.013761467889908258,-0.007855504587155965,0.007583142201834864,-0.008197417601087326,-0.0072205232755691495,5.503588292252042e-05,0.003607544883043289,203.0,-0.004087130541871921,0.009852216748768473,0.009852216748768473,-0.0049261083743842365,0.004087130541871921,-0.00490330231709542,-0.0049261083743842365,-2.4192250248732903e-06,0.0026793705216795393,225.0,-0.0044375,0.013333333333333334,0.017777777777777778,-0.0026944444444444446,0.004645833333333333,-0.0029012345679012346,-0.0026337448559670784,3.7752484548576915e-05,0.0037771591168472922,37.0,-0.0043074324324324335,0.02702702702702703,0.05405405405405406,-0.0008445945945945946,0.004645270270270271,-0.000875875875875876,-0.0005005005005005005,1.8607833816410374e-05,0.009982749417853827,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_14,air,180,2026-05-24,0.0,2,46.0,-0.007235054347826087,0.021739130434782608,0.021739130434782608,-0.005027173913043479,0.007235054347826087,-0.0067431561996779375,-0.00322061191626409,0.00022991704686904898,0.009978633719840408,237.0,-0.0043908227848101266,0.008438818565400843,0.008438818565400843,-0.004351265822784809,0.0043908227848101266,-0.004707766838568526,-0.0042194092827004225,3.917217035356218e-05,0.0022535272995224775,218.0,-0.0036267201834862387,0.009174311926605505,0.013761467889908258,-0.0041571100917431195,0.0037413990825688075,-0.004268603465851173,-0.0045871559633027525,8.729743794711081e-07,0.002682249922498833,260.0,-0.004423076923076923,0.011538461538461539,0.015384615384615385,-0.0034375000000000005,0.0047836538461538455,-0.004042022792022793,-0.0022079772079772082,9.831859751750228e-05,0.00394977629383402,44.0,-0.000603693181818182,0.022727272727272728,0.045454545454545456,-0.0004261363636363636,0.0014559659090909091,-0.0008417508417508418,0.0,5.3402926797295174e-05,0.007458918229829451,19.0,0.002384868421052631,0.05263157894736842,0.05263157894736842,0.0003289473684210526,0.002384868421052631,0.00024366471734892786,0.0009746588693957114,2.362178105467088e-05,0.012343447897711747
air_15,air,180,2026-05-24,0.0,2,50.0,0.007218749999999999,0.02,0.02,0.0024999999999999996,0.007218749999999999,0.0023148148148148147,0.00037037037037037035,-6.498752711189786e-05,0.009670674664375673,243.0,-0.00026363168724279843,0.00411522633744856,0.00823045267489712,-0.0012860082304526753,0.00041795267489711944,-0.0010097546105776562,-0.002133821063862216,-5.411638081672157e-05,0.0014698696446733424,220.0,-0.00029829545454545457,0.004545454545454545,0.004545454545454545,-0.0007386363636363636,0.00029829545454545457,-0.0008417508417508418,-0.000925925925925926,-4.058080594515675e-06,0.0010660250457114693,274.0,0.0036781478102189775,0.010948905109489052,0.014598540145985401,0.0032162408759124086,0.0036895529197080294,0.002855501486888348,0.003041362530413625,2.1548681140229056e-05,0.003246958100459678,49.0,0.008864795918367346,0.02040816326530612,0.02040816326530612,0.009566326530612245,0.008864795918367346,0.007936507936507934,0.009070294784580499,0.00011584603077515291,0.010068074448244323,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_16,air,130,2026-05-26,0.0,1,58.0,-0.0007394722503308164,0.017241379310344827,0.017241379310344827,-0.0027958993476234852,0.0007394722503308164,-0.0020865363496595647,-0.006896551724137931,-0.00021880966016295006,0.0032289572593338597,249.0,0.0019581712855938427,0.004016064257028112,0.004016064257028112,0.00155577264010999,0.0019581712855938427,0.0013557414370859234,0.0006024096385542168,-2.162455009805561e-06,0.001999524606062276,230.0,0.0016880950044165283,0.004347826086956522,0.004347826086956522,0.002506854680767724,0.0016880950044165283,0.002326225422320687,0.0025,2.4051266567495535e-05,0.0021286200692937915,293.0,0.002935307668009769,0.010238907849829351,0.013651877133105802,0.0010146665436767826,0.0034900114792872053,0.0014130127605921608,-8.532423208191125e-05,-8.813183543138381e-05,0.0032323854191954548,60.0,-0.014258841234010534,0.03333333333333333,0.03333333333333333,-0.019669669669669664,0.014258841234010534,-0.018789808917197455,-0.025,-0.0002680179797162532,0.0086502025441533,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_17,air,130,2026-05-26,0.0,1,44.0,-0.0024625487379437722,0.022727272727272728,0.022727272727272728,-0.0012285012285012287,0.0024625487379437722,-0.0021713954834973945,-0.0022727272727272726,7.787420304159361e-05,0.006747957864728051,226.0,9.988213907589042e-05,0.004424778761061947,0.008849557522123894,-7.97257434425576e-05,0.0006192692622705207,-0.00022546643368468518,-0.0004424778761061947,7.580812091860341e-06,0.0015575023435874075,209.0,-0.0015120913303163508,0.004784688995215311,0.004784688995215311,-0.0018966334755808436,0.0015120913303163508,-0.002041873647639655,-0.0019138755980861242,2.271805728199559e-05,0.002256734302831306,264.0,-0.0005130309870716188,0.007575757575757576,0.015151515151515152,0.0018086268086268081,0.004104247896572952,0.0009891912758154796,0.0003787878787878788,6.327263705379534e-05,0.004789645834358015,46.0,-0.006183138678967514,0.021739130434782608,0.043478260869565216,-0.006071288679984331,0.006281283737363822,-0.0074771531431736355,-0.009239130434782607,7.395211118885826e-05,0.009658693848864749,18.0,0.001379483320792576,0.05555555555555555,0.05555555555555555,0.0025025025025025025,0.001379483320792576,0.0021231422505307855,0.0013888888888888887,2.8553835146359646e-05,0.009861140387312475
air_18,air,130,2026-05-27,0.0,1,55.0,-0.007387646213831317,0.01818181818181818,0.03636363636363636,-0.0031122031122031123,0.007469731171762775,-0.003937463810075275,-0.0013636363636363635,0.00013773895306801355,0.010195988684119582,248.0,-0.006517148474477535,0.012096774193548387,0.012096774193548387,-0.0050130775937227545,0.006517148474477535,-0.0053934662009451385,-0.003830645161290322,6.765627717144238e-05,0.0032639016779356877,230.0,-0.0031602708803611743,0.008695652173913044,0.008695652173913044,-0.0009400705052878967,0.0031602708803611743,-0.0012184990307394074,-0.0002173913043478261,4.879407107696407e-05,0.002613660770858524,280.0,-0.0035311189938729446,0.007142857142857143,0.010714285714285714,-0.0022522522522522522,0.00362786198000645,-0.0023885350318471337,-0.002410714285714286,3.6284426866366985e-06,0.003264256720711179,54.0,0.001964718669007608,0.018518518518518517,0.037037037037037035,0.005672339005672338,0.004305660061867736,0.0066053314460957765,0.0060185185185185185,-0.00018289356176381442,0.008887238281949409,17.0,0.0006639224538573894,0.058823529411764705,0.058823529411764705,0.0021197668256491787,0.0006639224538573894,0.0014986886474334957,0.004411764705882353,0.00015190053441608764,0.005729422501188262
